G,DOY,Time,Opponent,Result,Overtime,For,Against,W,L,Streak,Notes
1,303,7:00p ET,Miami Heat,1,0,114,110,1,0,W 1,
3,306,7:30p ET,Chicago Bulls,1,0,107,104,3,0,W 3,
4,308,7:00p ET,Golden State Warriors,0,0,90,110,3,1,L 1,
5,310,7:00p ET,Washington Wizards,0,0,102,116,3,2,L 2,
6,312,7:00p ET,Cleveland Cavaliers,1,0,94,79,4,2,W 1,
8,315,7:00p ET,San Antonio Spurs,0,0,85,109,4,4,L 2,
9,317,7:00p ET,Houston Rockets,1,1,123,117,5,4,W 1,
13,324,7:00p ET,Toronto Raptors,0,0,98,108,5,8,L 4,
14,326,7:00p ET,Milwaukee Bucks,1,1,115,107,6,8,W 1,
17,333,8:00p ET,New Orleans Pelicans,0,0,105,121,6,11,L 3,
19,337,7:00p ET,Orlando Magic,1,2,126,125,7,12,W 1,
21,341,7:00p ET,Denver Nuggets,0,0,92,103,7,14,L 2,
22,343,7:00p ET,Los Angeles Clippers,0,0,83,94,7,15,L 3,
25,348,8:00p ET,Portland Trail Blazers,0,0,105,139,7,18,L 6,
27,354,7:00p ET,Brooklyn Nets,1,1,121,120,8,19,W 1,
34,6,7:00p ET,Minnesota Timberwolves,0,0,95,126,12,22,L 1,
36,10,7:00p ET,Detroit Pistons,0,0,104,114,12,24,L 3,
37,11,7:30p ET,New York Knicks,0,0,92,102,12,25,L 4,
38,15,7:00p ET,Charlotte Bobcats,1,0,95,92,13,25,W 1,
39,17,7:00p ET,Miami Heat,0,0,86,101,13,26,L 1,
43,24,7:00p ET,Toronto Raptors,0,0,95,104,14,29,L 1,
44,25,7:30p ET,Oklahoma City Thunder,0,0,91,103,14,30,L 2,
45,27,7:00p ET,Phoenix Suns,0,0,113,124,14,31,L 3,
47,31,7:30p ET,Atlanta Hawks,0,0,99,125,15,32,L 1,
50,36,7:00p ET,Boston Celtics,0,0,108,114,15,35,L 4,
51,38,7:00p ET,Los Angeles Lakers,0,0,98,112,15,36,L 5,
55,49,7:00p ET,Cleveland Cavaliers,0,0,85,114,15,40,L 9,
56,52,7:00p ET,Dallas Mavericks,0,0,112,124,15,41,L 10,
57,55,7:00p ET,Milwaukee Bucks,0,0,110,130,15,42,L 11,
58,57,7:00p ET,Orlando Magic,0,0,90,101,15,43,L 12,
59,60,7:30p ET,Washington Wizards,0,0,103,122,15,44,L 13,
62,67,7:30p ET,Utah Jazz,0,0,92,104,15,47,L 16,
64,71,7:00p ET,Sacramento Kings,0,0,98,115,15,49,L 18,
65,73,7:00p ET,Indiana Pacers,0,0,94,101,15,50,L 19,
66,74,7:30p ET,Memphis Grizzlies,0,0,77,103,15,51,L 20,
68,78,7:00p ET,Chicago Bulls,0,0,94,102,15,53,L 22,
69,80,7:00p ET,New York Knicks,0,0,92,93,15,54,L 23,
73,88,7:30p ET,Detroit Pistons,1,0,123,98,16,57,W 1,
75,92,7:00p ET,Charlotte Bobcats,0,0,93,123,16,59,L 2,
77,95,7:30p ET,Brooklyn Nets,0,0,101,105,17,60,L 1,
81,104,7:00p ET,Boston Celtics,1,0,113,108,18,63,W 1,
