G,DOY,Time,Opponent,Result,Overtime,For,Against,W,L,Streak,,,,Notes
1,300,8:00p ET,Oklahoma City Thunder,0,0,97,103,0,1,L 1,,,,
2,303,12:30p ET,Atlanta Hawks,0,0,72,104,0,2,L 2,,,,
3,306,7:00p ET,Orlando Magic,0,0,101,103,0,3,L 3,,,,
5,310,7:00p ET,Cleveland Cavaliers,0,0,101,102,0,5,L 5,,,,
6,312,7:00p ET,Utah Jazz,0,0,84,109,0,6,L 6,,,,
8,316,7:00p ET,Indiana Pacers,1,1,109,105,1,7,W 1,,,,
11,321,7:00p ET,Washington Wizards,1,0,109,102,2,9,W 1,,,,
13,324,7:30p ET,Phoenix Suns,1,0,120,105,3,10,W 1,,,,
14,326,7:00p ET,Miami Heat,1,0,101,94,4,10,W 2,,,,
15,328,7:00p ET,Memphis Grizzlies,0,2,99,104,4,11,L 1,,,,
16,330,7:30p ET,Chicago Bulls,0,0,89,105,4,12,L 2,,,,
17,332,1:00p ET,Cleveland Cavaliers,0,0,108,112,4,13,L 3,,,,
19,337,7:00p ET,Orlando Magic,0,0,88,105,4,15,L 5,,,,
20,338,7:30p ET,Boston Celtics,0,0,106,107,4,16,L 6,,,,
21,340,7:00p ET,Denver Nuggets,0,0,98,106,4,17,L 7,,,,
25,349,7:00p ET,Toronto Raptors,0,0,114,123,6,19,L 1,,,,
26,351,8:00p ET,Los Angeles Lakers,0,0,89,100,6,20,L 2,,,,
27,353,6:00p ET,Brooklyn Nets,1,0,108,107,7,20,W 1,,,,
28,355,7:00p ET,New Orleans Pelicans,0,0,93,108,7,21,L 1,,,,
33,3,7:00p ET,Minnesota Timberwolves,1,0,93,91,9,24,W 2,,,,
36,11,7:00p ET,New York Knicks,1,0,98,97,11,25,W 2,,,,
37,13,7:00p ET,Charlotte Hornets,1,0,102,93,12,25,W 3,,,,
40,18,7:00p ET,Toronto Raptors,1,0,94,89,14,26,W 2,,,,
41,20,7:00p ET,Portland Trail Blazers,1,0,93,92,15,26,W 3,,,,
43,24,7:00p ET,Los Angeles Clippers,1,0,121,110,16,27,W 1,,,,
45,27,8:00p ET,Houston Rockets,0,0,118,123,17,28,L 1,,,,
47,30,6:00p ET,Sacramento Kings,1,0,122,119,18,29,W 1,,,,
52,39,7:00p ET,San Antonio Spurs,0,0,103,111,18,34,L 5,,,,
54,42,7:30p ET,Miami Heat,1,0,117,109,20,34,W 2,,,,
57,55,7:00p ET,Washington Wizards,1,0,120,112,22,35,W 1,,,,
59,58,7:00p ET,Golden State Warriors,0,0,108,119,22,37,L 2,,,,
61,62,7:00p ET,New York Knicks,1,0,105,102,23,38,W 1,,,,
62,63,6:00p ET,Detroit Pistons,0,0,106,136,23,39,L 1,,,,
63,65,7:00p ET,Milwaukee Bucks,0,0,98,112,23,40,L 2,,,,
68,76,7:00p ET,Dallas Mavericks,1,0,116,74,25,43,W 1,,,,
69,78,1:00p ET,Boston Celtics,1,0,105,99,26,43,W 2,,,,
75,88,7:00p ET,Atlanta Hawks,0,0,92,99,28,47,L 1,,,,
78,94,7:00p ET,Brooklyn Nets,0,0,118,141,28,50,L 4,,,,
79,96,7:00p ET,Chicago Bulls,0,0,90,102,28,51,L 5,,,,
80,98,7:00p ET,Milwaukee Bucks,0,0,82,90,28,52,L 6,,,,
81,100,7:00p ET,Indiana Pacers,0,0,111,120,28,53,L 7,,,,
