G,DOY,Time,Opponent,Result,Overtime,For,Against,W,L,OL,Streak,S_Tm,PIM_Tm,PPG_Tm,SHG_Tm,S_Opp,PIM_Opp,PPG_Opp,SHG_Opp,Notes
2,284,9:00 PM,Minnesota Wild,0,0,0,3,0,2,0,L 2,30,27,0,0,34,12,0,0,
7,294,9:00 PM,Florida Panthers,1,1,3,4,1,4,2,L 4,33,9,2,0,36,15,1,0,
8,297,9:00 PM,Vancouver Canucks,2,0,7,3,2,4,2,W 1,48,13,1,0,29,27,0,0,
10,301,9:00 PM,San Jose Sharks,1,2,2,3,2,4,4,L 2,33,12,0,1,51,10,0,0,
11,303,9:00 PM,New York Islanders,2,0,5,0,3,4,4,W 1,23,14,1,0,40,6,0,0,
13,306,8:00 PM,Anaheim Ducks,0,0,2,3,3,5,5,L 2,18,10,0,0,33,6,0,0,
14,308,9:00 PM,Vancouver Canucks,0,0,2,5,3,6,5,L 3,22,8,0,0,37,10,0,0,
15,310,9:00 PM,Toronto Maple Leafs,2,2,4,3,4,6,5,W 1,34,6,0,0,38,6,1,0,
20,324,9:00 PM,Washington Capitals,0,0,2,3,6,9,5,L 1,29,4,0,0,23,2,0,0,
21,326,9:00 PM,Carolina Hurricanes,2,0,4,3,7,9,5,W 1,35,0,0,0,27,8,0,0,
23,330,9:00 PM,Chicago Blackhawks,0,0,2,3,8,10,5,L 1,29,12,0,0,45,4,2,0,
24,333,9:00 PM,Dallas Stars,2,0,5,2,9,10,5,W 1,47,13,2,0,24,19,0,0,
25,335,9:00 PM,Montreal Canadiens,0,0,3,4,9,11,5,L 1,29,4,0,0,30,2,1,0,
28,343,9:00 PM,Nashville Predators,0,0,0,3,9,13,6,L 4,26,12,0,0,36,6,0,0,
29,345,9:00 PM,Winnipeg Jets,2,2,4,3,10,13,6,W 1,26,13,0,0,33,13,2,0,
30,347,10:00 PM,St. Louis Blues,1,1,2,3,10,13,7,L 1,25,15,1,0,42,17,1,0,
34,357,8:00 PM,St. Louis Blues,2,0,5,0,13,13,8,W 3,41,8,2,0,26,14,0,0,
35,361,9:00 PM,Chicago Blackhawks,0,0,2,5,13,14,8,L 1,25,8,0,0,33,6,2,0,
37,365,9:00 PM,Philadelphia Flyers,2,1,4,3,14,15,8,W 1,33,12,1,0,29,10,2,0,
38,2,9:00 PM,Edmonton Oilers,2,2,2,1,15,15,8,W 2,28,15,0,0,28,13,1,0,
39,4,8:00 PM,Columbus Blue Jackets,0,0,3,4,15,16,8,L 1,29,4,0,0,27,8,0,0,
41,8,9:00 PM,Ottawa Senators,2,0,5,2,17,16,8,W 2,21,8,1,0,38,4,0,0,
42,10,3:00 PM,Dallas Stars,2,0,4,3,18,16,8,W 3,30,12,0,0,40,6,0,0,
48,21,10:00 PM,Boston Bruins,2,2,3,2,20,18,10,W 1,36,11,0,0,24,17,0,0,
50,30,9:00 PM,Nashville Predators,2,0,3,0,21,18,11,W 1,28,4,0,0,23,28,0,0,
52,36,9:00 PM,Detroit Red Wings,0,0,0,3,22,19,11,L 1,28,9,0,0,29,11,1,0,
55,43,9:00 PM,New York Rangers,0,0,3,6,22,22,11,L 4,29,6,0,0,31,12,1,0,
56,45,9:00 PM,Dallas Stars,2,0,4,1,23,22,11,W 1,30,32,0,0,25,19,0,0,
57,47,9:00 PM,Arizona Coyotes,2,0,5,2,24,22,11,W 2,34,2,1,0,17,6,0,0,
58,49,10:00 PM,Los Angeles Kings,0,0,1,4,24,23,11,L 1,43,8,0,0,26,6,1,0,
60,53,7:00 PM,Tampa Bay Lightning,2,0,5,4,26,23,11,W 2,18,16,0,0,32,12,0,0,
63,59,10:00 PM,Minnesota Wild,0,0,1,3,27,25,11,L 1,34,40,0,0,32,22,0,0,
64,63,10:00 PM,Pittsburgh Penguins,2,0,3,1,28,25,11,W 1,22,2,1,0,29,6,0,0,
67,69,9:00 PM,Los Angeles Kings,0,0,2,5,30,26,11,L 1,23,6,0,0,30,6,1,0,
68,71,9:00 PM,New Jersey Devils,2,2,2,1,31,26,11,W 1,29,4,0,0,24,6,0,0,
69,73,10:00 PM,Calgary Flames,2,0,3,2,32,26,11,W 2,26,6,1,0,31,0,0,0,
75,87,9:00 PM,Buffalo Sabres,2,0,5,3,35,28,12,W 2,22,8,0,0,38,4,0,0,
76,89,9:00 PM,Edmonton Oilers,0,0,1,4,35,29,12,L 1,30,0,0,0,36,2,0,0,
80,97,9:00 PM,Nashville Predators,2,0,3,2,37,31,12,W 1,23,8,0,0,42,4,1,0,
81,99,9:00 PM,Winnipeg Jets,2,2,1,0,38,31,12,W 2,21,6,0,0,41,2,0,0,
82,101,9:00 PM,Chicago Blackhawks,2,0,3,2,39,31,12,W 3,24,2,2,0,30,6,0,0,
