GP,DOY,Time,Opponent,,Result,Overtime,For,Against,W,L,OL,Streak,S_Tm,PIM_Tm,PPG_Tm,PPO_Tm,SHG_Tm,S_Opp,PIM_Opp,PPG_Opp,PPO_Opp,SHG_Opp,Att.,LOG,Notes
1,281,9:00 PM,Minnesota Wild,,0,0,4,5,0,1,0,L 1,23,6,2,2,0,30,6,1,2,0,18007,2:36,
2,283,9:00 PM,Dallas Stars,,2,0,6,3,1,1,0,W 1,28,15,2,4,0,33,13,1,4,0,16024,2:31,
3,287,10:00 PM,Boston Bruins,,0,0,2,6,1,2,0,L 1,22,4,1,4,0,25,8,0,2,0,15082,2:17,
6,294,10:00 PM,Carolina Hurricanes,,1,1,0,1,2,3,1,L 2,26,10,0,4,0,19,8,0,5,0,12826,2:24,
7,297,9:00 PM,Columbus Blue Jackets,,0,0,3,4,2,4,1,L 3,34,15,1,6,0,36,17,1,5,0,18007,2:30,
11,305,3:00 PM,San Jose Sharks,,0,0,3,4,3,7,1,L 2,26,9,2,4,0,32,13,0,1,1,17128,2:31,
12,307,9:00 PM,Calgary Flames,,2,0,6,3,4,7,1,W 1,42,4,1,3,1,25,4,0,2,0,14408,2:31,
14,310,9:00 PM,New York Rangers,,0,0,1,2,4,9,1,L 2,30,6,1,5,0,33,12,1,2,0,17818,2:23,
22,329,9:30 PM,Ottawa Senators,,0,0,3,5,8,13,1,L 1,43,7,1,6,0,29,27,0,1,1,16570,2:30,
23,332,10:00 PM,Winnipeg Jets,,2,0,5,3,9,13,1,W 1,25,9,1,3,0,28,11,0,2,1,16311,2:23,
28,341,9:00 PM,Minnesota Wild,,2,1,2,1,12,15,1,W 1,20,6,0,0,0,20,2,0,2,0,16589,2:33,
29,343,10:00 PM,Pittsburgh Penguins,,0,0,2,4,12,16,1,L 1,26,4,0,5,0,33,8,0,2,0,15838,2:29,
33,351,9:00 PM,New York Islanders,,2,0,2,1,16,16,1,W 4,30,8,0,2,0,34,4,1,5,0,15811,2:23,
34,353,10:00 PM,Edmonton Oilers,,2,0,5,1,17,16,1,W 5,29,2,1,1,1,40,2,0,2,0,17570,2:24,
35,355,9:00 PM,Toronto Maple Leafs,,0,0,4,7,17,17,1,L 1,28,6,1,4,0,22,8,3,3,0,16084,2:35,
36,361,8:00 PM,Arizona Coyotes,,1,1,1,2,17,17,2,L 2,39,17,1,3,0,28,27,0,3,0,18064,2:41,
38,365,8:00 PM,Chicago Blackhawks,,1,1,3,4,18,17,3,L 1,30,10,1,3,0,43,6,2,6,0,18048,2:29,
39,2,10:00 PM,Calgary Flames,,0,0,0,4,18,18,3,L 2,26,14,0,2,0,34,4,1,7,0,18087,2:26,
40,4,9:00 PM,Los Angeles Kings,,2,0,4,1,19,18,3,W 1,33,15,3,5,0,31,15,1,5,0,15202,2:30,
41,6,10:00 PM,St. Louis Blues,,2,1,4,3,20,18,3,W 2,33,4,0,3,0,38,6,1,2,0,13359,2:34,
42,8,9:00 PM,Nashville Predators,,2,0,5,3,21,18,3,W 3,27,6,2,6,0,22,12,1,3,0,17680,2:30,
44,12,9:00 PM,Tampa Bay Lightning,,0,0,0,4,21,20,3,L 2,21,8,0,2,0,38,4,0,4,0,14227,2:18,
45,14,9:00 PM,New Jersey Devils,,2,0,3,0,22,20,3,W 1,26,6,0,2,1,27,4,0,3,0,15636,2:19,
48,20,10:00 PM,Buffalo Sabres,,2,0,2,1,24,21,3,W 2,35,4,0,3,0,28,6,1,2,0,13274,2:20,
49,22,9:00 PM,St. Louis Blues,,2,2,2,1,25,21,3,W 3,41,4,0,3,0,34,6,0,2,0,16366,2:48,
53,33,9:00 PM,Chicago Blackhawks,,0,0,1,2,27,23,3,L 1,23,6,0,2,0,42,4,0,3,0,18007,2:26,
54,35,9:00 PM,Dallas Stars,,1,1,3,4,27,23,4,L 2,24,8,0,3,0,44,10,1,2,0,14351,2:38,
55,37,10:00 PM,Winnipeg Jets,,0,0,2,4,27,24,4,L 3,34,30,1,4,0,39,36,1,2,0,14983,2:45,
56,40,9:00 PM,Vancouver Canucks,,0,0,1,3,27,25,4,L 4,30,2,0,4,0,28,8,0,1,0,14436,2:22,
