G,DOY,Time,Opponent,Result,Overtime,For,Against,W,L,OL,Streak,S_Tm,PIM_Tm,PPG_Tm,SHG_Tm,S_Opp,PIM_Opp,PPG_Opp,SHG_Opp,Notes
1,274,8:00 PM,Washington Capitals,2,0,6,4,1,0,0,W 1,34,12,1,0,32,8,3,0,
2,278,8:00 PM,Tampa Bay Lightning,1,2,2,3,1,0,1,L 1,39,2,1,0,16,10,1,0,
4,284,8:00 PM,New York Islanders,2,0,3,2,2,1,1,W 1,28,6,0,0,19,10,0,0,
5,285,8:00 PM,Buffalo Sabres,2,0,2,1,3,1,1,W 2,40,8,1,0,29,12,0,0,
7,290,8:00 PM,St. Louis Blues,1,2,2,3,4,1,2,L 1,29,23,0,0,28,15,1,0,
8,292,7:00 PM,Toronto Maple Leafs,2,0,3,1,5,1,2,W 1,40,12,1,0,20,8,1,0,
11,299,8:00 PM,Minnesota Wild,0,0,3,5,6,2,3,L 2,36,10,1,0,25,14,1,0,
13,302,8:00 PM,Ottawa Senators,2,0,6,5,8,2,3,W 2,40,4,1,0,37,6,1,0,
15,307,7:30 PM,Calgary Flames,1,1,2,3,9,2,4,L 1,44,0,1,0,30,6,0,0,
16,310,8:00 PM,Winnipeg Jets,2,0,4,1,10,2,4,W 1,28,4,0,0,25,4,0,0,
18,314,7:30 PM,Edmonton Oilers,2,0,5,4,12,2,4,W 3,36,4,1,0,23,10,2,1,
19,318,8:00 PM,Phoenix Coyotes,2,2,5,4,13,2,4,W 4,52,8,1,0,30,8,1,0,
21,321,7:00 PM,San Jose Sharks,2,0,5,1,14,3,4,W 1,27,2,0,0,24,2,0,0,
29,337,8:00 PM,Dallas Stars,1,0,3,4,20,5,4,L 1,50,9,1,0,18,15,1,0,
31,340,8:00 PM,Anaheim Ducks,1,2,2,3,20,6,5,L 3,25,2,1,0,26,16,1,0,
32,342,7:00 PM,Florida Panthers,2,0,6,2,21,6,5,W 1,32,17,3,0,35,15,0,0,
34,345,8:00 PM,Philadelphia Flyers,2,0,7,2,23,6,5,W 3,23,35,2,1,30,39,2,0,
36,349,7:00 PM,Los Angeles Kings,2,0,3,1,24,7,5,W 1,40,6,1,1,22,6,0,0,
38,354,8:00 PM,Vancouver Canucks,1,2,2,3,25,7,6,L 1,26,6,0,0,24,8,0,0,
39,357,8:00 PM,New Jersey Devils,2,0,5,2,26,7,6,W 1,37,2,1,0,12,8,0,0,
40,361,8:00 PM,Colorado Avalanche,2,0,7,2,27,7,6,W 2,37,4,1,0,18,4,0,0,
42,364,8:00 PM,Los Angeles Kings,2,0,1,0,28,7,7,W 1,30,2,0,0,26,6,0,0,
45,5,8:00 PM,San Jose Sharks,1,2,2,3,29,7,9,L 1,35,2,0,0,42,0,0,0,
46,8,8:00 PM,New York Rangers,0,0,2,3,29,8,9,L 2,37,4,1,0,32,6,1,0,
48,12,7:00 PM,Edmonton Oilers,2,0,5,3,30,8,10,W 1,41,2,1,0,21,10,0,1,
49,14,8:00 PM,Colorado Avalanche,1,1,2,3,30,8,11,L 1,48,8,0,0,26,10,2,0,
50,17,8:00 PM,Anaheim Ducks,2,0,4,2,31,8,11,W 1,35,4,0,1,21,10,0,0,
51,19,12:30 PM,Boston Bruins,2,2,3,2,32,8,11,W 2,37,16,0,0,36,4,0,0,
54,26,7:00 PM,Winnipeg Jets,0,0,1,3,32,10,12,L 3,35,2,0,0,21,8,0,0,
62,60,8:00 PM,Pittsburgh Penguins,2,0,5,1,36,12,14,W 1,40,12,0,0,32,8,0,0,NHL Stadium Series
63,63,8:00 PM,Colorado Avalanche,0,0,2,4,36,13,14,L 1,38,4,1,0,21,8,1,0,
64,65,8:00 PM,Columbus Blue Jackets,2,0,6,1,37,13,14,W 1,33,8,1,0,23,8,0,0,
67,73,8:00 PM,Nashville Predators,0,0,2,3,38,15,14,L 2,33,6,0,0,29,4,1,0,
68,75,7:30 PM,Detroit Red Wings,2,0,4,1,39,15,14,W 1,30,10,1,1,20,8,1,0,
70,78,8:00 PM,St. Louis Blues,2,0,4,0,40,15,15,W 1,30,6,2,0,23,6,0,0,
71,80,8:00 PM,Carolina Hurricanes,2,0,3,2,41,15,15,W 2,25,12,0,1,28,10,1,0,
72,82,7:00 PM,Nashville Predators,0,0,0,2,41,16,15,L 1,29,13,0,0,17,15,0,0,
73,84,8:00 PM,Dallas Stars,2,0,4,2,42,16,15,W 1,42,9,1,0,27,11,0,0,
77,93,8:00 PM,Minnesota Wild,2,2,3,2,43,19,15,W 1,26,4,0,0,27,2,0,0,
79,96,12:30 PM,St. Louis Blues,2,0,4,2,45,19,15,W 3,35,13,0,0,23,15,1,0,
80,99,7:30 PM,Montreal Canadiens,2,1,3,2,46,19,15,W 4,28,0,0,0,30,4,0,0,
