GP,DOY,Time,Opponent,Result,Overtime,For,Against,W,L,OL,Streak,S_Tm,PIM_Tm,PPG_Tm,PPO_Tm,SHG_Tm,S_Opp,PIM_Opp,PPG_Opp,PPO_Opp,SHG_Opp,Att.,LOG,Notes
1,280,8:00 PM,New York Rangers,0,0,2,3,0,1,0,L 1,34,2,0,1,0,27,4,0,0,0,22104,2:28,
3,283,8:30 PM,New York Islanders,2,0,4,1,2,1,0,W 2,34,4,1,7,0,29,24,0,2,1,21392,2:23,
6,290,8:30 PM,Columbus Blue Jackets,2,0,4,1,3,3,0,W 1,30,13,2,5,0,23,19,0,2,0,21563,2:19,
7,295,8:30 PM,Florida Panthers,2,0,3,2,4,3,0,W 2,27,8,2,8,0,18,16,1,4,0,21591,2:34,
8,297,8:30 PM,Tampa Bay Lightning,2,1,1,0,5,3,0,W 3,32,8,0,3,0,21,6,0,4,0,21822,2:23,
9,299,8:30 PM,Anaheim Ducks,2,1,1,0,6,3,0,W 4,24,15,0,3,0,39,25,0,3,0,21529,2:36,
12,306,8:30 PM,Los Angeles Kings,2,0,4,2,7,5,0,W 1,26,6,0,1,1,35,4,0,2,0,21534,2:28,
13,308,8:00 PM,St. Louis Blues,1,1,5,6,7,5,1,L 1,43,4,1,5,0,29,10,1,2,0,21676,2:45,
15,312,8:00 PM,Edmonton Oilers,2,0,4,2,8,6,1,W 1,28,4,1,4,0,36,10,1,1,0,21611,2:33,
16,316,8:30 PM,New Jersey Devils,0,0,2,3,8,7,1,L 1,29,6,1,5,0,22,10,1,3,0,21568,2:18,
18,319,8:30 PM,Calgary Flames,2,0,4,1,10,7,1,W 2,41,4,0,1,0,26,2,0,2,0,21629,2:23,
25,335,8:00 PM,Minnesota Wild,0,0,1,2,13,9,3,L 2,31,8,1,3,0,36,6,0,4,0,21580,2:29,
27,340,5:00 PM,Winnipeg Jets,2,0,3,1,14,9,4,W 1,32,4,0,3,0,31,6,0,2,0,21749,2:41,
28,342,8:30 PM,Nashville Predators,2,0,4,1,15,9,4,W 2,24,2,1,3,0,37,6,0,2,0,21432,2:26,
30,345,8:30 PM,Winnipeg Jets,2,0,2,0,16,10,4,W 1,31,10,2,5,0,25,10,0,5,0,22021,2:22,
31,347,7:00 PM,Vancouver Canucks,2,0,4,0,17,10,4,W 2,30,4,1,2,0,30,4,0,3,0,21711,2:23,
32,349,8:30 PM,Colorado Avalanche,0,0,0,3,17,11,4,L 1,29,8,0,2,0,27,4,0,4,0,21473,2:24,
33,351,8:30 PM,Edmonton Oilers,2,0,4,0,18,11,4,W 1,37,0,0,2,0,33,4,0,0,0,21451,2:25,
35,354,7:00 PM,San Jose Sharks,2,1,4,3,20,11,4,W 3,32,11,0,1,0,36,7,1,3,0,22096,2:41,
37,361,7:00 PM,Carolina Hurricanes,0,0,1,2,20,13,4,L 2,36,4,0,1,0,27,6,0,0,0,22157,2:22,
40,3,7:00 PM,Ottawa Senators,2,0,3,0,23,13,4,W 3,30,4,0,1,0,26,2,0,2,0,22016,2:21,
42,6,8:00 PM,Pittsburgh Penguins,2,0,3,1,25,13,4,W 5,37,8,0,3,0,18,8,1,3,0,21908,2:27,
43,8,8:30 PM,Buffalo Sabres,2,0,3,1,26,13,4,W 6,45,4,0,1,0,29,4,0,1,0,22142,2:28,
44,10,7:00 PM,Colorado Avalanche,2,0,6,3,27,13,4,W 7,35,4,1,2,0,37,4,0,2,0,22007,2:23,
45,12,8:30 PM,Nashville Predators,2,0,3,2,28,13,4,W 8,23,12,0,4,0,43,10,1,5,0,21618,2:28,
