G,DOY,Time,Opponent,Result,Overtime,For,Against,W,L,OL,Streak,S_Tm,PIM_Tm,PPG_Tm,SHG_Tm,S_Opp,PIM_Opp,PPG_Opp,SHG_Opp,Notes
1,281,7:30 PM,Philadelphia Flyers,2,0,2,1,1,0,0,W 1,33,15,1,0,20,11,0,0,
3,284,7:00 PM,Washington Capitals,0,0,0,4,1,2,0,L 2,29,25,0,0,21,15,2,0,
4,286,1:00 PM,Colorado Avalanche,0,0,1,2,1,3,0,L 3,28,11,1,0,30,7,0,0,
8,294,7:00 PM,San Jose Sharks,2,0,5,3,4,4,0,W 2,33,6,2,1,34,6,1,0,
9,296,7:00 PM,New York Islanders,0,0,2,3,4,5,0,L 1,32,2,0,0,38,2,0,0,
11,301,7:00 PM,Minnesota Wild,0,0,3,4,5,6,0,L 1,28,6,1,0,42,6,0,0,
13,305,7:00 PM,Ottawa Senators,2,0,4,2,7,6,0,W 2,30,2,0,0,29,6,0,0,
14,308,7:00 PM,Florida Panthers,2,1,2,1,8,6,0,W 3,25,2,0,0,19,0,0,0,
15,310,7:00 PM,Edmonton Oilers,2,0,5,2,9,6,0,W 4,32,10,2,0,26,8,1,0,
16,314,7:00 PM,New Jersey Devils,2,0,4,2,10,6,0,W 5,23,4,1,0,28,6,0,0,
19,319,1:00 PM,Carolina Hurricanes,2,0,2,1,11,8,0,W 1,25,6,0,0,34,4,0,0,
20,322,7:00 PM,St. Louis Blues,2,0,2,0,12,8,0,W 2,17,4,0,0,33,2,0,0,
22,326,7:00 PM,Montreal Canadiens,0,0,0,2,13,9,0,L 1,33,16,0,0,23,14,1,0,
23,328,7:00 PM,Pittsburgh Penguins,1,1,2,3,13,9,1,L 2,29,6,0,0,33,6,1,0,
24,332,7:00 PM,Winnipeg Jets,2,1,2,1,14,9,1,W 1,38,10,0,0,36,6,1,0,
29,345,7:00 PM,Chicago Blackhawks,0,0,2,3,15,13,1,L 1,34,13,0,0,21,11,0,0,
30,347,1:00 PM,Ottawa Senators,1,2,2,3,15,13,2,L 2,31,11,0,1,31,7,1,0,
34,355,7:00 PM,Buffalo Sabres,2,1,4,3,17,14,3,W 1,37,22,1,0,28,19,1,0,
35,357,7:00 PM,Nashville Predators,2,0,5,3,18,14,3,W 2,25,4,1,0,25,18,0,0,
37,363,7:00 PM,Detroit Red Wings,2,0,5,2,19,15,3,W 1,45,8,1,0,30,2,1,0,
38,365,7:00 PM,Toronto Maple Leafs,1,2,3,4,19,15,4,L 1,28,6,1,0,21,6,1,0,
39,3,1:00 PM,Ottawa Senators,1,1,2,3,19,15,5,L 2,28,8,1,0,26,4,0,0,
42,8,7:00 PM,New Jersey Devils,2,0,3,0,21,15,6,W 2,43,7,1,0,14,11,0,0,
44,13,7:00 PM,Tampa Bay Lightning,2,0,4,3,23,15,6,W 4,34,28,0,0,19,14,0,0,
45,15,7:00 PM,New York Rangers,2,0,3,0,24,15,6,W 5,32,28,0,0,30,18,0,0,
46,17,7:00 PM,Columbus Blue Jackets,0,0,1,3,24,16,6,L 1,35,6,0,0,31,4,1,0,
50,31,7:00 PM,Los Angeles Kings,2,0,3,1,27,16,7,W 2,33,2,0,0,31,2,0,0,
52,38,7:00 PM,New York Islanders,2,0,2,1,28,17,7,W 1,36,13,1,0,40,11,1,0,
53,39,7:30 PM,Montreal Canadiens,0,0,1,3,28,18,7,L 1,35,6,0,0,34,0,0,0,
54,41,7:00 PM,Dallas Stars,0,0,3,5,28,19,7,L 2,44,4,0,1,32,21,0,2,
60,55,7:00 PM,Vancouver Canucks,0,0,1,2,29,22,9,L 1,41,6,0,0,28,10,0,0,
62,59,5:30 PM,Arizona Coyotes,2,0,4,1,31,22,9,W 2,34,2,1,0,32,10,0,0,
63,64,7:00 PM,Calgary Flames,1,2,3,4,31,22,10,L 1,37,12,0,0,32,4,2,0,
64,66,1:00 PM,Philadelphia Flyers,2,1,3,2,32,22,10,W 1,37,4,2,0,31,8,1,0,
65,67,12:30 PM,Detroit Red Wings,2,0,5,3,33,22,10,W 2,30,10,2,2,39,10,1,0,
67,71,7:00 PM,Tampa Bay Lightning,2,2,3,2,35,22,10,W 4,30,6,0,0,37,20,0,0,
70,76,7:30 PM,Buffalo Sabres,1,2,1,2,36,23,11,L 2,45,4,0,0,24,4,1,0,
74,85,7:00 PM,Anaheim Ducks,1,1,2,3,36,25,13,L 6,29,8,2,0,32,12,0,0,
75,87,1:00 PM,New York Rangers,2,0,4,2,37,25,13,W 1,30,7,0,0,32,24,0,0,
77,90,7:00 PM,Florida Panthers,2,0,3,2,39,25,13,W 3,29,6,0,0,24,8,1,0,
79,94,7:00 PM,Toronto Maple Leafs,2,2,2,1,41,25,13,W 5,50,4,0,0,28,6,0,0,
