GP,DOY,Time,Opponent,Result,Overtime,For,Against,W,L,OL,Streak,S_Tm,PIM_Tm,PPG_Tm,PPO_Tm,SHG_Tm,S_Opp,PIM_Opp,PPG_Opp,PPO_Opp,SHG_Opp,Att.,LOG,Notes
1,281,7:00 PM,Winnipeg Jets,0,0,2,6,0,1,0,L 1,31,2,0,2,0,32,6,0,0,0,17565,2:26,
2,283,7:00 PM,Montreal Canadiens,0,0,2,4,0,2,0,L 2,21,37,1,4,0,38,16,1,6,0,17565,2:50,
3,285,1:00 PM,Tampa Bay Lightning,0,0,3,6,0,3,0,L 3,30,8,3,4,0,23,8,2,4,0,17565,2:30,
6,294,8:00 PM,Philadelphia Flyers,1,1,4,5,2,3,1,L 1,30,19,1,3,1,37,8,1,2,0,17565,2:33,
8,300,7:00 PM,Arizona Coyotes,2,0,6,0,4,3,1,W 2,27,4,1,4,0,24,28,0,3,0,17565,2:34,
11,307,7:00 PM,Dallas Stars,0,0,3,5,6,4,1,L 1,39,8,1,4,0,19,8,3,4,0,17565,2:33,
15,316,7:00 PM,Colorado Avalanche,0,0,2,3,7,7,1,L 1,27,13,1,2,0,30,17,0,3,0,17565,2:34,
16,318,7:00 PM,Detroit Red Wings,2,0,3,1,8,7,1,W 1,31,6,0,1,0,23,2,1,3,0,17565,2:24,
17,321,7:00 PM,San Jose Sharks,0,0,4,5,8,8,1,L 1,29,8,2,3,0,28,6,2,5,0,17565,2:32,
18,323,7:00 PM,Minnesota Wild,2,0,4,2,9,8,1,W 1,38,29,1,4,0,26,17,0,3,0,17565,2:29,
19,325,7:00 PM,Toronto Maple Leafs,2,0,2,0,10,8,1,W 2,37,2,0,1,0,22,2,0,1,0,17565,2:33,
22,331,1:00 PM,New York Rangers,2,0,4,3,13,8,1,W 5,34,9,2,3,0,27,21,1,3,0,17565,2:33,
26,341,7:00 PM,Nashville Predators,0,0,2,3,14,9,3,L 1,17,26,1,3,0,33,18,2,7,0,17565,2:36,
28,346,1:00 PM,Florida Panthers,2,0,3,1,16,9,3,W 2,25,8,1,1,0,27,8,0,1,0,17565,2:31,
29,348,7:00 PM,Edmonton Oilers,1,1,2,3,16,9,4,L 1,49,11,0,3,0,24,11,0,3,0,17565,2:38,
30,350,8:00 PM,Pittsburgh Penguins,2,0,3,0,17,9,4,W 1,29,6,1,4,0,34,8,0,3,0,17565,2:34,
32,354,5:00 PM,New Jersey Devils,2,2,2,1,19,9,4,W 3,39,8,0,1,0,30,6,0,2,0,17565,2:43,
33,356,7:00 PM,St. Louis Blues,0,0,0,2,19,10,4,L 1,32,7,0,0,0,29,5,0,1,0,17565,2:26,
34,360,7:00 PM,Buffalo Sabres,0,0,3,6,19,11,4,L 2,33,6,0,3,0,29,6,0,3,0,17565,2:27,
36,363,7:00 PM,Ottawa Senators,2,0,7,3,20,12,4,W 1,37,52,4,7,0,32,58,0,4,0,17565,2:47,
37,1,1:00 PM,Montreal Canadiens,0,0,1,5,20,13,4,L 1,28,16,0,3,0,30,14,0,4,0,67246,2:52,
38,5,7:00 PM,Washington Capitals,0,0,2,3,20,14,4,L 2,27,6,1,4,0,29,8,1,3,0,17565,2:26,
44,16,7:00 PM,Toronto Maple Leafs,2,0,3,2,23,16,5,W 2,45,17,0,1,0,29,11,0,5,0,17565,2:41,
46,21,7:00 PM,Vancouver Canucks,0,0,2,4,24,17,5,L 1,30,0,0,0,0,27,0,0,0,0,17565,2:25,
47,23,7:00 PM,Columbus Blue Jackets,2,2,3,2,25,17,5,W 1,34,8,0,5,0,33,8,0,4,0,17565,2:44,
