G,DOY,Time,Opponent,Result,Overtime,For,Against,W,L,Streak,Notes
1,300,8:00p ET,Cleveland Cavaliers,1,0,97,95,1,0,W 1,
4,305,7:00p ET,Orlando Magic,1,0,92,87,3,1,W 1,
6,309,8:00p ET,Oklahoma City Thunder,1,0,104,98,4,2,W 1,
7,311,6:00p ET,Minnesota Timberwolves,0,1,93,102,4,3,L 1,
9,317,8:00p ET,Charlotte Hornets,1,0,102,97,6,3,W 2,
10,320,8:00p ET,Indiana Pacers,1,0,96,95,7,3,W 3,
15,334,8:00p ET,San Antonio Spurs,1,0,92,89,10,5,W 1,
16,336,8:00p ET,Denver Nuggets,1,0,99,90,11,5,W 2,
17,339,8:00p ET,Charlotte Hornets,0,0,96,102,11,6,L 1,
18,341,8:00p ET,Phoenix Suns,0,0,101,103,11,7,L 2,
20,344,8:00p ET,Los Angeles Clippers,1,0,83,80,12,8,W 1,
21,346,8:00p ET,New Orleans Pelicans,1,0,98,94,13,8,W 2,
22,348,8:00p ET,Philadelphia 76ers,1,0,115,96,14,8,W 3,
23,350,8:00p ET,Memphis Grizzlies,1,0,98,85,15,8,W 4,
24,352,8:00p ET,Detroit Pistons,0,4,144,147,15,9,L 1,
26,355,8:00p ET,Brooklyn Nets,0,0,102,105,15,11,L 3,
29,362,8:00p ET,Toronto Raptors,1,0,104,97,17,12,W 1,
30,364,8:00p ET,Indiana Pacers,1,1,102,100,18,12,W 2,
31,1,8:00p ET,New York Knicks,1,0,108,81,19,12,W 3,
33,5,8:00p ET,Milwaukee Bucks,1,0,117,106,21,12,W 5,
34,7,8:00p ET,Boston Celtics,1,0,101,92,22,12,W 6,
36,11,8:00p ET,Washington Wizards,0,0,100,114,22,14,L 2,
39,15,8:00p ET,Dallas Mavericks,0,0,77,83,23,16,L 1,
41,20,8:00p ET,Golden State Warriors,0,0,94,125,24,17,L 1,
44,25,8:00p ET,Miami Heat,0,0,84,89,25,19,L 1,
52,41,8:00p ET,Atlanta Hawks,0,0,90,113,27,25,L 4,
54,50,8:00p ET,Toronto Raptors,1,0,116,106,28,26,W 1,
55,52,8:00p ET,Los Angeles Lakers,1,0,126,115,29,26,W 2,
56,55,8:00p ET,Washington Wizards,1,0,109,104,30,26,W 3,
58,58,8:00p ET,Portland Trail Blazers,0,0,95,103,30,28,L 2,
61,65,8:30p ET,Houston Rockets,1,0,108,100,31,30,W 1,
62,67,8:00p ET,Milwaukee Bucks,1,0,100,90,32,30,W 2,
64,71,8:00p ET,Miami Heat,0,0,96,118,32,32,L 2,
67,77,8:00p ET,Brooklyn Nets,1,0,118,102,34,33,W 1,
68,79,8:00p ET,Utah Jazz,1,0,92,85,35,33,W 2,
69,81,8:00p ET,Sacramento Kings,1,0,109,102,36,33,W 3,
70,83,8:00p ET,New York Knicks,0,0,107,115,36,34,L 1,
73,88,8:00p ET,Atlanta Hawks,0,0,100,102,36,37,L 4,
76,93,8:00p ET,Detroit Pistons,0,0,90,94,38,38,L 1,
80,100,8:30p ET,Cleveland Cavaliers,1,0,105,102,40,40,W 1,
82,104,8:00p ET,Philadelphia 76ers,1,0,115,105,42,40,W 3,
