G,DOY,Time,Opponent,Result,Overtime,For,Against,W,L,OL,Streak,S_Tm,PIM_Tm,PPG_Tm,SHG_Tm,S_Opp,PIM_Opp,PPG_Opp,SHG_Opp,Notes
2,276,7:00 PM,Calgary Flames,2,2,5,4,1,1,0,W 1,39,15,2,0,39,13,1,0,
4,283,7:00 PM,Carolina Hurricanes,0,0,2,3,1,3,0,L 2,32,14,0,0,36,14,1,0,
5,285,7:00 PM,Colorado Avalanche,0,0,1,5,1,4,0,L 3,41,4,0,0,28,4,1,1,
6,287,7:00 PM,Edmonton Oilers,2,0,4,2,2,4,0,W 1,20,12,2,0,30,12,0,0,
7,289,8:00 PM,New York Rangers,0,0,0,2,2,5,0,L 1,22,13,0,0,36,15,0,0,
8,292,7:00 PM,Columbus Blue Jackets,2,0,4,1,3,5,0,W 1,39,11,2,0,38,13,0,0,
14,306,7:00 PM,Florida Panthers,2,2,3,2,7,7,0,W 2,23,21,0,0,33,25,1,0,
15,309,7:00 PM,New York Islanders,2,0,6,2,8,7,0,W 3,39,32,4,0,36,44,0,0,
16,311,7:00 PM,Minnesota Wild,2,2,3,2,9,7,0,W 4,27,6,1,0,35,6,1,0,
19,316,7:00 PM,Columbus Blue Jackets,2,1,4,3,10,8,1,W 1,34,6,0,1,27,4,0,1,
21,321,6:00 PM,St. Louis Blues,2,0,4,1,12,8,1,W 3,20,15,1,0,47,13,1,0,
22,324,8:00 PM,Pittsburgh Penguins,0,0,0,4,12,9,1,L 1,18,4,0,0,40,6,1,0,
23,326,7:00 PM,Montreal Canadiens,0,0,2,3,12,10,1,L 2,27,15,1,0,31,9,1,0,
25,331,7:00 PM,Ottawa Senators,0,0,4,6,12,11,2,L 4,33,36,2,0,41,24,3,0,
26,333,5:00 PM,Montreal Canadiens,2,2,3,2,13,11,2,W 1,26,6,0,0,37,10,0,0,
28,337,7:00 PM,Carolina Hurricanes,0,0,1,4,14,12,2,L 1,27,8,1,0,32,10,1,0,
29,341,7:00 PM,Nashville Predators,2,0,5,2,15,12,2,W 1,33,7,1,0,36,13,0,0,
31,344,7:00 PM,Tampa Bay Lightning,2,2,6,5,17,12,2,W 3,31,20,3,0,42,9,2,0,
33,349,3:00 PM,Philadelphia Flyers,2,2,5,4,18,12,3,W 1,33,18,1,0,28,20,0,0,
36,355,7:00 PM,New Jersey Devils,1,1,4,5,19,13,4,L 1,22,4,0,0,37,2,2,0,
37,357,7:00 PM,Anaheim Ducks,0,0,2,3,19,14,4,L 2,19,8,1,0,29,10,0,0,
38,361,7:00 PM,New York Rangers,2,0,3,2,20,14,4,W 1,34,10,1,0,40,10,1,1,
41,2,7:00 PM,Carolina Hurricanes,1,1,3,4,20,15,6,L 3,41,6,0,0,33,2,1,0,
44,10,7:00 PM,Toronto Maple Leafs,2,0,3,2,22,16,6,W 2,35,18,0,0,34,20,1,0,
45,12,3:00 PM,Buffalo Sabres,1,2,1,2,22,16,7,L 1,29,10,0,0,31,4,1,0,
46,14,7:00 PM,San Jose Sharks,1,2,1,2,22,16,8,L 2,36,7,0,0,29,17,0,0,
50,21,7:00 PM,Ottawa Senators,0,0,0,2,22,20,8,L 6,34,20,0,0,26,10,1,0,
56,33,12:30 PM,Detroit Red Wings,2,1,6,5,25,22,9,W 1,28,6,3,0,30,12,2,0,
57,35,7:30 PM,New York Islanders,0,0,0,1,25,23,9,L 1,22,17,0,0,28,19,0,0,
58,37,7:00 PM,Winnipeg Jets,2,0,4,2,26,23,9,W 1,30,2,0,0,36,8,0,0,
59,39,8:00 PM,New Jersey Devils,2,0,3,0,27,23,9,W 2,26,8,0,0,25,8,0,0,
62,61,12:30 PM,Philadelphia Flyers,1,1,4,5,29,23,10,L 1,29,15,0,0,36,16,2,1,
65,67,7:00 PM,Phoenix Coyotes,2,0,3,2,30,25,10,W 1,33,6,1,0,33,4,1,0,
66,69,7:00 PM,Pittsburgh Penguins,0,0,2,3,30,26,10,L 1,33,6,1,0,20,6,1,0,
68,73,7:00 PM,Vancouver Canucks,2,0,4,3,31,27,10,W 1,21,10,1,0,41,8,0,0,
69,75,3:00 PM,Toronto Maple Leafs,2,0,4,2,32,27,10,W 2,33,6,2,0,29,8,0,0,
73,84,7:00 PM,Los Angeles Kings,1,2,4,5,34,27,12,L 1,27,8,2,1,36,10,1,0,
74,88,12:30 PM,Boston Bruins,0,0,2,4,34,28,12,L 2,33,8,0,0,36,6,2,0,
76,91,7:00 PM,Dallas Stars,0,0,0,5,34,29,13,L 4,35,8,0,0,36,10,0,1,
81,101,7:00 PM,Chicago Blackhawks,2,0,4,0,38,30,13,W 4,27,4,1,0,34,4,0,0,
82,103,3:00 PM,Tampa Bay Lightning,1,2,0,1,38,30,14,L 1,18,2,0,0,32,2,0,0,
