GP,DOY,Time,Opponent,Result,Overtime,For,Against,W,L,OL,Streak,S_Tm,PIM_Tm,PPG_Tm,PPO_Tm,SHG_Tm,S_Opp,PIM_Opp,PPG_Opp,PPO_Opp,SHG_Opp,Att.,LOG,Notes
1,283,7:00 PM,New Jersey Devils,2,0,5,3,1,0,0,W 1,27,8,2,5,1,24,12,1,3,0,18506,2:35,
2,286,7:00 PM,San Jose Sharks,0,0,0,5,1,1,0,L 1,31,10,0,4,0,32,8,1,5,0,18506,2:33,
3,288,7:00 PM,Chicago Blackhawks,2,0,4,1,2,1,0,W 1,24,2,1,2,0,27,4,0,1,0,18506,2:17,
4,290,7:00 PM,Carolina Hurricanes,2,0,4,1,3,1,0,W 2,34,10,2,2,0,19,6,0,4,0,18506,2:26,
8,301,8:00 PM,Pittsburgh Penguins,0,0,1,3,6,2,0,L 1,34,8,0,3,0,25,8,0,3,0,18506,2:27,
9,303,7:00 PM,Columbus Blue Jackets,2,0,2,1,7,2,0,W 1,28,6,0,2,0,30,4,0,3,0,18506,2:27,
12,309,7:00 PM,Boston Bruins,2,0,4,1,9,3,0,W 1,31,9,1,4,0,29,11,1,2,0,18506,2:35,
13,311,7:00 PM,Toronto Maple Leafs,2,2,3,2,10,3,0,W 2,31,10,1,6,0,25,14,1,3,0,18506,2:52,
16,317,7:00 PM,Calgary Flames,1,1,2,3,11,4,1,L 1,36,9,0,2,0,29,9,0,2,0,18506,2:35,
18,323,7:00 PM,Dallas Stars,0,0,2,3,12,5,1,L 1,35,4,0,0,0,31,0,0,2,0,18506,2:27,
19,325,7:00 PM,Colorado Avalanche,2,0,7,3,13,5,1,W 1,32,19,1,4,0,27,25,1,1,0,18506,2:34,
20,327,7:00 PM,Edmonton Oilers,2,0,1,0,14,5,1,W 2,30,6,0,3,0,33,6,0,3,0,18506,2:21,
21,329,7:00 PM,Winnipeg Jets,2,0,5,3,15,5,1,W 3,34,6,1,2,0,26,6,1,2,0,18506,2:27,
22,331,5:00 PM,Tampa Bay Lightning,2,0,4,2,16,5,1,W 4,37,6,3,4,0,34,10,0,2,0,18506,2:38,
26,342,7:30 PM,Detroit Red Wings,2,2,3,2,19,5,2,W 1,40,2,1,5,0,23,10,0,1,0,18506,2:41,
30,350,7:00 PM,Ottawa Senators,2,0,2,1,22,6,2,W 3,25,14,0,2,0,27,6,1,3,0,18506,2:27,
31,352,7:00 PM,Tampa Bay Lightning,2,0,5,3,23,6,2,W 4,23,8,3,4,0,19,10,0,3,0,18506,2:25,
34,360,7:00 PM,Montreal Canadiens,2,0,3,1,26,6,2,W 7,33,11,0,2,0,30,11,0,2,0,18506,2:31,
36,364,7:00 PM,Buffalo Sabres,2,0,5,2,28,6,2,W 9,43,10,1,3,0,27,10,0,4,0,18506,2:38,
42,10,7:00 PM,Ottawa Senators,2,0,7,1,32,7,3,W 4,36,10,2,3,0,33,8,0,4,0,18506,2:32,
43,14,7:00 PM,Vancouver Canucks,2,0,4,1,33,7,3,W 5,40,8,0,2,0,30,6,1,3,0,18605,2:23,
45,17,5:00 PM,New York Rangers,2,0,5,2,34,8,3,W 1,24,8,2,4,0,33,8,0,4,0,18506,2:39,
47,27,8:00 PM,Philadelphia Flyers,1,1,3,4,35,8,4,L 1,30,12,0,2,0,32,4,1,5,0,18506,2:38,
48,33,7:30 PM,Florida Panthers,0,0,2,5,35,9,4,L 2,38,8,0,8,0,19,16,2,4,0,18506,2:35,
49,35,7:30 PM,New York Islanders,2,0,3,2,36,9,4,W 1,23,4,0,2,0,26,4,0,2,0,18506,2:23,
51,38,12:00 PM,Philadelphia Flyers,2,0,3,2,38,9,4,W 3,30,8,0,2,0,35,4,0,5,0,18506,2:36,
55,47,7:00 PM,Los Angeles Kings,2,0,3,1,41,10,4,W 1,32,11,0,5,0,40,15,0,3,1,18506,2:32,
57,51,7:00 PM,New Jersey Devils,2,0,4,3,43,10,4,W 3,32,2,0,3,0,24,4,0,1,0,18506,2:26,
58,53,7:00 PM,Arizona Coyotes,2,0,3,2,44,10,4,W 4,34,12,1,4,0,27,8,0,6,0,18506,2:38,
59,55,7:00 PM,Montreal Canadiens,0,0,3,4,44,11,4,L 1,36,8,0,3,0,34,8,1,3,0,18506,2:43,
60,57,7:00 PM,Minnesota Wild,2,0,3,2,45,11,4,W 1,27,6,1,1,0,32,2,1,3,0,18605,2:21,
62,61,7:30 PM,Pittsburgh Penguins,2,0,3,2,46,12,4,W 1,37,8,1,3,0,30,10,0,2,0,18506,2:30,
63,62,7:00 PM,Toronto Maple Leafs,2,0,3,2,47,12,4,W 2,23,10,1,4,0,29,10,0,4,0,18506,2:32,
64,64,7:00 PM,New York Rangers,0,0,2,3,47,13,4,L 1,34,6,1,2,0,23,6,1,2,0,18506,2:37,
69,75,7:00 PM,Carolina Hurricanes,2,1,2,1,50,14,5,W 1,31,4,0,1,0,26,2,0,2,0,18506,2:22,
70,78,7:00 PM,Nashville Predators,2,0,4,1,51,14,5,W 2,29,6,0,5,0,21,20,1,3,0,18506,2:28,
74,86,7:00 PM,St. Louis Blues,0,0,0,4,53,16,5,L 1,32,4,0,2,0,29,8,0,0,0,18506,2:21,
75,88,7:00 PM,Columbus Blue Jackets,2,0,4,1,54,16,5,W 1,40,6,1,5,0,22,10,0,3,0,18506,2:26,
79,96,7:00 PM,New York Islanders,1,1,3,4,55,17,7,L 2,32,13,0,1,0,27,11,0,2,0,18506,2:33,
80,98,7:00 PM,Pittsburgh Penguins,1,1,3,4,55,17,8,L 3,30,13,0,4,0,35,10,0,4,1,18506,2:37,
82,101,7:30 PM,Anaheim Ducks,0,0,0,2,56,18,8,L 1,24,13,0,3,0,21,13,0,3,0,18506,2:22,
