G,DOY,Time,Opponent,Result,Overtime,For,Against,W,L,Streak,Notes
1,301,7:30p ET,Philadelphia 76ers,1,0,112,95,1,0,W 1,
2,303,7:30p ET,Toronto Raptors,0,0,103,113,1,1,L 1,
3,305,3:30p ET,San Antonio Spurs,0,0,87,95,1,2,L 2,
5,310,7:30p ET,Washington Wizards,1,0,118,98,2,3,W 1,
7,315,7:30p ET,Indiana Pacers,0,0,91,102,3,4,L 1,
8,317,7:30p ET,Atlanta Hawks,1,0,106,93,4,4,W 1,
11,322,7:30p ET,Dallas Mavericks,0,0,102,106,6,5,L 1,
12,324,7:30p ET,Brooklyn Nets,1,0,120,95,7,5,W 1,
15,329,7:30p ET,Philadelphia 76ers,1,0,84,80,8,7,W 1,
16,331,7:30p ET,Washington Wizards,1,0,111,78,9,7,W 2,
22,343,7:00p ET,Chicago Bulls,1,0,105,100,13,9,W 2,
23,345,7:30p ET,Golden State Warriors,0,2,119,124,13,10,L 1,
25,349,7:30p ET,Cleveland Cavaliers,0,0,77,89,14,11,L 1,
27,352,7:30p ET,Atlanta Hawks,0,0,101,109,14,13,L 3,
28,355,7:30p ET,Minnesota Timberwolves,1,0,113,99,15,13,W 1,
31,361,7:00p ET,New York Knicks,1,0,100,91,18,13,W 4,
32,364,7:30p ET,Los Angeles Lakers,0,0,104,112,18,14,L 1,
33,2,3:00p ET,Brooklyn Nets,0,0,97,100,18,15,L 2,
35,6,7:30p ET,Detroit Pistons,0,0,94,99,19,16,L 1,
39,13,8:00p ET,Indiana Pacers,1,0,103,94,20,19,W 1,
40,15,7:30p ET,Phoenix Suns,1,0,117,103,21,19,W 2,
44,22,7:30p ET,Chicago Bulls,1,0,110,101,23,21,W 1,
47,27,7:30p ET,Denver Nuggets,1,0,111,103,26,21,W 4,
48,29,7:30p ET,Orlando Magic,1,0,113,94,27,21,W 5,
51,34,7:30p ET,Detroit Pistons,1,0,102,95,29,22,W 2,
53,38,1:00p ET,Sacramento Kings,1,0,128,119,31,22,W 4,
55,41,7:30p ET,Los Angeles Clippers,1,1,139,134,32,23,W 1,
59,56,7:30p ET,Milwaukee Bucks,1,0,112,107,34,25,W 1,
60,58,3:00p ET,Miami Heat,1,0,101,89,35,25,W 2,
61,60,7:30p ET,Utah Jazz,1,0,100,95,36,25,W 3,
62,62,7:30p ET,Portland Trail Blazers,1,0,116,93,37,25,W 4,
63,64,7:30p ET,New York Knicks,1,0,105,104,38,25,W 5,
65,69,7:00p ET,Memphis Grizzlies,1,0,116,96,39,26,W 1,
66,71,7:30p ET,Houston Rockets,0,0,98,102,39,27,L 1,
68,76,7:00p ET,Oklahoma City Thunder,0,0,109,130,39,29,L 3,
71,81,7:30p ET,Orlando Magic,1,0,107,96,41,30,W 2,
72,83,7:30p ET,Toronto Raptors,1,0,91,79,42,30,W 3,
78,97,7:30p ET,New Orleans Pelicans,1,0,104,97,46,32,W 3,
79,99,7:30p ET,Milwaukee Bucks,1,0,124,109,47,32,W 4,
81,102,7:30p ET,Charlotte Hornets,0,0,100,114,47,34,L 2,
82,104,8:00p ET,Miami Heat,1,0,98,88,48,34,W 1,
