G,DOY,Time,Opponent,Result,Overtime,For,Against,W,L,Streak,Notes
2,302,10:30p ET,Dallas Mavericks,1,0,104,88,2,0,W 2,
3,304,10:30p ET,Sacramento Kings,1,0,114,109,3,0,W 3,
4,306,10:30p ET,Phoenix Suns,1,0,102,96,4,0,W 4,
6,311,10:30p ET,Houston Rockets,0,0,105,109,4,2,L 2,
7,313,10:30p ET,Memphis Grizzlies,1,0,94,92,5,2,W 1,
10,318,3:30p ET,Detroit Pistons,1,0,101,96,6,4,W 1,
11,323,10:30p ET,Golden State Warriors,0,0,117,124,6,5,L 1,
13,326,3:30p ET,Toronto Raptors,0,0,80,91,6,7,L 3,
15,329,10:30p ET,Utah Jazz,0,0,91,102,7,8,L 1,
16,331,10:30p ET,New Orleans Pelicans,1,0,111,90,8,8,W 1,
17,333,3:30p ET,Minnesota Timberwolves,1,0,107,99,9,8,W 2,
18,334,10:30p ET,Portland Trail Blazers,1,0,102,87,10,8,W 3,
19,336,10:30p ET,Indiana Pacers,0,0,91,103,10,9,L 1,
20,339,10:30p ET,Orlando Magic,1,0,103,101,11,9,W 1,
26,350,10:30p ET,Milwaukee Bucks,1,0,103,90,16,10,W 3,
29,355,10:30p ET,Oklahoma City Thunder,0,0,99,100,16,13,L 3,
35,2,10:30p ET,Philadelphia 76ers,1,0,130,99,22,13,W 6,
37,9,3:30p ET,Charlotte Hornets,1,0,97,83,24,13,W 8,
38,10,3:30p ET,New Orleans Pelicans,1,1,114,111,25,13,W 9,
39,13,10:30p ET,Miami Heat,1,0,104,90,26,13,W 10,
40,16,10:30p ET,Sacramento Kings,0,0,103,110,26,14,L 1,
41,18,10:30p ET,Houston Rockets,1,1,140,132,27,14,W 1,
47,29,10:30p ET,Los Angeles Lakers,1,0,105,93,31,16,W 3,
48,31,3:30p ET,Chicago Bulls,1,0,120,93,32,16,W 4,
49,34,10:30p ET,Minnesota Timberwolves,0,0,102,108,32,17,L 1,
54,49,10:30p ET,San Antonio Spurs,1,0,105,86,36,18,W 1,
55,51,8:30p ET,Golden State Warriors,0,0,112,115,36,19,L 1,
56,53,10:30p ET,Phoenix Suns,1,0,124,84,37,19,W 1,
57,55,10:30p ET,Denver Nuggets,0,0,81,87,37,20,L 1,
59,60,10:30p ET,Brooklyn Nets,1,0,105,95,39,20,W 2,
60,62,10:30p ET,Oklahoma City Thunder,1,0,103,98,40,20,W 3,
61,65,10:30p ET,Atlanta Hawks,0,0,97,107,40,21,L 1,
64,71,10:30p ET,New York Knicks,1,0,101,94,42,22,W 1,
65,73,3:30p ET,Cleveland Cavaliers,0,0,90,114,42,23,L 1,
71,84,10:30p ET,Portland Trail Blazers,1,0,96,94,44,27,W 1,
72,87,3:30p ET,Denver Nuggets,1,0,105,90,45,27,W 2,
73,88,10:30p ET,Boston Celtics,1,0,114,90,46,27,W 3,
76,94,3:30p ET,Washington Wizards,1,0,114,109,48,28,W 1,
77,96,10:30p ET,Los Angeles Lakers,1,0,103,81,49,28,W 2,
80,101,3:30p ET,Dallas Mavericks,1,0,98,91,52,28,W 5,
81,103,10:30p ET,Memphis Grizzlies,1,0,110,84,53,28,W 6,
