G,DOY,Time,Opponent,Result,Overtime,For,Against,W,L,OL,Streak,S_Tm,PIM_Tm,PPG_Tm,SHG_Tm,S_Opp,PIM_Opp,PPG_Opp,SHG_Opp,Notes
1,275,7:30 PM,Toronto Maple Leafs,0,0,1,3,0,1,0,L 1,32,11,1,0,25,21,1,0,
4,281,7:00 PM,Florida Panthers,2,0,2,1,1,3,0,W 1,30,24,0,0,34,27,0,0,
5,284,7:00 PM,Phoenix Coyotes,0,0,1,2,1,4,0,L 1,37,29,0,0,31,13,1,0,
7,288,7:00 PM,Vancouver Canucks,0,0,2,3,1,6,0,L 3,22,7,0,0,25,9,0,0,
8,290,7:00 PM,Pittsburgh Penguins,0,0,1,4,1,7,0,L 4,25,13,1,0,35,13,0,0,
9,297,7:00 PM,New York Rangers,2,0,2,1,2,7,0,W 1,27,14,0,1,31,41,0,0,
11,302,7:00 PM,Anaheim Ducks,0,0,2,3,3,8,0,L 1,28,4,1,0,37,4,0,0,
12,305,7:00 PM,Washington Capitals,0,0,0,7,3,9,0,L 2,30,99,0,0,32,65,2,0,
15,311,7:00 PM,New Jersey Devils,0,0,0,3,4,10,1,L 2,22,6,0,0,25,6,0,0,
16,313,1:00 PM,Edmonton Oilers,2,0,4,2,5,10,1,W 1,34,17,0,0,26,21,1,0,
20,323,7:00 PM,Ottawa Senators,2,0,5,2,8,10,2,W 1,42,19,1,1,34,15,2,0,
21,325,7:00 PM,Buffalo Sabres,2,0,4,1,9,10,2,W 2,46,22,1,0,30,14,1,0,
22,327,7:00 PM,New York Islanders,2,0,5,2,10,10,2,W 3,30,6,1,0,38,6,0,0,
25,333,11:30 AM,Winnipeg Jets,2,0,2,1,11,12,2,W 1,34,14,0,1,26,10,0,0,
32,346,7:00 PM,Montreal Canadiens,2,0,2,1,14,15,3,W 1,27,6,0,0,21,25,0,0,
34,351,7:30 PM,Washington Capitals,2,0,5,2,15,15,4,W 1,35,18,2,0,26,35,1,0,
35,353,7:00 PM,Columbus Blue Jackets,2,0,5,4,16,15,4,W 2,39,4,0,0,29,8,0,1,
37,357,7:30 PM,Minnesota Wild,2,0,4,1,17,16,4,W 1,31,10,1,0,27,8,1,0,
44,8,7:30 PM,Montreal Canadiens,2,0,3,1,23,17,4,W 3,27,13,0,0,20,13,0,1,
45,11,1:00 PM,Tampa Bay Lightning,0,0,3,6,23,18,4,L 1,38,10,1,0,25,12,0,0,
48,16,7:00 PM,Nashville Predators,1,2,3,4,24,19,5,L 1,30,10,1,0,37,8,2,0,
49,18,7:00 PM,New York Islanders,2,0,6,4,25,19,5,W 1,32,13,0,0,29,11,0,1,
52,22,6:00 PM,Carolina Hurricanes,0,0,2,3,25,20,6,L 1,24,6,1,0,32,6,0,0,Make-up game for snowstorm 2014-01-21
54,25,1:00 PM,Boston Bruins,0,0,1,6,25,22,6,L 3,26,20,1,0,33,14,3,0,
55,28,7:00 PM,Detroit Red Wings,2,0,5,0,26,22,6,W 1,28,12,1,0,33,8,0,0,
59,37,7:00 PM,Colorado Avalanche,2,0,3,1,29,23,6,W 3,35,8,1,0,39,21,0,0,
60,39,1:00 PM,Calgary Flames,2,0,2,1,30,23,6,W 4,23,6,0,0,33,6,0,0,
61,58,7:00 PM,San Jose Sharks,0,0,3,7,30,24,6,L 1,30,20,0,0,29,10,1,1,
62,60,1:00 PM,New York Rangers,2,0,4,2,31,24,6,W 1,31,18,1,0,35,20,1,0,
64,64,8:00 PM,Washington Capitals,2,0,6,4,33,24,6,W 3,30,32,1,0,25,38,3,0,
66,70,7:00 PM,New Jersey Devils,0,0,1,2,33,25,7,L 2,31,6,0,0,26,12,0,0,
67,74,1:00 PM,Pittsburgh Penguins,2,0,4,0,34,25,7,W 1,40,10,1,1,25,8,0,0,
69,77,7:30 PM,Chicago Blackhawks,2,1,3,2,36,25,7,W 3,37,18,0,0,25,20,0,0,
70,79,7:00 PM,Dallas Stars,2,0,4,2,37,25,7,W 4,29,6,1,0,35,4,1,0,
71,81,1:00 PM,St. Louis Blues,2,0,4,1,38,25,7,W 5,19,20,1,0,33,16,0,1,
72,83,7:00 PM,Los Angeles Kings,0,0,2,3,38,26,7,L 1,32,10,0,0,41,10,0,0,
74,87,7:00 PM,Toronto Maple Leafs,2,0,4,2,39,27,7,W 1,29,10,2,0,34,14,0,0,
75,89,12:30 PM,Boston Bruins,1,2,3,4,39,27,8,L 1,52,9,0,0,30,13,1,0,
77,93,7:00 PM,Columbus Blue Jackets,0,0,0,2,39,28,9,L 3,37,8,0,0,27,8,1,0,
79,96,7:30 PM,Buffalo Sabres,2,0,5,2,40,29,9,W 1,37,18,1,0,19,8,1,0,
83,103,3:00 PM,Carolina Hurricanes,1,2,5,6,42,30,10,L 1,44,19,1,0,38,6,1,0,
