GP,DOY,Time,Opponent,Result,Overtime,For,Against,W,L,OL,Streak,S_Tm,PIM_Tm,PPG_Tm,PPO_Tm,SHG_Tm,S_Opp,PIM_Opp,PPG_Opp,PPO_Opp,SHG_Opp,Att.,LOG,Notes
4,294,7:00 PM,Anaheim Ducks,0,0,2,3,1,2,1,L 3,22,6,1,7,0,26,16,0,2,0,19982,2:23,
5,296,7:00 PM,Carolina Hurricanes,2,0,6,3,2,2,1,W 1,27,12,1,4,0,30,10,1,5,0,19668,2:36,
7,299,7:30 PM,Buffalo Sabres,2,2,4,3,3,3,1,W 1,41,8,3,4,0,25,8,2,4,0,19209,2:50,
8,301,7:00 PM,Arizona Coyotes,0,0,4,5,3,4,1,L 1,32,11,2,8,0,25,31,0,3,1,19432,2:39,
9,303,7:00 PM,Pittsburgh Penguins,0,0,4,5,3,5,1,L 2,42,6,1,3,0,27,8,1,2,0,19927,2:41,
11,307,8:00 PM,Detroit Red Wings,2,1,4,3,5,5,1,W 2,40,9,0,1,0,25,9,0,1,0,19309,2:32,
14,313,7:00 PM,Detroit Red Wings,1,2,2,3,6,6,2,L 2,25,11,1,2,0,35,9,0,3,0,19598,2:35,
16,317,7:00 PM,Minnesota Wild,2,0,3,2,7,7,2,W 1,36,4,1,3,0,27,6,0,2,0,19591,2:30,
17,320,7:00 PM,Ottawa Senators,1,2,2,3,7,7,3,L 1,35,4,0,4,0,26,6,0,2,0,19358,2:49,
18,322,7:00 PM,Winnipeg Jets,2,0,5,2,8,7,3,W 1,22,2,0,1,0,32,2,0,1,0,19432,2:26,
19,324,1:00 PM,Tampa Bay Lightning,0,0,0,3,8,8,3,L 1,32,11,0,5,0,18,17,1,2,0,19732,2:25,
22,330,1:00 PM,New York Rangers,0,0,2,3,9,10,3,L 2,42,26,0,0,0,23,12,0,2,0,19981,2:33,
23,332,7:30 PM,Calgary Flames,2,0,5,3,10,10,3,W 1,43,14,1,6,0,32,34,1,1,2,19408,2:38,
24,334,7:30 PM,Boston Bruins,2,2,3,2,11,10,3,W 2,21,12,1,5,0,47,14,0,4,0,19558,2:57,
26,338,1:00 PM,Chicago Blackhawks,2,0,3,1,13,10,3,W 4,30,0,0,3,0,27,4,0,1,0,19487,2:27,
