G,DOY,Time,Opponent,Result,Overtime,For,Against,W,L,OL,Streak,S_Tm,PIM_Tm,PPG_Tm,SHG_Tm,S_Opp,PIM_Opp,PPG_Opp,SHG_Opp,Notes
1,281,10:00 PM,San Jose Sharks,0,0,0,4,0,1,0,L 1,34,13,0,0,30,15,1,0,
3,285,10:00 PM,Winnipeg Jets,2,0,4,1,1,1,1,W 1,31,18,0,0,30,30,0,0,
4,287,10:30 PM,Edmonton Oilers,2,0,6,1,2,1,1,W 2,26,11,1,1,32,11,0,0,
5,289,10:30 PM,St. Louis Blues,2,2,1,0,3,1,1,W 3,18,8,0,0,43,10,0,0,
6,292,3:00 PM,Minnesota Wild,2,0,2,1,4,1,1,W 4,16,23,1,0,41,9,0,0,
7,296,10:30 PM,Buffalo Sabres,2,0,2,0,5,1,1,W 5,39,18,2,0,29,28,0,0,
8,299,4:00 PM,Columbus Blue Jackets,2,0,5,2,6,1,1,W 6,27,21,1,0,24,13,1,0,
14,310,10:30 PM,New York Islanders,1,2,1,2,7,4,3,L 1,29,10,0,0,26,8,1,0,
15,312,10:00 PM,Vancouver Canucks,2,0,5,1,8,4,3,W 1,36,10,0,0,19,6,0,0,
17,317,10:30 PM,Dallas Stars,0,0,0,2,8,5,4,L 2,27,13,0,0,27,11,0,0,
18,319,4:00 PM,Anaheim Ducks,2,1,3,2,9,5,4,W 1,37,11,2,1,29,11,0,0,
19,322,10:30 PM,Florida Panthers,2,0,5,2,10,5,4,W 2,27,10,3,0,32,12,1,0,
20,324,10:30 PM,Carolina Hurricanes,2,0,3,2,11,5,4,W 3,39,13,1,0,27,21,1,0,
24,333,10:00 PM,Chicago Blackhawks,0,0,1,4,12,7,5,L 1,20,19,0,0,25,11,0,0,
25,336,10:30 PM,Boston Bruins,2,0,2,0,13,7,5,W 1,35,2,0,0,31,8,0,0,
27,340,4:00 PM,Philadelphia Flyers,0,0,1,2,14,8,5,L 1,38,10,0,0,16,10,1,0,
33,352,10:30 PM,St. Louis Blues,2,0,6,4,16,11,6,W 1,37,13,3,0,28,19,2,0,
34,354,4:00 PM,Arizona Coyotes,2,0,4,2,17,11,6,W 2,35,6,2,0,17,10,0,0,
35,356,10:30 PM,Calgary Flames,1,1,3,4,17,11,7,L 1,34,4,2,0,28,4,1,0,
36,361,10:00 PM,San Jose Sharks,2,0,3,1,18,11,7,W 1,29,4,2,0,22,8,0,0,
40,3,4:00 PM,Nashville Predators,1,1,6,7,19,12,9,L 1,30,8,0,0,25,10,1,0,
41,8,10:30 PM,New York Rangers,0,0,3,4,19,13,9,L 2,31,8,0,0,26,8,2,0,
42,10,10:00 PM,Winnipeg Jets,1,2,4,5,19,13,10,L 3,29,10,2,0,25,16,1,0,
43,12,10:30 PM,Toronto Maple Leafs,2,0,2,0,20,13,10,W 1,20,13,0,0,19,11,0,0,
44,14,10:30 PM,New Jersey Devils,0,0,3,5,20,14,10,L 1,26,13,0,0,20,13,2,0,
45,17,10:00 PM,Anaheim Ducks,1,2,2,3,20,14,11,L 2,28,9,1,0,31,11,1,0,
46,19,10:30 PM,Calgary Flames,1,1,1,2,20,14,12,L 3,34,16,0,0,23,12,0,0,
48,28,10:30 PM,Chicago Blackhawks,2,0,4,3,21,15,12,W 1,27,8,1,0,29,4,1,0,
54,43,10:30 PM,Calgary Flames,2,0,5,3,24,18,12,W 3,45,11,0,0,18,9,1,0,
55,45,10:00 PM,Washington Capitals,2,0,3,1,25,18,12,W 4,30,4,0,0,28,6,0,0,
56,47,10:30 PM,Tampa Bay Lightning,2,0,3,2,26,18,12,W 5,28,2,0,0,23,6,0,0,
59,55,10:30 PM,Detroit Red Wings,2,0,1,0,29,18,12,W 8,27,12,1,0,20,10,0,0,
60,57,10:30 PM,Ottawa Senators,0,0,0,1,29,19,12,L 1,35,6,0,0,28,8,0,0,
64,64,10:30 PM,Montreal Canadiens,2,2,4,3,31,21,12,W 2,29,11,2,0,18,15,0,0,
65,66,10:00 PM,Pittsburgh Penguins,1,1,0,1,31,21,13,L 1,31,10,0,0,18,6,0,0,
68,73,10:00 PM,Nashville Predators,0,0,1,2,33,22,13,L 1,24,8,1,0,23,4,1,0,
69,75,10:30 PM,Arizona Coyotes,2,0,1,0,34,22,13,W 1,35,4,0,0,25,6,0,0,
71,80,4:00 PM,Vancouver Canucks,0,0,1,4,34,23,14,L 2,26,21,1,0,42,8,1,1,
77,92,10:30 PM,Edmonton Oilers,2,0,8,2,38,25,14,W 1,33,6,1,0,30,2,1,0,
78,94,10:00 PM,Colorado Avalanche,2,0,3,1,39,25,14,W 2,26,2,0,0,10,0,0,0,
82,101,3:00 PM,San Jose Sharks,2,0,4,1,40,27,15,W 1,36,8,0,0,21,8,1,0,
