GP,DOY,Time,Opponent,Result,Overtime,For,Against,W,L,OL,Streak,S_Tm,PIM_Tm,PPG_Tm,PPO_Tm,SHG_Tm,S_Opp,PIM_Opp,PPG_Opp,PPO_Opp,SHG_Opp,Att.,LOG,Notes
1,280,10:30 PM,San Jose Sharks,0,0,1,5,0,1,0,L 1,20,36,0,6,0,32,24,2,8,0,18230,2:40,
2,282,10:30 PM,Arizona Coyotes,0,0,1,4,0,2,0,L 2,41,8,0,4,1,22,10,0,3,0,18230,2:27,
3,286,10:30 PM,Vancouver Canucks,0,0,0,3,0,3,0,L 3,15,13,0,3,0,26,11,0,4,0,18230,2:23,
4,289,10:30 PM,Minnesota Wild,2,1,2,1,1,3,0,W 1,37,10,1,4,0,26,8,1,5,0,18230,2:34,
5,291,10:00 PM,Colorado Avalanche,2,0,2,1,2,3,0,W 2,40,32,0,4,0,23,28,1,6,0,18230,2:34,
7,296,10:30 PM,Carolina Hurricanes,2,0,3,0,4,3,0,W 4,28,10,1,2,0,40,6,0,4,0,18230,2:31,
10,304,4:00 PM,Nashville Predators,2,1,4,3,7,3,0,W 7,29,6,1,3,0,34,6,2,3,0,18230,2:29,
13,309,10:30 PM,Columbus Blue Jackets,0,0,2,3,8,5,0,L 1,33,26,1,4,0,25,26,1,4,0,18230,2:37,
14,311,4:00 PM,Florida Panthers,2,0,4,1,9,5,0,W 1,35,6,1,1,0,19,2,0,3,0,18230,2:32,
15,314,10:30 PM,Arizona Coyotes,0,0,2,3,9,6,0,L 1,35,4,1,2,0,25,4,0,3,0,18230,2:26,
16,316,10:30 PM,New York Islanders,2,0,2,1,10,6,0,W 1,22,6,1,3,0,32,6,0,3,0,18230,2:27,
17,318,10:00 PM,Edmonton Oilers,2,0,4,3,11,6,0,W 2,28,6,0,4,0,25,6,0,3,0,18230,2:28,
23,332,10:30 PM,Chicago Blackhawks,2,1,3,2,14,8,1,W 1,36,2,0,1,0,22,2,1,1,0,18482,2:29,
24,335,10:30 PM,Vancouver Canucks,2,1,2,1,15,8,1,W 2,40,8,1,6,0,16,12,1,4,0,18230,2:30,
25,339,4:00 PM,Pittsburgh Penguins,2,0,5,3,16,8,1,W 3,37,4,1,3,0,20,6,0,2,0,18230,2:28,
26,340,10:00 PM,Tampa Bay Lightning,2,0,3,1,17,8,1,W 4,28,14,0,3,0,25,10,0,6,0,18230,2:35,
33,356,10:30 PM,San Jose Sharks,0,0,3,5,20,11,2,L 2,36,8,0,3,0,23,8,2,4,0,18493,2:33,
38,2,4:00 PM,Philadelphia Flyers,2,0,2,1,25,11,2,W 5,32,8,1,3,0,30,6,1,4,0,18230,2:33,
40,7,10:30 PM,Toronto Maple Leafs,2,0,2,1,26,12,2,W 1,41,10,0,2,0,26,19,1,4,0,18230,2:35,
41,9,10:30 PM,St. Louis Blues,1,2,1,2,26,12,3,L 1,27,22,0,4,0,16,13,0,2,0,18413,2:47,
42,11,10:30 PM,Detroit Red Wings,2,0,4,2,27,12,3,W 1,31,4,2,3,0,27,6,0,2,0,18230,2:23,
43,16,4:00 PM,Ottawa Senators,0,0,3,5,27,13,3,L 1,33,8,1,3,0,23,6,1,4,0,18230,2:29,
45,19,10:30 PM,Dallas Stars,2,0,3,2,29,13,3,W 2,29,4,1,2,0,29,4,0,2,0,18230,2:34,
46,21,10:30 PM,Minnesota Wild,0,0,0,3,29,14,3,L 1,32,6,0,1,0,28,4,1,2,1,18230,2:37,
49,27,10:30 PM,Colorado Avalanche,0,0,3,4,30,16,3,L 1,38,14,0,5,1,19,12,1,6,0,18230,2:29,
51,35,10:00 PM,Anaheim Ducks,0,0,2,4,31,17,3,L 1,25,12,1,2,0,24,6,1,5,0,18230,2:33,
59,54,10:30 PM,Calgary Flames,2,0,2,1,35,20,4,W 2,37,6,1,4,0,23,10,1,2,0,18230,2:38,
60,56,10:30 PM,Edmonton Oilers,2,0,2,1,36,20,4,W 3,36,2,0,1,0,27,2,0,1,0,18230,2:39,
61,58,11:00 PM,Buffalo Sabres,2,0,2,0,37,20,4,W 4,35,6,0,2,0,23,4,0,3,0,18230,2:28,
63,63,10:30 PM,Montreal Canadiens,2,0,3,2,38,21,4,W 1,31,8,0,4,0,15,12,0,2,0,18230,2:25,
64,65,4:00 PM,Anaheim Ducks,0,0,2,3,38,22,4,L 1,34,36,2,6,0,22,44,2,2,0,18230,2:36,
65,67,10:30 PM,Vancouver Canucks,2,0,5,1,39,22,4,W 1,29,17,1,2,0,22,9,0,5,0,18230,2:21,
66,69,10:30 PM,Washington Capitals,2,1,4,3,40,22,4,W 2,30,14,1,3,0,32,18,1,1,0,18324,2:38,
67,72,10:30 PM,New Jersey Devils,1,1,1,2,40,22,5,L 1,23,2,0,5,0,24,10,0,1,0,18412,2:30,
70,77,10:30 PM,New York Rangers,2,1,4,3,43,22,5,W 3,37,4,0,2,0,26,6,0,1,0,18230,2:36,
71,79,10:30 PM,Boston Bruins,2,0,2,1,44,22,5,W 4,20,13,0,2,0,28,9,0,4,0,18373,2:26,
75,86,10:00 PM,Edmonton Oilers,2,0,6,4,45,25,5,W 1,33,13,0,1,1,29,7,1,4,0,18230,2:32,
77,91,10:30 PM,Calgary Flames,2,0,3,0,46,26,5,W 1,29,4,1,3,0,21,6,0,2,0,18417,2:21,
78,93,4:00 PM,Dallas Stars,0,0,2,3,46,27,5,L 1,26,8,0,2,0,39,4,1,3,0,18230,2:52,
81,98,10:30 PM,Anaheim Ducks,2,0,2,1,48,28,5,W 2,31,17,0,3,0,20,17,0,3,0,18511,2:39,
82,100,10:00 PM,Winnipeg Jets,1,2,3,4,48,28,6,L 1,29,6,0,0,0,31,0,0,3,0,18449,2:46,
