G,DOY,Time,Opponent,Result,Overtime,For,Against,W,L,Streak,Notes
2,303,7:30p ET,Memphis Grizzlies,1,0,111,104,1,1,W 1,
4,307,7:30p ET,Houston Rockets,0,0,99,118,1,3,L 2,
6,311,12:00p ET,Utah Jazz,0,0,109,114,2,4,L 1,
7,314,7:00p ET,Brooklyn Nets,1,0,110,96,3,4,W 1,
10,319,7:30p ET,Dallas Mavericks,1,0,93,77,4,6,W 1,
11,321,7:30p ET,Detroit Pistons,1,0,105,102,5,6,W 2,
13,325,12:00p ET,Atlanta Hawks,1,0,104,94,6,7,W 1,
14,327,7:30p ET,Portland Trail Blazers,1,0,107,103,7,7,W 2,
15,330,7:30p ET,Charlotte Hornets,1,1,113,111,8,7,W 3,
17,333,7:30p ET,Oklahoma City Thunder,0,0,103,112,8,9,L 2,
19,337,7:30p ET,Minnesota Timberwolves,1,0,118,114,10,9,W 2,
20,339,7:30p ET,Sacramento Kings,1,0,106,98,11,9,W 3,
22,342,8:00p ET,Cleveland Cavaliers,0,0,94,126,12,10,L 1,
28,355,7:30p ET,Indiana Pacers,1,0,118,111,15,13,W 1,
29,357,7:30p ET,Orlando Magic,1,0,106,95,16,13,W 2,
30,360,12:00p ET,Boston Celtics,0,0,114,119,16,14,L 1,
34,2,7:30p ET,Orlando Magic,0,0,103,115,16,18,L 5,
35,4,7:30p ET,Milwaukee Bucks,0,0,104,105,16,19,L 6,
38,9,7:30p ET,New Orleans Pelicans,0,0,96,110,17,21,L 2,
40,12,8:00p ET,Chicago Bulls,1,0,104,89,18,22,W 1,
42,16,1:00p ET,Atlanta Hawks,0,0,107,108,18,24,L 2,
44,19,8:00p ET,Washington Wizards,0,0,110,113,19,25,L 1,
45,21,7:30p ET,Phoenix Suns,0,0,105,107,19,26,L 2,
48,27,7:30p ET,Charlotte Hornets,1,0,110,107,21,27,W 1,
52,35,8:30p ET,Cleveland Cavaliers,0,0,104,111,22,30,L 1,
53,37,7:00p ET,Los Angeles Lakers,0,0,107,121,22,31,L 2,
54,39,8:00p ET,Los Angeles Clippers,0,0,115,119,22,32,L 3,
55,41,7:30p ET,Denver Nuggets,0,0,123,131,22,33,L 4,
56,43,3:30p ET,San Antonio Spurs,1,0,94,90,23,33,W 1,
59,56,7:30p ET,Philadelphia 76ers,1,0,110,109,24,35,W 1,
60,58,7:00p ET,Toronto Raptors,0,0,91,92,24,36,L 1,
63,64,3:30p ET,Golden State Warriors,0,0,105,112,25,38,L 2,
68,73,7:30p ET,Indiana Pacers,1,0,87,81,27,41,W 1,
69,75,7:30p ET,Brooklyn Nets,0,0,110,121,27,42,L 1,
74,86,7:30p ET,Detroit Pistons,1,0,109,95,28,46,W 1,
75,88,7:30p ET,Miami Heat,0,0,88,105,28,47,L 1,
77,92,1:00p ET,Boston Celtics,0,0,94,110,29,48,L 1,
78,94,8:00p ET,Chicago Bulls,1,0,100,91,30,48,W 1,
79,96,7:30p ET,Washington Wizards,0,0,103,106,30,49,L 1,
81,99,12:00p ET,Toronto Raptors,0,0,97,110,30,51,L 3,
82,102,8:00p ET,Philadelphia 76ers,1,0,114,113,31,51,W 1,
