G,DOY,Time,Opponent,Result,Overtime,For,Against,W,L,Streak,Notes
1,301,10:30p ET,Minnesota Timberwolves,0,0,111,112,0,1,L 1,
3,305,9:30p ET,Dallas Mavericks,0,0,93,103,0,3,L 3,
4,307,10:30p ET,Denver Nuggets,0,0,109,120,0,4,L 4,
10,319,9:30p ET,Detroit Pistons,1,0,97,85,2,8,W 1,
12,324,10:30p ET,Toronto Raptors,0,0,91,102,2,10,L 2,
13,326,9:30p ET,Portland Trail Blazers,0,0,93,107,2,11,L 3,
16,333,9:30p ET,Indiana Pacers,0,0,103,107,2,14,L 6,
25,349,10:30p ET,Milwaukee Bucks,1,0,113,95,4,21,W 1,
26,351,10:30p ET,Houston Rockets,0,0,87,107,4,22,L 1,
29,357,10:30p ET,Oklahoma City Thunder,0,0,85,120,5,24,L 1,
30,359,10:30p ET,Los Angeles Clippers,0,0,84,94,5,25,L 2,
34,1,10:30p ET,Philadelphia 76ers,1,0,93,84,7,27,W 2,
35,3,9:30p ET,Phoenix Suns,1,0,97,77,8,27,W 3,
36,5,10:30p ET,Golden State Warriors,0,0,88,109,8,28,L 1,
38,8,10:30p ET,Oklahoma City Thunder,0,0,113,117,8,30,L 3,
39,10,9:30p ET,Utah Jazz,0,0,74,86,8,31,L 4,
40,12,10:30p ET,New Orleans Pelicans,1,0,95,91,9,31,W 1,
43,17,9:30p ET,Houston Rockets,0,0,95,112,9,34,L 3,
44,20,10:30p ET,Sacramento Kings,0,0,93,112,9,35,L 4,
45,22,10:30p ET,San Antonio Spurs,0,0,95,108,9,36,L 5,
47,26,10:30p ET,Dallas Mavericks,0,0,90,92,9,38,L 7,
48,28,10:30p ET,Chicago Bulls,0,0,91,114,9,39,L 8,
50,31,9:30p ET,Charlotte Hornets,0,0,82,101,9,41,L 10,
51,33,10:30p ET,Minnesota Timberwolves,1,0,119,115,10,41,W 1,
56,50,10:30p ET,San Antonio Spurs,0,0,113,119,11,45,L 4,
60,57,10:30p ET,Memphis Grizzlies,0,0,95,112,11,49,L 8,
61,61,10:30p ET,Brooklyn Nets,1,0,107,101,12,49,W 1,
63,64,10:30p ET,Atlanta Hawks,0,0,77,106,12,51,L 2,
64,66,3:30p ET,Golden State Warriors,1,0,112,95,13,51,W 1,
65,68,10:30p ET,Orlando Magic,1,0,107,98,14,51,W 2,
66,70,10:30p ET,Cleveland Cavaliers,0,0,108,120,14,52,L 1,
67,73,9:30p ET,New York Knicks,0,0,87,90,14,53,L 2,
68,75,10:30p ET,Sacramento Kings,0,0,98,106,14,54,L 3,
69,78,10:30p ET,Phoenix Suns,0,0,90,95,14,55,L 4,
70,82,10:30p ET,Memphis Grizzlies,1,0,107,100,15,55,W 1,
72,85,10:30p ET,Denver Nuggets,0,0,105,116,15,57,L 2,
73,87,9:30p ET,Washington Wizards,0,0,88,101,15,58,L 3,
75,90,10:30p ET,Miami Heat,1,1,102,100,16,59,W 1,
76,94,9:30p ET,Boston Celtics,0,0,100,107,16,60,L 1,
78,97,10:30p ET,Los Angeles Clippers,0,0,81,91,16,62,L 3,
82,104,10:30p ET,Utah Jazz,1,0,101,96,17,65,W 1,
