G,DOY,Time,Opponent,Result,Overtime,For,Against,W,L,OL,Streak,S_Tm,PIM_Tm,PPG_Tm,SHG_Tm,S_Opp,PIM_Opp,PPG_Opp,SHG_Opp,Notes
1,281,7:00 PM,Montreal Canadiens,0,0,3,4,0,1,0,L 1,27,4,1,0,32,6,0,0,
2,284,7:00 PM,Pittsburgh Penguins,0,0,2,5,0,2,0,L 2,25,15,2,0,41,17,3,0,
4,287,7:30 PM,Colorado Avalanche,2,1,3,2,2,2,0,W 2,40,8,0,0,24,12,0,0,
5,290,7:30 PM,Detroit Red Wings,0,0,1,4,2,3,0,L 1,24,12,0,0,35,6,0,0,
8,298,7:00 PM,Boston Bruins,0,0,1,4,3,4,1,L 1,33,10,0,0,33,8,1,1,
9,301,7:30 PM,Buffalo Sabres,2,0,4,0,4,4,1,W 1,37,11,1,0,10,19,0,0,
11,305,7:00 PM,Chicago Blackhawks,2,0,3,2,6,4,1,W 3,27,8,0,0,47,6,2,0,
14,312,7:00 PM,New York Rangers,2,0,5,4,7,5,2,W 1,31,4,1,1,35,4,0,0,
16,316,8:00 PM,Boston Bruins,2,0,6,1,9,5,2,W 3,33,6,3,0,26,8,0,0,
17,318,7:30 PM,Pittsburgh Penguins,0,0,1,2,9,6,2,L 1,31,8,0,0,40,14,0,0,
19,322,7:30 PM,Nashville Predators,0,0,2,9,9,8,2,L 3,31,18,0,0,37,14,1,0,
20,324,7:30 PM,Tampa Bay Lightning,2,0,5,2,10,8,2,W 1,21,6,1,0,28,6,0,1,
21,326,7:00 PM,Detroit Red Wings,2,0,4,1,11,8,2,W 2,28,6,0,1,27,8,0,0,
23,333,7:00 PM,Washington Capitals,2,0,6,2,12,8,3,W 1,23,21,3,0,37,23,1,0,
24,336,7:30 PM,Dallas Stars,2,0,5,3,13,8,3,W 2,40,10,1,0,38,14,0,0,
25,338,7:30 PM,New Jersey Devils,0,0,3,5,13,9,3,L 1,32,6,1,1,26,4,2,0,
26,340,7:00 PM,Vancouver Canucks,2,0,5,2,14,9,3,W 1,28,12,0,0,46,8,0,0,
27,343,7:30 PM,Calgary Flames,2,0,4,1,15,9,3,W 2,29,4,1,0,33,4,1,0,
29,347,7:00 PM,Detroit Red Wings,2,0,4,1,17,9,3,W 4,41,11,1,0,28,17,1,0,
30,348,5:00 PM,Los Angeles Kings,2,2,4,3,18,9,3,W 5,31,6,1,0,36,8,0,0,
31,350,7:30 PM,Anaheim Ducks,2,0,6,2,19,9,3,W 6,27,10,1,0,42,22,0,1,
33,354,7:00 PM,Philadelphia Flyers,0,0,4,7,19,11,3,L 2,25,6,1,0,42,8,0,0,
41,7,7:00 PM,Washington Capitals,0,0,2,6,21,17,3,L 3,33,6,0,0,26,6,0,1,
42,9,7:30 PM,Columbus Blue Jackets,2,0,5,2,22,17,3,W 1,32,4,2,0,20,6,1,0,
47,19,7:30 PM,Carolina Hurricanes,0,0,1,4,22,22,3,L 5,35,28,1,0,32,20,0,0,
50,29,7:30 PM,Arizona Coyotes,0,0,1,3,22,24,4,L 8,25,8,0,0,45,6,1,1,
54,38,7:00 PM,Edmonton Oilers,2,0,5,1,23,27,4,W 1,28,9,1,0,32,11,0,0,
55,41,7:30 PM,New York Rangers,0,0,4,5,23,28,4,L 1,34,4,1,0,39,4,0,1,
58,48,7:30 PM,Florida Panthers,0,0,2,3,23,30,5,L 4,29,15,2,0,17,9,2,0,
60,52,7:00 PM,Winnipeg Jets,2,1,4,3,24,31,5,W 1,33,19,0,1,34,17,2,0,
61,57,7:30 PM,Philadelphia Flyers,2,0,3,2,25,31,5,W 2,17,14,1,0,49,10,2,0,
66,66,7:00 PM,St. Louis Blues,0,0,1,6,26,35,5,L 2,24,29,0,0,44,19,1,1,
67,68,7:30 PM,New York Islanders,1,1,3,4,26,35,6,L 3,25,10,0,0,43,8,1,0,
68,70,7:00 PM,Buffalo Sabres,2,2,4,3,27,35,6,W 1,34,4,1,0,33,10,0,0,
72,78,7:30 PM,San Jose Sharks,0,0,1,4,27,39,6,L 4,28,12,0,0,42,4,1,0,
74,82,7:30 PM,Minnesota Wild,0,0,1,2,27,41,6,L 6,36,11,0,0,32,13,0,0,
75,85,7:30 PM,Florida Panthers,0,0,1,4,27,42,6,L 7,25,16,0,0,28,10,0,0,
76,87,7:00 PM,Ottawa Senators,2,1,4,3,28,42,6,W 1,31,7,1,0,25,11,1,0,
77,90,7:30 PM,Tampa Bay Lightning,2,0,3,1,29,42,6,W 2,28,11,1,0,41,11,1,0,
80,95,7:30 PM,Ottawa Senators,2,2,3,2,30,43,7,W 1,38,12,0,0,45,6,2,0,
82,101,7:00 PM,Montreal Canadiens,1,2,3,4,30,44,8,L 2,22,10,0,0,33,34,0,0,
