GP,DOY,Time,Opponent,Result,Overtime,For,Against,W,L,OL,Streak,S_Tm,PIM_Tm,PPG_Tm,PPO_Tm,SHG_Tm,S_Opp,PIM_Opp,PPG_Opp,PPO_Opp,SHG_Opp,Att.,LOG,Notes
1,280,7:00 PM,Montreal Canadiens,0,0,1,3,0,1,0,L 1,37,4,1,3,0,29,8,0,1,0,19241,2:36,
3,283,7:00 PM,Ottawa Senators,1,2,4,5,0,2,1,L 3,41,14,1,4,0,33,10,3,6,0,19187,2:53,
8,299,7:30 PM,Arizona Coyotes,0,0,3,4,1,5,2,L 4,27,10,0,2,0,24,6,2,4,0,18944,2:48,
10,304,7:00 PM,Pittsburgh Penguins,0,0,0,4,1,7,2,L 6,21,9,0,4,0,32,10,1,3,1,19197,2:30,
11,306,7:30 PM,Dallas Stars,2,0,4,1,2,7,2,W 1,26,2,2,5,0,44,10,0,2,0,19087,2:51,
12,308,7:00 PM,Winnipeg Jets,0,0,2,4,2,8,2,L 1,26,2,1,3,0,34,6,0,2,1,19113,2:32,
13,310,7:00 PM,Detroit Red Wings,1,1,1,2,2,8,3,L 2,33,6,0,4,0,24,8,0,3,0,19680,2:40,
17,318,7:00 PM,Vancouver Canucks,2,0,4,2,5,8,4,W 3,40,6,1,4,0,45,10,1,3,0,19798,2:41,
19,321,7:30 PM,Colorado Avalanche,2,0,5,1,6,9,4,W 1,30,8,4,5,1,35,10,0,4,0,19238,2:25,
22,327,7:30 PM,Boston Bruins,1,2,3,4,7,10,5,L 2,42,10,0,6,0,29,16,0,3,1,19609,2:58,
23,332,7:00 PM,Washington Capitals,0,0,2,4,7,11,5,L 3,34,6,1,2,0,23,4,2,3,0,19053,2:25,
24,334,7:30 PM,Edmonton Oilers,2,0,3,0,8,11,5,W 1,26,6,1,3,0,24,6,0,3,0,19559,2:27,
28,342,7:30 PM,New Jersey Devils,2,2,3,2,10,13,5,W 2,37,10,1,5,0,27,10,2,5,0,19043,2:46,
29,349,7:30 PM,Tampa Bay Lightning,1,1,4,5,10,13,6,L 1,37,6,1,3,0,27,6,0,3,0,18989,2:38,
30,351,7:30 PM,San Jose Sharks,1,1,4,5,10,13,7,L 2,31,6,0,3,0,44,4,2,3,0,18966,2:41,
31,353,7:00 PM,Los Angeles Kings,2,0,5,0,11,13,7,W 1,34,2,0,0,0,26,0,0,1,0,19362,2:28,
35,363,7:00 PM,New York Islanders,0,0,3,6,13,15,7,L 1,33,8,0,4,0,21,8,0,4,0,19899,2:32,
37,2,7:00 PM,St. Louis Blues,2,0,4,1,15,15,7,W 2,33,4,1,5,0,40,10,1,1,0,19221,2:37,
41,13,7:00 PM,Columbus Blue Jackets,0,0,1,3,16,18,7,L 3,42,4,0,3,0,22,6,1,2,0,18903,2:32,
42,15,7:00 PM,Chicago Blackhawks,0,0,1,4,16,19,7,L 4,29,12,0,3,0,29,6,2,6,0,20049,2:30,
45,21,7:30 PM,Carolina Hurricanes,1,1,0,1,17,20,8,L 1,32,10,0,2,0,41,6,0,4,0,18981,2:29,
46,23,7:00 PM,Montreal Canadiens,1,2,2,3,17,20,9,L 2,19,8,0,2,0,29,4,0,4,0,19807,2:49,
50,35,7:30 PM,New Jersey Devils,2,2,3,2,19,22,9,W 2,39,10,0,4,0,34,8,1,6,0,18947,3:00,
56,49,7:30 PM,New York Rangers,0,0,2,4,20,27,9,L 2,37,16,0,5,0,20,14,1,3,0,18952,2:36,
57,51,7:00 PM,Philadelphia Flyers,1,1,4,5,20,27,10,L 3,24,2,0,2,0,28,4,0,1,0,19060,2:47,
58,54,7:30 PM,Nashville Predators,0,0,2,3,20,28,10,L 4,27,2,1,4,0,26,8,1,2,0,18844,2:30,
59,56,7:30 PM,Carolina Hurricanes,2,0,3,1,21,28,10,W 1,29,12,1,4,0,31,12,0,4,0,18862,2:40,
61,60,7:30 PM,Tampa Bay Lightning,0,0,1,2,21,30,10,L 2,32,9,0,2,0,28,11,0,1,0,18933,2:28,
63,63,7:30 PM,Minnesota Wild,0,0,1,2,21,32,10,L 4,22,6,0,0,0,22,0,2,4,0,18915,2:27,
64,65,7:00 PM,Ottawa Senators,0,0,2,3,21,33,10,L 5,43,7,1,3,0,31,11,0,1,0,19339,2:32,
65,67,7:30 PM,Buffalo Sabres,1,2,3,4,21,33,11,L 6,33,14,1,3,0,27,12,0,4,0,18950,2:50,
66,69,7:00 PM,New York Islanders,2,2,4,3,22,33,11,W 1,36,4,2,4,0,27,10,0,1,0,18889,2:49,
69,75,7:30 PM,Tampa Bay Lightning,2,0,4,1,24,34,11,W 2,24,8,0,3,0,27,10,0,3,0,18874,2:27,
70,77,7:30 PM,Florida Panthers,0,0,1,4,24,35,11,L 1,33,8,0,2,0,32,4,1,4,0,18922,2:32,
71,79,7:00 PM,Buffalo Sabres,2,0,4,1,25,35,11,W 1,31,20,0,1,0,21,18,0,2,0,18829,2:30,
72,81,7:30 PM,Calgary Flames,2,0,5,2,26,35,11,W 2,26,6,0,6,0,25,14,0,2,1,19069,2:32,
73,84,7:30 PM,Anaheim Ducks,2,1,6,5,27,35,11,W 3,26,8,3,5,0,38,20,2,4,1,18935,2:38,
74,86,7:00 PM,Boston Bruins,0,0,1,3,27,36,11,L 1,26,12,0,2,0,33,8,2,4,0,19185,2:38,
78,93,7:00 PM,Detroit Red Wings,0,0,2,3,28,39,11,L 2,34,8,0,3,0,26,8,1,3,0,19371,2:30,
79,95,7:30 PM,Florida Panthers,0,0,3,4,28,40,11,L 3,26,10,1,2,0,36,4,0,5,0,18846,2:50,
80,97,7:00 PM,Columbus Blue Jackets,0,0,1,5,28,41,11,L 4,27,4,0,2,1,32,4,0,2,0,18837,2:23,
