G,DOY,Time,Opponent,Result,Overtime,For,Against,W,L,Streak,Notes
4,307,8:30p ET,Toronto Raptors,0,0,91,102,2,2,L 1,
5,309,8:30p ET,Charlotte Hornets,0,0,94,108,2,3,L 2,
6,311,8:30p ET,New Orleans Pelicans,1,0,107,98,3,3,W 1,
8,315,8:00p ET,Los Angeles Clippers,1,0,118,108,4,4,W 1,
9,317,8:30p ET,Los Angeles Lakers,1,0,90,82,5,4,W 2,
13,324,8:30p ET,Utah Jazz,1,0,102,93,9,4,W 6,
17,332,8:30p ET,Denver Nuggets,1,0,92,81,10,7,W 1,
20,338,8:30p ET,Houston Rockets,0,0,96,100,11,9,L 1,
23,343,9:30p ET,Atlanta Hawks,0,0,95,98,13,10,L 1,
24,346,8:30p ET,Washington Wizards,0,0,111,114,13,11,L 2,
25,348,8:30p ET,Phoenix Suns,1,0,104,94,14,11,W 1,
27,352,8:30p ET,Memphis Grizzlies,1,0,97,88,15,12,W 1,
30,360,8:30p ET,Chicago Bulls,1,0,118,111,17,13,W 2,
31,362,8:30p ET,Milwaukee Bucks,1,0,103,93,18,13,W 3,
32,364,8:30p ET,Golden State Warriors,1,0,114,91,19,13,W 4,
34,2,8:30p ET,New Orleans Pelicans,0,0,98,105,19,15,L 2,
35,5,8:30p ET,Sacramento Kings,1,2,117,116,20,15,W 1,
39,12,8:30p ET,Cleveland Cavaliers,0,1,107,110,22,17,L 1,
43,18,8:30p ET,Boston Celtics,1,1,118,113,24,19,W 1,
44,20,8:30p ET,Minnesota Timberwolves,1,1,106,94,25,19,W 2,
45,22,8:30p ET,Oklahoma City Thunder,0,0,106,109,25,20,L 1,
49,29,8:30p ET,Brooklyn Nets,1,0,91,79,27,22,W 1,
50,31,7:00p ET,Phoenix Suns,1,0,91,78,28,22,W 2,
52,34,8:30p ET,Miami Heat,0,0,90,93,28,24,L 2,
53,36,9:30p ET,San Antonio Spurs,0,0,90,116,28,25,L 3,
55,40,8:30p ET,Utah Jazz,0,1,119,121,29,26,L 1,
57,52,7:00p ET,Philadelphia 76ers,1,0,129,103,30,27,W 1,
58,55,8:30p ET,Oklahoma City Thunder,0,0,103,116,30,28,L 1,
59,57,8:30p ET,Denver Nuggets,1,1,122,116,31,28,W 1,
60,59,7:00p ET,Minnesota Timberwolves,1,0,128,101,32,28,W 2,
61,61,8:30p ET,Orlando Magic,1,0,121,108,33,28,W 3,
62,63,8:30p ET,Sacramento Kings,0,0,101,104,33,29,L 1,
64,67,8:30p ET,Los Angeles Clippers,0,0,90,109,33,31,L 3,
65,69,8:30p ET,Detroit Pistons,0,0,96,102,33,32,L 4,
66,72,2:00p ET,Indiana Pacers,0,0,105,112,33,33,L 5,
69,78,8:30p ET,Golden State Warriors,0,0,112,130,34,35,L 2,
70,80,4:00p ET,Portland Trail Blazers,1,1,132,120,35,35,W 1,
75,90,8:30p ET,New York Knicks,1,0,91,89,37,38,W 2,
78,97,9:30p ET,Houston Rockets,1,0,88,86,40,38,W 5,
79,99,8:30p ET,Memphis Grizzlies,1,0,103,93,41,38,W 6,
82,104,8:00p ET,San Antonio Spurs,0,0,91,96,42,40,L 1,
