G,DOY,Time,Opponent,Result,Overtime,For,Against,W,L,Streak,Notes
2,305,9:00p ET,Portland Trail Blazers,0,0,98,113,0,2,L 2,
3,309,9:00p ET,San Antonio Spurs,0,0,94,102,0,3,L 3,
4,311,9:00p ET,Atlanta Hawks,1,0,109,107,1,3,W 1,
7,317,9:00p ET,Los Angeles Lakers,1,0,111,99,3,4,W 2,
8,319,8:00p ET,Minnesota Timberwolves,1,0,117,113,4,4,W 3,
11,325,10:30p ET,Chicago Bulls,1,0,97,87,5,6,W 1,
12,327,9:00p ET,Dallas Mavericks,1,0,102,100,6,6,W 2,
15,333,9:00p ET,New York Knicks,1,0,97,95,9,6,W 5,
22,347,9:00p ET,Utah Jazz,0,0,93,103,13,9,L 1,
23,349,8:00p ET,New Orleans Pelicans,1,0,102,93,14,9,W 1,
24,351,9:00p ET,Oklahoma City Thunder,0,0,93,105,14,10,L 1,
25,354,9:00p ET,Phoenix Suns,0,0,99,103,14,11,L 2,
27,357,9:00p ET,Golden State Warriors,0,0,81,89,14,13,L 4,
30,364,9:00p ET,Miami Heat,0,0,94,97,14,16,L 7,
31,1,9:00p ET,Philadelphia 76ers,0,0,102,114,14,17,L 8,
32,3,9:00p ET,Memphis Grizzlies,1,0,111,108,15,17,W 1,
34,7,9:00p ET,Boston Celtics,1,0,129,98,17,17,W 3,
35,9,10:30p ET,Oklahoma City Thunder,1,0,101,88,18,17,W 4,
36,11,9:00p ET,Orlando Magic,1,0,120,94,19,17,W 5,
39,17,9:00p ET,Cleveland Cavaliers,0,0,109,117,20,19,L 1,
42,25,9:00p ET,Indiana Pacers,1,0,109,96,21,21,W 1,
44,29,9:00p ET,Charlotte Bobcats,0,0,98,101,22,22,L 1,
45,31,9:00p ET,Toronto Raptors,0,0,90,100,22,23,L 2,
46,34,9:00p ET,Los Angeles Clippers,1,0,116,115,23,23,W 1,
47,36,9:00p ET,Milwaukee Bucks,1,0,110,100,24,23,W 2,
52,49,9:00p ET,Phoenix Suns,0,1,107,112,24,28,L 5,
55,54,8:00p ET,Sacramento Kings,0,0,95,109,25,30,L 2,
56,56,9:00p ET,Portland Trail Blazers,0,0,95,100,25,31,L 3,
57,58,10:30p ET,Brooklyn Nets,0,0,89,112,25,32,L 4,
59,62,9:00p ET,Minnesota Timberwolves,0,0,128,132,25,34,L 6,
60,64,8:00p ET,Dallas Mavericks,1,0,115,110,26,34,W 1,
61,66,9:00p ET,Los Angeles Lakers,1,0,134,126,27,34,W 2,
67,76,10:30p ET,Los Angeles Clippers,1,0,110,100,30,37,W 1,
68,78,9:00p ET,Detroit Pistons,1,0,118,109,31,37,W 2,
70,82,5:00p ET,Washington Wizards,1,0,105,102,32,38,W 1,
73,87,9:00p ET,San Antonio Spurs,0,0,102,133,32,41,L 3,
74,90,9:00p ET,Memphis Grizzlies,0,0,92,94,32,42,L 4,
75,92,9:00p ET,New Orleans Pelicans,1,0,137,107,33,42,W 1,
78,99,9:00p ET,Houston Rockets,1,0,123,116,34,44,W 1,
80,102,9:00p ET,Utah Jazz,1,0,101,94,36,44,W 3,
82,106,10:30p ET,Golden State Warriors,0,0,112,116,36,46,L 2,
