G,DOY,Time,Opponent,Result,Overtime,For,Against,W,L,OL,Streak,S_Tm,PIM_Tm,PPG_Tm,SHG_Tm,S_Opp,PIM_Opp,PPG_Opp,SHG_Opp,Notes
3,285,7:00 PM,Toronto Maple Leafs,0,0,3,6,1,2,0,L 2,38,8,0,0,36,4,2,1,
4,287,7:00 PM,New York Islanders,0,0,3,6,1,3,0,L 3,43,8,0,0,27,8,1,0,
5,289,7:00 PM,Carolina Hurricanes,2,2,2,1,2,3,0,W 1,34,8,0,0,30,12,0,0,
6,292,5:00 PM,San Jose Sharks,2,0,4,0,3,3,0,W 2,29,13,0,0,33,9,0,0,
9,300,7:00 PM,Minnesota Wild,2,0,5,4,5,4,0,W 1,20,29,0,0,30,2,0,0,
10,305,7:00 PM,Winnipeg Jets,1,2,0,1,5,4,1,L 1,38,6,0,0,25,10,0,0,
11,307,7:00 PM,St. Louis Blues,1,2,3,4,5,4,2,L 2,39,13,1,0,34,15,1,0,
12,309,8:00 PM,Detroit Red Wings,2,1,4,3,6,4,2,W 1,30,12,2,0,28,10,2,0,
14,313,6:00 PM,Edmonton Oilers,0,0,1,3,6,6,2,L 2,21,6,0,0,33,2,0,0,
15,315,7:00 PM,Pittsburgh Penguins,2,0,5,0,7,6,2,W 1,35,6,1,1,33,8,0,0,
16,317,7:00 PM,Colorado Avalanche,1,2,3,4,7,6,3,L 1,33,9,0,0,29,11,1,0,
18,321,7:00 PM,Tampa Bay Lightning,0,0,1,5,7,7,4,L 3,16,6,1,0,30,6,1,0,
19,323,8:00 PM,Philadelphia Flyers,2,0,2,0,8,7,4,W 1,34,8,1,0,31,8,0,0,
20,327,7:00 PM,Montreal Canadiens,2,0,5,0,9,7,4,W 2,34,11,0,0,21,13,0,0,
23,333,1:00 PM,Philadelphia Flyers,2,0,5,2,11,8,4,W 2,35,2,1,0,23,8,1,0,
24,335,7:00 PM,Tampa Bay Lightning,0,0,3,6,11,9,4,L 1,35,10,1,0,21,8,1,1,
26,342,7:00 PM,Pittsburgh Penguins,2,1,4,3,12,10,4,W 1,29,2,0,0,35,8,0,0,
31,355,7:00 PM,Carolina Hurricanes,2,0,1,0,17,10,4,W 6,31,2,0,0,18,6,0,0,
32,357,7:00 PM,Washington Capitals,2,0,4,2,18,10,4,W 7,27,8,2,0,32,12,1,0,
33,361,7:00 PM,New Jersey Devils,2,0,3,1,19,10,4,W 8,28,8,1,1,20,6,0,0,
36,3,7:00 PM,Buffalo Sabres,2,0,6,1,21,11,4,W 2,39,8,3,0,25,8,0,0,
40,13,7:00 PM,New York Islanders,0,0,0,3,24,12,4,L 1,27,6,0,0,44,4,0,1,
44,20,7:00 PM,Ottawa Senators,2,1,3,2,27,13,4,W 3,35,4,0,0,35,6,1,0,
46,29,7:00 PM,Montreal Canadiens,0,0,0,1,27,15,4,L 2,24,17,0,0,26,15,0,0,
47,31,7:00 PM,Carolina Hurricanes,2,0,4,1,28,15,4,W 1,37,6,0,1,32,4,0,0,
48,33,7:00 PM,Florida Panthers,2,0,6,3,29,15,4,W 2,38,6,1,1,36,8,1,0,
49,35,8:00 PM,Boston Bruins,2,0,3,2,30,15,4,W 3,25,4,0,0,20,4,0,0,
51,39,5:00 PM,Dallas Stars,1,1,2,3,30,16,5,L 2,36,6,1,0,25,6,1,0,
56,50,7:00 PM,Vancouver Canucks,1,2,4,5,34,16,6,L 1,34,11,0,0,28,15,1,0,
58,53,7:30 PM,Columbus Blue Jackets,2,2,4,3,36,16,6,W 2,37,6,0,0,30,8,0,0,
59,55,7:00 PM,Calgary Flames,2,0,1,0,37,16,6,W 3,29,5,0,0,21,9,0,0,
60,57,7:00 PM,Arizona Coyotes,2,0,4,3,38,16,6,W 4,38,15,2,0,40,11,2,0,
62,61,7:00 PM,Nashville Predators,2,0,4,1,39,17,6,W 1,40,4,0,0,26,2,0,0,
68,74,5:00 PM,Florida Panthers,2,0,2,1,44,17,7,W 5,34,6,0,0,39,4,0,0,
69,77,8:00 PM,Chicago Blackhawks,0,0,0,1,44,18,7,L 1,25,4,0,0,31,4,0,0,
71,81,7:30 PM,Anaheim Ducks,2,0,7,2,46,18,7,W 2,29,4,1,0,38,6,0,0,
72,83,7:00 PM,Los Angeles Kings,0,0,2,4,46,19,7,L 1,36,4,0,0,35,2,0,0,
75,88,3:00 PM,Washington Capitals,0,0,2,5,47,21,7,L 2,25,6,0,0,31,10,1,0,
78,94,7:00 PM,New Jersey Devils,2,0,6,1,50,21,7,W 3,32,10,0,1,36,4,0,0,
79,96,7:00 PM,Columbus Blue Jackets,2,1,4,3,51,21,7,W 4,42,6,0,0,32,6,0,0,
81,99,7:00 PM,Ottawa Senators,0,0,0,3,52,22,7,L 1,26,4,0,0,27,2,0,0,
