GP,DOY,Time,Opponent,Result,Overtime,For,Against,W,L,OL,Streak,S_Tm,PIM_Tm,PPG_Tm,PPO_Tm,SHG_Tm,S_Opp,PIM_Opp,PPG_Opp,PPO_Opp,SHG_Opp,Att.,LOG,Notes
1,287,7:00 PM,New York Islanders,2,0,5,3,1,0,0,W 1,39,6,1,5,0,28,10,0,3,0,18200,2:29,
3,291,7:00 PM,San Jose Sharks,2,0,7,4,2,1,0,W 1,29,10,1,3,0,31,8,1,4,0,18200,2:32,
4,293,8:00 PM,Detroit Red Wings,0,0,1,2,2,2,0,L 1,33,8,0,4,0,18,6,1,4,0,18200,2:28,
6,297,7:00 PM,Arizona Coyotes,2,0,3,2,4,2,0,W 2,26,2,1,2,0,29,4,0,1,0,18006,2:26,
7,300,8:00 PM,Boston Bruins,2,0,5,2,5,2,0,W 3,31,4,2,6,0,29,14,0,1,0,18006,2:31,
9,304,7:00 PM,Tampa Bay Lightning,2,0,6,1,6,3,0,W 1,37,8,0,5,0,32,10,1,4,0,18006,2:36,
10,306,7:00 PM,St. Louis Blues,2,0,5,0,7,3,0,W 2,29,6,2,6,0,35,14,0,2,0,18006,2:30,
11,308,7:00 PM,Edmonton Oilers,2,0,5,3,8,3,0,W 3,31,8,0,3,0,24,6,1,4,0,18006,2:31,
13,311,7:00 PM,Winnipeg Jets,2,0,5,2,10,3,0,W 5,18,4,0,0,0,26,0,0,2,0,18006,2:23,
14,313,7:00 PM,Vancouver Canucks,0,0,3,5,10,4,0,L 1,26,4,1,5,0,29,10,0,2,0,18006,2:26,
19,325,7:00 PM,Florida Panthers,1,2,2,3,13,5,1,L 2,35,8,0,3,0,30,6,1,4,0,18006,2:49,
21,328,7:00 PM,Pittsburgh Penguins,0,0,1,6,14,6,1,L 1,17,9,1,3,0,38,8,0,3,0,18006,2:25,
23,332,7:00 PM,Ottawa Senators,0,0,0,2,15,7,1,L 1,33,6,0,4,0,20,8,1,2,0,18006,2:27,
24,334,7:00 PM,Carolina Hurricanes,2,0,3,2,16,7,1,W 1,21,6,1,2,0,28,8,0,2,0,18006,2:21,
26,338,1:00 PM,Carolina Hurricanes,2,0,4,2,17,8,1,W 1,23,6,0,2,0,28,4,0,3,0,18006,2:25,
30,346,7:00 PM,New Jersey Devils,2,0,5,0,20,9,1,W 3,31,15,2,6,1,19,17,0,5,0,18006,2:37,
31,348,7:00 PM,Chicago Blackhawks,0,0,1,2,20,10,1,L 1,34,4,0,0,0,26,0,0,1,0,18006,2:19,
34,353,7:30 PM,New Jersey Devils,2,2,3,2,23,10,1,W 3,27,8,0,2,0,31,4,1,4,0,18006,2:43,
36,358,7:00 PM,Minnesota Wild,0,0,4,7,23,12,1,L 2,35,2,0,2,0,21,4,1,1,0,18006,2:25,
37,362,7:00 PM,Ottawa Senators,2,0,4,3,24,12,1,W 1,25,17,1,4,0,36,19,0,4,0,18006,2:40,
40,3,7:00 PM,Buffalo Sabres,0,0,1,4,26,13,1,L 1,25,10,0,1,0,19,2,1,5,0,18006,2:23,
43,13,7:00 PM,Toronto Maple Leafs,0,0,2,4,28,14,1,L 1,36,8,0,6,0,27,12,2,4,0,18006,2:29,
45,17,7:00 PM,Dallas Stars,0,0,6,7,28,16,1,L 3,40,9,1,2,0,31,11,1,1,0,18006,2:38,
48,23,7:00 PM,Los Angeles Kings,2,0,3,2,31,16,1,W 3,17,11,0,3,0,38,13,0,2,0,18006,2:27,
49,25,8:00 PM,Philadelphia Flyers,0,0,0,2,31,17,1,L 1,34,6,0,3,0,26,6,1,3,0,18006,2:17,
50,31,7:00 PM,Columbus Blue Jackets,0,0,4,6,31,18,1,L 2,37,4,0,1,0,26,6,0,0,0,18006,2:35,
52,36,2:00 PM,Calgary Flames,2,0,4,3,33,18,1,W 2,32,12,1,1,0,32,22,1,1,0,18006,2:22,
53,38,7:00 PM,Anaheim Ducks,2,0,4,1,34,18,1,W 3,20,10,0,1,0,44,4,0,4,0,18006,2:27,
54,40,7:00 PM,Nashville Predators,2,0,4,3,35,18,1,W 4,30,6,0,1,0,37,2,2,3,0,18006,2:30,
55,42,7:00 PM,Colorado Avalanche,2,0,4,2,36,18,1,W 5,30,2,0,3,0,34,6,0,1,0,18006,2:31,
58,50,12:30 PM,Washington Capitals,2,0,2,1,38,19,1,W 1,30,6,0,2,0,32,6,1,2,0,18006,2:23,
59,52,7:00 PM,Montreal Canadiens,1,2,2,3,38,19,2,L 1,30,4,0,4,0,28,8,1,3,0,18006,2:39,
62,57,5:00 PM,Columbus Blue Jackets,0,0,2,5,40,20,2,L 1,30,4,0,2,0,26,4,1,2,0,18006,2:38,
63,59,7:00 PM,Washington Capitals,0,0,1,4,40,21,2,L 2,30,9,0,4,0,38,13,1,2,0,18006,2:43,
65,63,7:00 PM,Montreal Canadiens,0,0,1,4,41,22,2,L 1,27,4,0,0,0,35,2,0,1,0,18006,2:25,
70,72,7:00 PM,Tampa Bay Lightning,0,0,2,3,44,24,2,L 1,28,4,0,1,0,16,2,1,2,0,18006,2:27,
71,76,7:00 PM,Florida Panthers,1,2,3,4,44,24,3,L 2,32,8,1,3,0,37,10,1,2,0,18006,2:41,
74,81,8:00 PM,New York Islanders,0,0,2,3,45,25,4,L 2,36,13,1,4,0,28,15,2,4,0,18006,2:37,
78,90,7:00 PM,Pittsburgh Penguins,1,2,3,4,46,26,6,L 3,33,6,1,2,0,35,4,0,3,0,18006,2:44,
79,92,7:30 PM,Philadelphia Flyers,2,0,4,3,47,26,6,W 1,24,6,1,4,0,23,8,0,3,0,18006,2:22,
82,99,7:00 PM,Pittsburgh Penguins,2,0,3,2,48,28,6,W 1,25,0,1,1,0,24,2,0,0,0,18006,2:29,
