G,DOY,Time,Opponent,Result,Overtime,For,Against,W,L,Streak,Notes
1,300,7:30p ET,Detroit Pistons,1,0,109,91,1,0,W 1,
2,302,7:00p ET,Cleveland Cavaliers,0,0,91,94,1,1,L 1,
3,305,7:30p ET,Denver Nuggets,1,0,105,102,2,1,W 1,
5,309,7:30p ET,Miami Heat,1,0,96,87,4,1,W 3,
6,311,6:00p ET,Sacramento Kings,0,0,91,96,4,2,L 1,
9,317,7:30p ET,New York Knicks,1,0,118,107,7,2,W 3,
11,321,8:00p ET,Golden State Warriors,0,0,121,127,7,4,L 2,
17,333,7:30p ET,Philadelphia 76ers,1,0,122,95,11,6,W 3,
18,335,7:30p ET,Memphis Grizzlies,1,0,120,105,12,6,W 4,
19,337,7:30p ET,Los Angeles Lakers,1,0,113,80,13,6,W 5,
20,338,7:30p ET,Atlanta Hawks,1,0,128,84,14,6,W 6,
21,340,7:30p ET,Cleveland Cavaliers,0,0,112,116,14,7,L 1,
22,343,7:00p ET,Minnesota Timberwolves,1,0,124,110,15,7,W 1,
24,347,7:30p ET,Milwaukee Bucks,1,0,122,100,17,7,W 3,
26,351,7:30p ET,Atlanta Hawks,0,0,121,125,18,8,L 1,
28,355,7:30p ET,Brooklyn Nets,1,0,116,104,20,8,W 2,
35,5,7:30p ET,Utah Jazz,1,0,101,93,24,11,W 1,
37,8,6:00p ET,Houston Rockets,0,0,122,129,24,13,L 2,
38,10,7:30p ET,Boston Celtics,1,0,114,106,25,13,W 1,
39,13,7:30p ET,Brooklyn Nets,1,0,132,113,26,13,W 2,
40,15,3:00p ET,New York Knicks,1,0,116,101,27,13,W 3,
44,22,6:00p ET,Phoenix Suns,0,0,103,115,28,16,L 3,
45,24,7:00p ET,San Antonio Spurs,0,0,106,108,28,17,L 4,
47,27,7:30p ET,Milwaukee Bucks,1,0,102,86,29,18,W 1,
48,29,6:00p ET,Orlando Magic,0,0,113,114,29,19,L 1,
49,31,7:00p ET,New Orleans Pelicans,1,1,108,106,30,19,W 1,
53,37,7:30p ET,Los Angeles Clippers,1,0,118,109,32,21,W 2,
55,43,6:00p ET,Detroit Pistons,0,0,101,102,32,23,L 2,
57,46,7:30p ET,Charlotte Hornets,1,0,90,85,33,24,W 1,
58,55,8:00p ET,Boston Celtics,1,0,107,97,34,24,W 2,
59,57,6:00p ET,Portland Trail Blazers,1,0,112,106,35,24,W 3,
61,60,7:30p ET,Washington Wizards,0,0,96,105,36,25,L 1,
67,72,7:30p ET,Dallas Mavericks,1,0,100,78,39,28,W 1,
68,75,7:00p ET,Oklahoma City Thunder,0,0,102,123,39,29,L 1,
70,78,6:00p ET,Indiana Pacers,1,0,116,91,41,29,W 2,
71,80,7:00p ET,Chicago Bulls,1,1,122,120,42,29,W 3,
74,86,7:30p ET,Orlando Magic,1,0,131,112,45,29,W 6,
75,88,7:30p ET,Charlotte Hornets,0,0,106,110,45,30,L 1,
76,90,7:00p ET,Indiana Pacers,1,0,111,100,46,30,W 1,
77,92,6:00p ET,Philadelphia 76ers,1,0,113,105,47,30,W 2,
80,97,7:30p ET,Miami Heat,1,0,96,94,49,31,W 2,
