G,DOY,Time,Opponent,Result,Overtime,For,Against,W,L,OL,Streak,S_Tm,PIM_Tm,PPG_Tm,SHG_Tm,S_Opp,PIM_Opp,PPG_Opp,SHG_Opp,Notes
1,282,8:30 PM,Chicago Blackhawks,1,2,2,3,0,0,1,L 1,34,12,1,0,26,14,1,0,
5,291,8:00 PM,Philadelphia Flyers,1,1,5,6,2,1,2,L 1,23,10,2,0,37,2,2,0,
6,294,8:30 PM,Vancouver Canucks,2,0,6,3,3,1,2,W 1,28,8,1,0,46,10,0,0,
9,301,8:30 PM,St. Louis Blues,1,1,3,4,4,2,3,L 2,28,10,1,0,27,8,1,0,
10,304,8:30 PM,Anaheim Ducks,1,1,1,2,4,2,4,L 3,22,10,0,0,24,12,0,0,
12,308,8:30 PM,Los Angeles Kings,0,0,1,3,4,4,4,L 5,34,12,0,0,30,10,0,1,
13,310,8:30 PM,Nashville Predators,0,0,2,3,4,5,4,L 6,35,6,0,0,33,2,2,0,
14,312,8:00 PM,San Jose Sharks,0,0,3,5,4,6,4,L 7,40,18,1,0,29,14,1,0,
17,319,2:00 PM,Minnesota Wild,0,0,1,2,6,7,4,L 1,28,2,0,0,22,4,0,0,
19,322,8:30 PM,Carolina Hurricanes,0,0,4,6,6,9,4,L 3,27,13,0,1,25,11,1,0,
20,324,8:30 PM,Arizona Coyotes,2,0,3,1,7,9,4,W 1,27,4,0,0,27,4,1,0,
21,326,8:00 PM,Los Angeles Kings,2,0,5,4,8,9,4,W 2,23,8,2,0,41,12,1,0,
22,329,8:30 PM,Edmonton Oilers,2,0,3,2,9,9,4,W 3,34,9,0,0,37,13,0,1,
23,332,8:30 PM,Minnesota Wild,1,1,4,5,9,9,5,L 1,45,4,0,0,34,8,0,0,
27,340,7:00 PM,Montreal Canadiens,2,0,4,1,10,12,5,W 1,29,6,2,0,17,14,0,0,
28,343,8:30 PM,Winnipeg Jets,0,0,2,5,10,13,5,L 1,28,10,1,0,32,12,1,1,
29,347,8:30 PM,New Jersey Devils,2,0,4,3,11,13,5,W 1,36,9,0,0,31,9,1,0,
33,357,7:00 PM,Toronto Maple Leafs,0,0,0,4,14,14,5,L 1,43,21,0,0,26,19,1,0,
35,363,8:30 PM,New York Rangers,2,0,3,2,16,14,5,W 2,27,6,1,0,30,10,1,0,
36,365,8:00 PM,Arizona Coyotes,2,0,6,0,17,14,5,W 3,31,6,1,0,32,4,0,0,
37,3,8:00 PM,Minnesota Wild,2,0,7,1,18,14,5,W 4,35,35,1,1,22,57,1,0,
39,6,8:30 PM,Columbus Blue Jackets,0,0,2,4,18,15,6,L 2,26,15,0,0,20,15,1,0,
42,13,8:30 PM,Ottawa Senators,2,0,5,4,19,16,7,W 1,29,4,1,0,41,6,2,0,
43,15,8:30 PM,Winnipeg Jets,0,0,1,2,19,17,7,L 1,47,6,0,0,22,16,0,1,
44,17,8:00 PM,Washington Capitals,2,0,5,4,20,17,7,W 1,26,6,1,0,32,8,0,0,
46,20,8:30 PM,Boston Bruins,0,0,1,3,21,18,7,L 1,37,6,0,0,27,12,1,0,
50,34,8:30 PM,Colorado Avalanche,1,2,2,3,23,19,8,L 1,32,9,1,0,24,11,0,0,
51,36,8:30 PM,Tampa Bay Lightning,0,0,3,5,23,20,8,L 2,36,8,0,0,29,10,1,0,
55,44,8:30 PM,Florida Panthers,2,0,2,0,26,21,8,W 3,28,8,0,1,37,23,0,0,
58,50,8:30 PM,San Jose Sharks,0,0,2,5,27,23,8,L 1,39,9,1,0,28,11,0,0,
59,52,8:00 PM,Detroit Red Wings,1,1,6,7,27,23,9,L 2,34,11,1,0,36,9,1,0,
62,58,8:30 PM,Colorado Avalanche,1,2,4,5,27,25,10,L 5,36,6,0,0,23,6,0,0,
63,60,8:00 PM,Anaheim Ducks,0,0,1,3,27,26,10,L 6,40,7,1,0,22,11,0,0,
64,62,8:30 PM,New York Islanders,2,1,3,2,28,26,10,W 1,35,6,0,0,37,23,0,0,
70,74,6:00 PM,St. Louis Blues,0,0,0,3,32,28,10,L 1,28,6,0,0,21,14,1,0,
71,78,8:30 PM,Pittsburgh Penguins,2,0,2,1,33,28,10,W 1,26,14,0,0,32,14,1,0,
72,80,8:00 PM,Chicago Blackhawks,2,0,4,0,34,28,10,W 2,29,4,2,0,33,6,0,0,
73,82,8:30 PM,Buffalo Sabres,2,0,4,3,35,28,10,W 3,39,4,1,0,28,6,1,0,
77,89,8:30 PM,Calgary Flames,0,0,3,5,37,30,10,L 1,36,6,1,0,25,8,1,0,
78,93,8:30 PM,St. Louis Blues,0,0,5,7,37,31,10,L 2,32,8,0,0,21,10,0,0,
82,101,8:00 PM,Nashville Predators,2,0,4,1,41,31,10,W 4,25,4,1,0,25,6,0,0,
