GP,DOY,Time,Opponent,Result,Overtime,For,Against,W,L,OL,Streak,S_Tm,PIM_Tm,PPG_Tm,PPO_Tm,SHG_Tm,S_Opp,PIM_Opp,PPG_Opp,PPO_Opp,SHG_Opp,Att.,LOG,Notes
1,287,8:30 PM,Anaheim Ducks,2,0,4,2,1,0,0,W 1,20,10,0,4,0,35,8,0,5,1,18532,2:30,
4,294,8:30 PM,Los Angeles Kings,1,1,3,4,2,1,1,L 1,20,29,1,4,0,39,15,1,6,0,18532,2:45,
5,296,8:00 PM,Columbus Blue Jackets,0,0,0,3,2,2,1,L 2,32,9,0,5,0,26,15,0,2,0,18532,2:30,
6,299,8:30 PM,Winnipeg Jets,2,0,3,2,3,2,1,W 1,26,10,1,6,0,30,14,1,4,0,18040,2:37,
10,308,8:30 PM,St. Louis Blues,2,0,6,2,4,4,2,W 1,27,24,1,4,0,30,24,0,3,0,18532,2:40,
11,310,8:00 PM,Chicago Blackhawks,0,0,2,3,4,5,2,L 1,33,16,0,3,0,32,12,1,6,0,18532,2:42,
17,320,8:30 PM,New Jersey Devils,1,1,1,2,6,6,5,L 2,24,2,0,2,0,33,4,0,1,0,18039,2:24,
18,322,8:30 PM,Colorado Avalanche,2,0,3,2,7,6,5,W 1,22,2,2,7,0,36,14,0,2,1,18237,2:42,
19,324,7:00 PM,Edmonton Oilers,0,0,2,5,7,7,5,L 1,33,2,2,6,0,29,10,0,3,0,18352,2:28,
20,326,8:30 PM,Minnesota Wild,2,1,3,2,8,7,5,W 1,32,11,0,2,0,29,9,1,3,0,18532,2:38,
22,330,8:30 PM,Vancouver Canucks,2,0,2,1,9,8,5,W 1,28,9,0,1,0,31,7,0,2,0,18532,2:30,
27,341,8:30 PM,Calgary Flames,0,0,1,2,10,11,6,L 1,30,4,0,2,0,20,4,1,2,0,17996,2:34,
28,343,8:30 PM,Nashville Predators,2,0,5,2,11,11,6,W 1,37,10,1,5,0,36,12,0,3,1,17887,2:40,
31,348,8:30 PM,Anaheim Ducks,2,0,6,2,12,13,6,W 1,27,12,1,4,0,36,10,1,5,0,17543,2:41,
32,350,8:30 PM,New York Rangers,0,0,0,2,12,14,6,L 1,27,21,0,5,0,30,10,0,3,1,18212,2:33,
33,352,2:00 PM,Philadelphia Flyers,2,0,3,1,13,14,6,W 1,28,7,0,1,0,32,5,0,1,0,18243,2:22,
34,355,8:30 PM,St. Louis Blues,1,1,2,3,13,14,7,L 1,38,9,1,3,0,22,11,0,1,0,18532,2:45,
35,358,8:30 PM,Los Angeles Kings,2,1,3,2,14,14,7,W 1,31,6,0,3,0,31,6,1,3,0,18156,2:31,
37,364,8:30 PM,Colorado Avalanche,2,0,4,2,16,14,7,W 3,34,10,0,6,0,19,14,0,4,0,18532,2:30,
