G,DOY,Time,Opponent,Result,Overtime,For,Against,W,L,Streak,Notes
3,304,7:00p ET,New York Knicks,0,0,110,117,2,1,L 1,
4,308,7:00p ET,San Antonio Spurs,1,0,102,99,3,1,W 1,
7,314,7:00p ET,Oklahoma City Thunder,0,0,101,125,3,4,L 3,
8,318,7:00p ET,Orlando Magic,1,0,108,99,4,4,W 1,
9,321,7:00p ET,Milwaukee Bucks,1,0,115,86,5,4,W 2,
11,328,7:00p ET,Indiana Pacers,0,0,106,123,6,5,L 1,
14,332,7:00p ET,Toronto Raptors,0,0,82,84,6,8,L 4,
16,336,7:00p ET,Los Angeles Lakers,0,0,104,108,7,9,L 1,
17,338,7:00p ET,Phoenix Suns,1,0,109,106,8,9,W 1,
18,340,6:00p ET,Dallas Mavericks,0,0,104,116,8,10,L 1,
20,343,7:00p ET,Houston Rockets,0,0,103,109,9,11,L 1,
25,353,7:00p ET,Charlotte Hornets,1,0,109,101,11,14,W 1,
26,355,7:00p ET,Sacramento Kings,1,0,113,99,12,14,W 2,
27,357,7:00p ET,Memphis Grizzlies,1,0,100,91,13,14,W 3,
29,362,7:00p ET,Los Angeles Clippers,0,0,91,108,14,15,L 1,
31,1,7:00p ET,Orlando Magic,1,0,103,91,15,16,W 1,
32,3,6:00p ET,Miami Heat,0,0,75,97,15,17,L 1,
33,6,7:00p ET,Cleveland Cavaliers,0,0,115,121,15,18,L 2,
34,8,7:00p ET,Toronto Raptors,0,0,88,97,15,19,L 3,
37,13,7:00p ET,Milwaukee Bucks,1,0,106,101,18,19,W 3,
39,16,7:30p ET,Boston Celtics,0,0,117,119,19,20,L 1,
40,18,2:00p ET,Portland Trail Blazers,0,0,98,108,19,21,L 2,
41,20,7:00p ET,Miami Heat,1,0,106,87,20,21,W 1,
42,25,7:00p ET,Boston Celtics,0,0,91,116,20,22,L 1,
44,28,7:00p ET,Denver Nuggets,0,0,113,117,20,24,L 3,
47,34,8:00p ET,Golden State Warriors,0,0,121,134,21,26,L 2,
48,36,7:00p ET,Philadelphia 76ers,1,0,106,94,22,26,W 1,
52,49,7:00p ET,Utah Jazz,1,0,103,89,24,28,W 1,
53,50,7:00p ET,Detroit Pistons,1,0,98,86,25,28,W 2,
55,54,7:00p ET,New Orleans Pelicans,1,0,109,89,26,29,W 1,
58,59,1:00p ET,Cleveland Cavaliers,1,0,113,99,28,30,W 2,
59,60,7:00p ET,Philadelphia 76ers,1,0,116,108,29,30,W 3,
62,65,7:00p ET,Indiana Pacers,0,0,99,100,30,32,L 2,
66,74,8:00p ET,Detroit Pistons,1,0,124,81,31,35,W 1,
67,76,7:00p ET,Chicago Bulls,1,0,117,96,32,35,W 2,
69,79,7:00p ET,New York Knicks,1,0,99,89,34,35,W 4,
71,83,7:00p ET,Atlanta Hawks,0,0,101,122,35,36,L 1,
72,85,7:00p ET,Minnesota Timberwolves,0,2,129,132,35,37,L 2,
78,97,7:00p ET,Brooklyn Nets,1,0,121,103,38,40,W 1,
80,101,12:00p ET,Charlotte Hornets,1,0,113,98,39,41,W 1,
82,104,8:00p ET,Atlanta Hawks,1,0,109,98,41,41,W 3,
