GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,SHG,,S,PIM,PPG,SHG,Notes
1,2014-10-09,9:00 PM,@,Minnesota Wild,0,5,L,,0,1,0,L 1,,16,8,0,0,,48,12,0,0,
2,2014-10-11,9:00 PM,,Minnesota Wild,0,3,L,,0,2,0,L 2,,30,27,0,0,,34,12,0,0,
3,2014-10-13,1:00 PM,@,Boston Bruins,2,1,W,,1,2,0,W 1,,30,7,0,0,,28,11,1,0,
4,2014-10-14,7:30 PM,@,Toronto Maple Leafs,2,3,L,OT,1,2,1,L 1,,24,12,0,0,,40,8,0,0,
5,2014-10-16,7:30 PM,@,Ottawa Senators,3,5,L,,1,3,1,L 2,,31,21,1,1,,28,17,1,0,
6,2014-10-18,7:00 PM,@,Montreal Canadiens,2,3,L,,1,4,1,L 3,,34,11,0,0,,36,13,1,0,
7,2014-10-21,9:00 PM,,Florida Panthers,3,4,L,OT,1,4,2,L 4,,33,9,2,0,,36,15,1,0,
8,2014-10-24,9:00 PM,,Vancouver Canucks,7,3,W,,2,4,2,W 1,,48,13,1,0,,29,27,0,0,
9,2014-10-26,3:00 PM,@,Winnipeg Jets,1,2,L,OT,2,4,3,L 1,,23,10,1,0,,28,10,0,0,
10,2014-10-28,9:00 PM,,San Jose Sharks,2,3,L,SO,2,4,4,L 2,,33,12,0,1,,51,10,0,0,
11,2014-10-30,9:00 PM,,New York Islanders,5,0,W,,3,4,4,W 1,,23,14,1,0,,40,6,0,0,
12,2014-11-01,8:00 PM,@,St. Louis Blues,2,3,L,SO,3,4,5,L 1,,29,6,2,0,,29,8,0,0,
13,2014-11-02,8:00 PM,,Anaheim Ducks,2,3,L,,3,5,5,L 2,,18,10,0,0,,33,6,0,0,
14,2014-11-04,9:00 PM,,Vancouver Canucks,2,5,L,,3,6,5,L 3,,22,8,0,0,,37,10,0,0,
15,2014-11-06,9:00 PM,,Toronto Maple Leafs,4,3,W,SO,4,6,5,W 1,,34,6,0,0,,38,6,1,0,
16,2014-11-08,7:00 PM,@,Philadelphia Flyers,3,4,L,,4,7,5,L 1,,39,16,0,0,,27,13,3,0,
17,2014-11-11,7:00 PM,@,New York Islanders,0,6,L,,4,8,5,L 2,,20,14,0,0,,46,8,1,1,
18,2014-11-13,7:00 PM,@,New York Rangers,4,3,W,SO,5,8,5,W 1,,29,11,1,0,,33,9,0,0,
19,2014-11-15,7:00 PM,@,New Jersey Devils,3,2,W,,6,8,5,W 2,,29,4,0,0,,25,6,0,0,
20,2014-11-20,9:00 PM,,Washington Capitals,2,3,L,,6,9,5,L 1,,29,4,0,0,,23,2,0,0,
21,2014-11-22,9:00 PM,,Carolina Hurricanes,4,3,W,,7,9,5,W 1,,35,0,0,0,,27,8,0,0,
22,2014-11-25,9:00 PM,@,Arizona Coyotes,4,3,W,OT,8,9,5,W 2,,35,7,0,0,,33,9,0,0,
