GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,2016-10-15,9:00 PM,,Dallas Stars,6,5,W,,1,0,0,W 1,,33,8,2,3,0,,28,6,2,4,0,18007,2:38,
2,2016-10-17,7:00 PM,@,Pittsburgh Penguins,4,3,W,OT,2,0,0,W 2,,31,12,2,6,0,,31,14,2,5,0,18431,2:41,
3,2016-10-18,7:00 PM,@,Washington Capitals,0,3,L,,2,1,0,L 1,,18,27,0,3,0,,40,13,2,5,0,18506,2:29,
4,2016-10-20,7:30 PM,@,Tampa Bay Lightning,4,0,W,,3,1,0,W 1,,16,11,0,2,0,,27,9,0,3,0,19092,2:27,
5,2016-10-22,7:00 PM,@,Florida Panthers,2,5,L,,3,2,0,L 1,,28,17,1,3,0,,38,11,1,6,0,14326,2:32,
6,2016-10-28,9:00 PM,,Winnipeg Jets,0,1,L,,3,3,0,L 2,,37,6,0,4,0,,21,8,0,3,0,16135,2:24,
7,2016-10-29,9:00 PM,@,Arizona Coyotes,3,2,W,,4,3,0,W 1,,34,6,1,3,0,,26,6,0,4,0,13533,2:26,
8,2016-11-01,9:00 PM,,Nashville Predators,1,5,L,,4,4,0,L 1,,29,15,0,4,0,,36,13,1,5,0,12142,2:26,
9,2016-11-03,8:30 PM,@,Chicago Blackhawks,0,4,L,,4,5,0,L 2,,38,4,0,3,0,,21,6,0,2,0,21580,2:25,
10,2016-11-05,3:00 PM,,Minnesota Wild,1,0,W,,5,5,0,W 1,,32,8,1,4,0,,32,10,0,3,0,16256,2:34,
11,2016-11-06,5:00 PM,@,St. Louis Blues,1,5,L,,5,6,0,L 1,,23,20,0,6,0,,28,34,1,4,0,17220,2:26,
12,2016-11-08,9:00 PM,,Arizona Coyotes,2,4,L,,5,7,0,L 2,,27,13,1,1,0,,25,7,1,4,0,13858,2:27,
13,2016-11-11,9:00 PM,,Winnipeg Jets,3,2,W,OT,6,7,0,W 1,,28,17,1,5,0,,18,15,1,6,0,16517,2:30,
14,2016-11-13,7:00 PM,,Boston Bruins,0,2,L,,6,8,0,L 1,,21,4,0,2,0,,46,4,0,2,0,15808,2:31,
15,2016-11-15,9:00 PM,,Los Angeles Kings,4,1,W,,7,8,0,W 1,,30,8,0,4,0,,33,10,1,4,0,14805,2:35,
16,2016-11-17,8:30 PM,@,Dallas Stars,2,3,L,,7,9,0,L 1,,36,14,0,2,1,,22,2,2,7,0,18237,2:42,
17,2016-11-19,8:00 PM,@,Minnesota Wild,3,2,W,,8,9,0,W 1,,37,10,1,2,0,,43,4,1,4,0,19238,2:43,
18,2016-11-21,7:00 PM,@,Columbus Blue Jackets,3,2,W,OT,9,9,0,W 2,,27,2,0,1,0,,42,2,0,1,0,10063,2:35,
19,2016-11-23,10:00 PM,,Edmonton Oilers,3,6,L,,9,10,0,L 1,,28,16,0,2,0,,41,8,2,6,0,15185,2:27,
20,2016-11-26,10:00 PM,,Vancouver Canucks,2,3,L,SO,9,10,1,L 2,,35,11,0,4,0,,31,13,1,3,0,15511,2:39,
21,2016-11-29,9:00 PM,,Nashville Predators,3,5,L,,9,11,1,L 3,,40,7,0,1,0,,33,7,0,2,0,12082,2:29,
22,2016-12-01,9:00 PM,,Columbus Blue Jackets,2,3,L,,9,12,1,L 4,,20,15,1,3,0,,37,13,0,4,0,12141,2:25,
23,2016-12-03,9:00 PM,,Dallas Stars,0,3,L,,9,13,1,L 5,,23,8,0,4,0,,33,8,1,4,0,16725,2:20,
24,2016-12-06,8:00 PM,@,Nashville Predators,3,4,L,,9,14,1,L 6,,28,10,2,4,0,,32,8,1,5,0,17113,2:40,
25,2016-12-08,7:00 PM,@,Boston Bruins,4,2,W,,10,14,1,W 1,,22,6,0,2,1,,31,6,0,2,0,17565,2:21,
26,2016-12-10,7:00 PM,@,Montreal Canadiens,1,10,L,,10,15,1,L 1,,16,8,0,3,0,,36,10,1,2,0,21288,2:29,
27,2016-12-11,7:00 PM,@,Toronto Maple Leafs,3,1,W,,11,15,1,W 1,,29,17,2,4,1,,52,13,1,6,0,18875,2:33,
28,2016-12-14,10:00 PM,,Philadelphia Flyers,3,4,L,,11,16,1,L 1,,29,11,0,3,0,,25,11,0,3,0,14456,2:33,
29,2016-12-16,9:00 PM,,Florida Panthers,1,3,L,,11,17,1,L 2,,31,6,0,6,0,,23,14,0,2,1,14679,2:27,
30,2016-12-18,3:00 PM,@,Winnipeg Jets,1,4,L,,11,18,1,L 3,,28,7,1,3,0,,30,11,0,1,0,15294,2:23,
31,2016-12-20,8:00 PM,@,Minnesota Wild,0,2,L,,11,19,1,L 4,,18,8,0,5,0,,33,12,1,3,0,19018,2:21,
32,2016-12-22,9:00 PM,,Toronto Maple Leafs,0,6,L,,11,20,1,L 5,,38,20,0,6,0,,31,22,2,5,0,15502,2:33,
33,2016-12-23,8:30 PM,@,Chicago Blackhawks,2,1,W,OT,12,20,1,W 1,,34,10,0,1,0,,39,4,1,4,0,21918,2:32,
34,2016-12-27,9:00 PM,,Calgary Flames,3,6,L,,12,21,1,L 1,,28,16,0,6,0,,31,12,1,3,0,14634,2:25,
35,2016-12-29,8:30 PM,@,Dallas Stars,2,4,L,,12,22,1,L 2,,19,14,0,4,0,,34,10,0,6,0,18532,2:30,
36,2016-12-31,8:00 PM,,New York Rangers,2,6,L,,12,23,1,L 3,,27,10,0,3,0,,37,6,2,5,0,17609,2:41,
37,2017-01-02,10:00 PM,@,Vancouver Canucks,2,3,L,,12,24,1,L 4,,26,8,1,3,0,,24,6,1,4,0,18865,2:26,
38,2017-01-04,10:00 PM,@,Calgary Flames,1,4,L,,12,25,1,L 5,,18,14,0,3,0,,37,6,3,7,0,18388,2:30,
39,2017-01-06,9:00 PM,,New York Islanders,2,1,W,OT,13,25,1,W 1,,39,10,1,4,0,,36,10,1,4,0,14788,2:47,
40,2017-01-12,9:00 PM,,Anaheim Ducks,1,4,L,,13,26,1,L 1,,34,7,0,3,0,,32,11,0,1,0,14589,2:28,
41,2017-01-14,3:00 PM,,Nashville Predators,2,3,L,,13,27,1,L 2,,30,26,0,3,0,,32,13,0,4,0,16096,2:32,
42,2017-01-17,9:00 PM,,Chicago Blackhawks,4,6,L,,13,28,1,L 3,,23,4,1,2,0,,27,6,0,1,0,18007,2:26,
43,2017-01-19,10:00 PM,@,Anaheim Ducks,1,2,L,,13,29,1,L 4,,22,13,1,1,0,,36,7,1,5,0,15414,3:01,
44,2017-01-21,10:30 PM,@,San Jose Sharks,2,3,L,OT,13,29,2,L 5,,33,8,0,0,0,,30,2,1,3,0,17562,2:28,
45,2017-01-23,9:00 PM,,San Jose Sharks,2,5,L,,13,30,2,L 6,,28,6,1,3,0,,26,6,0,4,0,13803,2:27,
46,2017-01-25,9:30 PM,,Vancouver Canucks,2,3,L,,13,31,2,L 7,,32,4,0,2,0,,41,4,1,2,0,12819,2:30,
47,2017-01-31,10:00 PM,@,Anaheim Ducks,1,5,L,,13,32,2,L 8,,29,2,0,4,0,,31,8,1,1,0,15963,2:32,
48,2017-02-01,10:30 PM,@,Los Angeles Kings,0,5,L,,13,33,2,L 9,,22,21,0,4,0,,40,13,1,3,0,18230,2:29,
49,2017-02-04,3:00 PM,,Winnipeg Jets,5,2,W,,14,33,2,W 1,,28,15,1,2,0,,25,21,1,4,0,13930,2:35,
50,2017-02-07,9:00 PM,,Montreal Canadiens,4,0,W,,15,33,2,W 2,,26,12,1,2,0,,27,6,0,5,0,12667,2:25,
51,2017-02-09,9:00 PM,,Pittsburgh Penguins,1,4,L,,15,34,2,L 1,,28,6,1,3,0,,30,8,1,3,0,16777,2:24,
52,2017-02-11,7:00 PM,@,New York Rangers,2,4,L,,15,35,2,L 2,,34,6,0,1,0,,30,2,0,3,0,18006,2:31,
53,2017-02-12,6:00 PM,@,New York Islanders,1,5,L,,15,36,2,L 3,,27,16,0,3,0,,33,12,2,5,0,14107,2:35,
54,2017-02-14,7:00 PM,@,New Jersey Devils,2,3,L,,15,37,2,L 4,,30,6,1,3,0,,40,6,1,3,0,12462,2:36,
55,2017-02-16,7:30 PM,@,Buffalo Sabres,0,2,L,,15,38,2,L 5,,23,6,0,0,0,,32,0,1,3,0,18335,2:32,
56,2017-02-17,7:30 PM,@,Carolina Hurricanes,2,1,W,OT,16,38,2,W 1,,37,4,0,3,0,,29,6,0,2,0,11456,2:36,
57,2017-02-19,8:00 PM,,Tampa Bay Lightning,2,3,L,OT,16,38,3,L 1,,29,4,0,4,0,,40,8,0,2,0,17270,2:48,
58,2017-02-21,9:00 PM,,Los Angeles Kings,1,2,L,,16,39,3,L 2,,25,2,0,3,0,,32,6,0,1,0,13768,2:14,
59,2017-02-23,8:00 PM,@,Nashville Predators,2,4,L,,16,40,3,L 3,,22,4,0,0,0,,29,0,0,2,0,17243,2:32,
60,2017-02-25,10:00 PM,,Buffalo Sabres,5,3,W,,17,40,3,W 1,,30,10,0,2,0,,37,6,1,4,0,15362,2:25,
61,2017-02-28,7:00 PM,@,Philadelphia Flyers,0,4,L,,17,41,3,L 1,,33,9,0,4,0,,26,13,2,3,1,19564,2:24,
62,2017-03-02,7:30 PM,@,Ottawa Senators,1,2,L,,17,42,3,L 2,,23,8,0,2,0,,42,4,0,4,0,16932,2:17,
63,2017-03-04,7:00 PM,@,Winnipeg Jets,1,6,L,,17,43,3,L 3,,23,8,0,4,0,,31,8,1,5,0,15294,2:27,
64,2017-03-05,8:00 PM,,St. Louis Blues,0,3,L,,17,44,3,L 4,,27,6,0,1,0,,25,2,2,4,0,14477,2:21,
