GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,SHG,,S,PIM,PPG,SHG,Notes
1,2014-10-09,8:30 PM,@,Dallas Stars,3,2,W,SO,1,0,0,W 1,,26,14,1,0,,34,12,1,0,
2,2014-10-11,8:30 PM,,Buffalo Sabres,6,2,W,,2,0,0,W 2,,47,8,1,1,,23,8,0,1,
3,2014-10-15,8:00 PM,,Calgary Flames,1,2,L,OT,2,0,1,L 1,,50,2,1,0,,18,14,0,0,
4,2014-10-18,8:30 PM,,Nashville Predators,2,1,W,OT,3,0,1,W 1,,37,8,0,1,,20,10,1,0,
5,2014-10-21,8:30 PM,,Philadelphia Flyers,4,0,W,,4,0,1,W 2,,43,4,2,0,,32,8,0,0,
6,2014-10-23,8:00 PM,@,Nashville Predators,2,3,L,,4,1,1,L 1,,32,4,0,0,,27,2,0,0,
7,2014-10-25,8:00 PM,@,St. Louis Blues,2,3,L,,4,2,1,L 2,,24,8,1,0,,31,8,0,0,
8,2014-10-26,7:00 PM,,Ottawa Senators,2,1,W,,5,2,1,W 1,,45,10,1,0,,33,16,0,1,
9,2014-10-28,8:30 PM,,Anaheim Ducks,0,1,L,,5,3,1,L 1,,38,4,0,0,,25,8,0,1,
10,2014-10-30,7:30 PM,@,Ottawa Senators,5,4,W,SO,6,3,1,W 1,,39,12,0,0,,32,10,1,0,
11,2014-11-01,7:00 PM,@,Toronto Maple Leafs,2,3,L,,6,4,1,L 1,,47,6,2,0,,27,8,0,0,
12,2014-11-02,9:00 PM,,Winnipeg Jets,0,1,L,,6,5,1,L 2,,33,4,0,0,,27,4,0,0,
13,2014-11-04,7:30 PM,@,Montreal Canadiens,5,0,W,,7,5,1,W 1,,32,10,1,0,,28,12,0,0,
14,2014-11-07,8:30 PM,,Washington Capitals,2,3,L,,7,6,1,L 1,,40,2,1,0,,24,6,0,0,
15,2014-11-09,7:00 PM,,San Jose Sharks,5,2,W,,8,6,1,W 1,,37,18,0,0,,34,20,1,0,
16,2014-11-11,8:30 PM,,Tampa Bay Lightning,3,2,W,SO,9,6,1,W 2,,39,10,0,0,,27,16,0,1,
17,2014-11-14,7:30 PM,@,Detroit Red Wings,1,4,L,,9,7,1,L 1,,26,6,1,0,,37,8,0,0,
18,2014-11-16,7:00 PM,,Dallas Stars,6,2,W,,10,7,1,W 1,,47,7,1,0,,24,13,0,0,
19,2014-11-20,9:00 PM,@,Calgary Flames,4,3,W,,11,7,1,W 2,,22,12,1,0,,27,4,2,0,
20,2014-11-22,10:00 PM,@,Edmonton Oilers,7,1,W,,12,7,1,W 3,,30,6,2,0,,25,16,0,0,
21,2014-11-23,9:30 PM,@,Vancouver Canucks,1,4,L,,12,8,1,L 1,,25,4,1,0,,30,8,0,0,
22,2014-11-26,9:00 PM,@,Colorado Avalanche,3,2,W,,13,8,1,W 1,,45,4,2,0,,29,12,0,0,
23,2014-11-28,4:00 PM,@,Anaheim Ducks,4,1,W,,14,8,1,W 2,,38,2,0,0,,24,23,0,0,
24,2014-11-29,10:00 PM,@,Los Angeles Kings,4,1,W,,15,8,1,W 3,,25,11,0,0,,20,19,0,0,
25,2014-12-03,8:00 PM,,St. Louis Blues,4,1,W,,16,8,1,W 4,,33,24,0,0,,41,20,0,0,
26,2014-12-05,8:30 PM,,Montreal Canadiens,4,3,W,,17,8,1,W 5,,36,8,1,0,,41,10,1,0,
27,2014-12-06,7:00 PM,@,Nashville Predators,3,1,W,,18,8,1,W 6,,31,7,0,0,,33,11,0,0,
28,2014-12-09,7:00 PM,@,New Jersey Devils,3,2,W,SO,19,8,1,W 7,,39,2,0,0,,24,6,0,0,
29,2014-12-11,7:00 PM,@,Boston Bruins,3,2,W,,20,8,1,W 8,,21,11,0,0,,34,13,0,0,
30,2014-12-13,7:00 PM,@,New York Islanders,2,3,L,,20,9,1,L 1,,25,6,0,0,,41,2,1,0,
31,2014-12-14,8:00 PM,,Calgary Flames,2,1,W,,21,9,1,W 1,,28,6,1,0,,24,4,0,0,
32,2014-12-16,8:30 PM,,Minnesota Wild,5,3,W,,22,9,1,W 2,,39,6,1,0,,29,6,0,0,
33,2014-12-20,7:00 PM,@,Columbus Blue Jackets,2,3,L,SO,22,9,2,L 1,,41,8,0,0,,19,12,0,0,
34,2014-12-21,7:00 PM,,Toronto Maple Leafs,4,0,W,,23,9,2,W 1,,34,4,1,0,,31,4,0,0,
35,2014-12-23,8:30 PM,,Winnipeg Jets,1,5,L,,23,10,2,L 1,,39,9,0,0,,26,9,1,0,
36,2014-12-27,9:00 PM,@,Colorado Avalanche,5,2,W,,24,10,2,W 1,,33,6,2,0,,25,8,0,0,
37,2014-12-29,8:30 PM,,Nashville Predators,5,4,W,SO,25,10,2,W 2,,42,10,1,0,,40,12,1,0,
38,2015-01-01,1:00 PM,@,Washington Capitals,2,3,L,,25,11,2,L 1,,35,10,1,0,,35,14,1,0,
39,2015-01-04,8:00 PM,,Dallas Stars,5,4,W,OT,26,11,2,W 1,,38,0,1,0,,34,4,0,0,
40,2015-01-06,8:30 PM,,Colorado Avalanche,0,2,L,,26,12,2,L 1,,54,6,0,0,,24,6,0,0,
41,2015-01-08,8:00 PM,@,Minnesota Wild,4,2,W,,27,12,2,W 1,,20,10,1,0,,44,7,1,0,
42,2015-01-09,9:30 PM,@,Edmonton Oilers,2,5,L,,27,13,2,L 1,,21,4,0,0,,22,4,1,0,
43,2015-01-11,8:00 PM,,Minnesota Wild,4,1,W,,28,13,2,W 1,,35,4,0,0,,37,4,0,0,
44,2015-01-16,8:30 PM,,Winnipeg Jets,2,4,L,,28,14,2,L 1,,33,20,0,0,,35,28,1,0,
45,2015-01-18,6:00 PM,,Dallas Stars,3,6,L,,28,15,2,L 2,,41,9,1,0,,34,11,1,1,
46,2015-01-20,8:30 PM,,Arizona Coyotes,6,1,W,,29,15,2,W 1,,51,4,1,0,,36,10,0,0,
