GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,SHG,,S,PIM,PPG,SHG,Notes
1,2014-10-08,7:30 PM,,Philadelphia Flyers,2,1,W,,1,0,0,W 1,,33,15,1,0,,20,11,0,0,
2,2014-10-09,7:30 PM,@,Detroit Red Wings,1,2,L,,1,1,0,L 1,,17,10,0,0,,24,10,1,0,
3,2014-10-11,7:00 PM,,Washington Capitals,0,4,L,,1,2,0,L 2,,29,25,0,0,,21,15,2,0,
4,2014-10-13,1:00 PM,,Colorado Avalanche,1,2,L,,1,3,0,L 3,,28,11,1,0,,30,7,0,0,
5,2014-10-15,8:00 PM,@,Detroit Red Wings,3,2,W,SO,2,3,0,W 1,,39,10,0,0,,20,6,1,0,
6,2014-10-16,7:30 PM,@,Montreal Canadiens,4,6,L,,2,4,0,L 1,,29,18,1,0,,26,8,2,0,
7,2014-10-18,7:00 PM,@,Buffalo Sabres,4,0,W,,3,4,0,W 1,,36,19,0,0,,32,11,0,0,
8,2014-10-21,7:00 PM,,San Jose Sharks,5,3,W,,4,4,0,W 2,,33,6,2,1,,34,6,1,0,
9,2014-10-23,7:00 PM,,New York Islanders,2,3,L,,4,5,0,L 1,,32,2,0,0,,38,2,0,0,
10,2014-10-25,7:00 PM,@,Toronto Maple Leafs,4,1,W,,5,5,0,W 1,,33,8,1,1,,33,10,0,0,
11,2014-10-28,7:00 PM,,Minnesota Wild,3,4,L,,5,6,0,L 1,,28,6,1,0,,42,6,0,0,
12,2014-10-30,7:00 PM,@,Buffalo Sabres,3,2,W,OT,6,6,0,W 1,,37,9,0,0,,15,7,1,0,
13,2014-11-01,7:00 PM,,Ottawa Senators,4,2,W,,7,6,0,W 2,,30,2,0,0,,29,6,0,0,
14,2014-11-04,7:00 PM,,Florida Panthers,2,1,W,OT,8,6,0,W 3,,25,2,0,0,,19,0,0,0,
15,2014-11-06,7:00 PM,,Edmonton Oilers,5,2,W,,9,6,0,W 4,,32,10,2,0,,26,8,1,0,
16,2014-11-10,7:00 PM,,New Jersey Devils,4,2,W,,10,6,0,W 5,,23,4,1,0,,28,6,0,0,
17,2014-11-12,8:00 PM,@,Toronto Maple Leafs,1,6,L,,10,7,0,L 1,,26,8,0,0,,33,6,3,0,
18,2014-11-13,7:30 PM,@,Montreal Canadiens,1,5,L,,10,8,0,L 2,,22,22,1,0,,34,18,1,0,
19,2014-11-15,1:00 PM,,Carolina Hurricanes,2,1,W,,11,8,0,W 1,,25,6,0,0,,34,4,0,0,
20,2014-11-18,7:00 PM,,St. Louis Blues,2,0,W,,12,8,0,W 2,,17,4,0,0,,33,2,0,0,
21,2014-11-21,7:00 PM,@,Columbus Blue Jackets,4,3,W,SO,13,8,0,W 3,,41,16,0,0,,28,4,0,0,
22,2014-11-22,7:00 PM,,Montreal Canadiens,0,2,L,,13,9,0,L 1,,33,16,0,0,,23,14,1,0,
