GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,SHG,,S,PIM,PPG,SHG,Notes
1,2013-10-01,8:00 PM,@,Chicago Blackhawks,4,6,L,,0,1,0,L 1,,32,8,3,0,,34,12,1,0,
2,2013-10-03,7:00 PM,,Calgary Flames,5,4,W,SO,1,1,0,W 1,,39,15,2,0,,39,13,1,0,
3,2013-10-05,8:00 PM,@,Dallas Stars,1,2,L,,1,2,0,L 1,,26,4,1,0,,21,6,0,0,
4,2013-10-10,7:00 PM,,Carolina Hurricanes,2,3,L,,1,3,0,L 2,,32,14,0,0,,36,14,1,0,
5,2013-10-12,7:00 PM,,Colorado Avalanche,1,5,L,,1,4,0,L 3,,41,4,0,0,,28,4,1,1,
6,2013-10-14,7:00 PM,,Edmonton Oilers,4,2,W,,2,4,0,W 1,,20,12,2,0,,30,12,0,0,
7,2013-10-16,8:00 PM,,New York Rangers,0,2,L,,2,5,0,L 1,,22,13,0,0,,36,15,0,0,
8,2013-10-19,7:00 PM,,Columbus Blue Jackets,4,1,W,,3,5,0,W 1,,39,11,2,0,,38,13,0,0,
9,2013-10-22,8:00 PM,@,Winnipeg Jets,5,4,W,SO,4,5,0,W 2,,32,13,1,0,,47,17,0,1,
10,2013-10-24,9:30 PM,@,Edmonton Oilers,4,1,W,,5,5,0,W 3,,26,8,0,0,,31,4,0,0,
11,2013-10-26,10:00 PM,@,Calgary Flames,2,5,L,,5,6,0,L 1,,29,6,0,0,,33,8,0,0,
12,2013-10-28,10:00 PM,@,Vancouver Canucks,2,3,L,,5,7,0,L 2,,19,12,0,0,,41,8,0,0,
13,2013-11-01,7:00 PM,@,Philadelphia Flyers,7,0,W,,6,7,0,W 1,,32,65,2,0,,30,99,0,0,
14,2013-11-02,7:00 PM,,Florida Panthers,3,2,W,SO,7,7,0,W 2,,23,21,0,0,,33,25,1,0,
15,2013-11-05,7:00 PM,,New York Islanders,6,2,W,,8,7,0,W 3,,39,32,4,0,,36,44,0,0,
16,2013-11-07,7:00 PM,,Minnesota Wild,3,2,W,SO,9,7,0,W 4,,27,6,1,0,,35,6,1,0,
17,2013-11-09,8:00 PM,@,Phoenix Coyotes,3,4,L,SO,9,7,1,L 1,,32,17,2,0,,35,21,2,0,
18,2013-11-10,8:00 PM,@,Colorado Avalanche,1,4,L,,9,8,1,L 2,,34,6,0,0,,37,6,0,0,
19,2013-11-12,7:00 PM,,Columbus Blue Jackets,4,3,W,OT,10,8,1,W 1,,34,6,0,1,,27,4,0,1,
20,2013-11-15,7:30 PM,@,Detroit Red Wings,4,3,W,SO,11,8,1,W 2,,33,10,0,0,,37,8,2,0,
21,2013-11-17,6:00 PM,,St. Louis Blues,4,1,W,,12,8,1,W 3,,20,15,1,0,,47,13,1,0,
22,2013-11-20,8:00 PM,,Pittsburgh Penguins,0,4,L,,12,9,1,L 1,,18,4,0,0,,40,6,1,0,
23,2013-11-22,7:00 PM,,Montreal Canadiens,2,3,L,,12,10,1,L 2,,27,15,1,0,,31,9,1,0,
24,2013-11-23,7:00 PM,@,Toronto Maple Leafs,1,2,L,SO,12,10,2,L 3,,50,2,0,0,,28,6,1,0,
25,2013-11-27,7:00 PM,,Ottawa Senators,4,6,L,,12,11,2,L 4,,33,36,2,0,,41,24,3,0,
26,2013-11-29,5:00 PM,,Montreal Canadiens,3,2,W,SO,13,11,2,W 1,,26,6,0,0,,37,10,0,0,
27,2013-11-30,7:00 PM,@,New York Islanders,3,2,W,OT,14,11,2,W 2,,30,4,0,1,,39,2,0,1,
28,2013-12-03,7:00 PM,,Carolina Hurricanes,1,4,L,,14,12,2,L 1,,27,8,1,0,,32,10,1,0,
29,2013-12-07,7:00 PM,,Nashville Predators,5,2,W,,15,12,2,W 1,,33,7,1,0,,36,13,0,0,
30,2013-12-08,7:00 PM,@,New York Rangers,4,1,W,,16,12,2,W 2,,36,6,0,0,,31,6,0,0,
31,2013-12-10,7:00 PM,,Tampa Bay Lightning,6,5,W,SO,17,12,2,W 3,,31,20,3,0,,42,9,2,0,
32,2013-12-13,7:30 PM,@,Florida Panthers,2,3,L,SO,17,12,3,L 1,,25,21,1,0,,41,17,0,0,
33,2013-12-15,3:00 PM,,Philadelphia Flyers,5,4,W,SO,18,12,3,W 1,,33,18,1,0,,28,20,0,0,
34,2013-12-17,7:30 PM,@,Philadelphia Flyers,2,5,L,,18,13,3,L 1,,26,35,1,0,,35,18,2,0,
35,2013-12-20,7:00 PM,@,Carolina Hurricanes,4,2,W,,19,13,3,W 1,,29,12,3,0,,41,10,1,0,
36,2013-12-21,7:00 PM,,New Jersey Devils,4,5,L,OT,19,13,4,L 1,,22,4,0,0,,37,2,2,0,
