G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Wed Oct 28 2015,7:30p ET,,Box Score,,Philadelphia 76ers,W,,112,95,1,0,W 1,
2,Fri Oct 30 2015,7:30p ET,,Box Score,,Toronto Raptors,L,,103,113,1,1,L 1,
3,Sun Nov 1 2015,3:30p ET,,Box Score,,San Antonio Spurs,L,,87,95,1,2,L 2,
4,Wed Nov 4 2015,7:00p ET,,Box Score,@,Indiana Pacers,L,,98,100,1,3,L 3,
5,Fri Nov 6 2015,7:30p ET,,Box Score,,Washington Wizards,W,,118,98,2,3,W 1,
6,Tue Nov 10 2015,8:00p ET,,Box Score,@,Milwaukee Bucks,W,,99,83,3,3,W 2,
7,Wed Nov 11 2015,7:30p ET,,Box Score,,Indiana Pacers,L,,91,102,3,4,L 1,
8,Fri Nov 13 2015,7:30p ET,,Box Score,,Atlanta Hawks,W,,106,93,4,4,W 1,
9,Sun Nov 15 2015,7:00p ET,,Box Score,@,Oklahoma City Thunder,W,,100,85,5,4,W 2,
10,Mon Nov 16 2015,8:00p ET,,Box Score,@,Houston Rockets,W,,111,95,6,4,W 3,
11,Wed Nov 18 2015,7:30p ET,,Box Score,,Dallas Mavericks,L,,102,106,6,5,L 1,
12,Fri Nov 20 2015,7:30p ET,,Box Score,,Brooklyn Nets,W,,120,95,7,5,W 1,
13,Sun Nov 22 2015,6:00p ET,,Box Score,@,Brooklyn Nets,L,,101,111,7,6,L 1,
14,Tue Nov 24 2015,8:00p ET,,Box Score,@,Atlanta Hawks,L,,97,121,7,7,L 2,
15,Wed Nov 25 2015,7:30p ET,,Box Score,,Philadelphia 76ers,W,,84,80,8,7,W 1,
16,Fri Nov 27 2015,7:30p ET,,Box Score,,Washington Wizards,W,,111,78,9,7,W 2,
17,Sun Nov 29 2015,6:00p ET,,Box Score,@,Orlando Magic,L,,91,110,9,8,L 1,
18,Mon Nov 30 2015,7:30p ET,,Box Score,@,Miami Heat,W,,105,95,10,8,W 1,
19,Thu Dec 3 2015,10:00p ET,,Box Score,@,Sacramento Kings,W,,114,97,11,8,W 2,at Mexico City Mexico
20,Sat Dec 5 2015,8:30p ET,,Box Score,@,San Antonio Spurs,L,,105,108,11,9,L 1,
21,Mon Dec 7 2015,8:00p ET,,Box Score,@,New Orleans Pelicans,W,,111,93,12,9,W 1,
22,Wed Dec 9 2015,7:00p ET,,Box Score,,Chicago Bulls,W,,105,100,13,9,W 2,
23,Fri Dec 11 2015,7:30p ET,,Box Score,,Golden State Warriors,L,2OT,119,124,13,10,L 1,
24,Sat Dec 12 2015,7:00p ET,,Box Score,@,Charlotte Hornets,W,,98,93,14,10,W 1,
25,Tue Dec 15 2015,7:30p ET,,Box Score,,Cleveland Cavaliers,L,,77,89,14,11,L 1,
26,Wed Dec 16 2015,7:30p ET,,Box Score,@,Detroit Pistons,L,,116,119,14,12,L 2,
27,Fri Dec 18 2015,7:30p ET,,Box Score,,Atlanta Hawks,L,,101,109,14,13,L 3,
28,Mon Dec 21 2015,7:30p ET,,Box Score,,Minnesota Timberwolves,W,,113,99,15,13,W 1,
29,Wed Dec 23 2015,7:00p ET,,Box Score,@,Charlotte Hornets,W,,102,89,16,13,W 2,
30,Sat Dec 26 2015,7:30p ET,,Box Score,@,Detroit Pistons,W,,99,93,17,13,W 3,
31,Sun Dec 27 2015,7:00p ET,,Box Score,,New York Knicks,W,,100,91,18,13,W 4,
32,Wed Dec 30 2015,7:30p ET,,Box Score,,Los Angeles Lakers,L,,104,112,18,14,L 1,
33,Sat Jan 2 2016,3:00p ET,,Box Score,,Brooklyn Nets,L,,97,100,18,15,L 2,
34,Mon Jan 4 2016,7:30p ET,,Box Score,@,Brooklyn Nets,W,,103,94,19,15,W 1,
35,Wed Jan 6 2016,7:30p ET,,Box Score,,Detroit Pistons,L,,94,99,19,16,L 1,
36,Thu Jan 7 2016,8:00p ET,,Box Score,@,Chicago Bulls,L,,92,101,19,17,L 2,
