G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Wed Oct 28 2015,10:00p ET,,Box Score,@,Sacramento Kings,W,,111,104,1,0,W 1,
2,Thu Oct 29 2015,10:30p ET,,Box Score,,Dallas Mavericks,W,,104,88,2,0,W 2,
3,Sat Oct 31 2015,10:30p ET,,Box Score,,Sacramento Kings,W,,114,109,3,0,W 3,
4,Mon Nov 2 2015,10:30p ET,,Box Score,,Phoenix Suns,W,,102,96,4,0,W 4,
5,Wed Nov 4 2015,10:30p ET,,Box Score,@,Golden State Warriors,L,,108,112,4,1,L 1,
6,Sat Nov 7 2015,10:30p ET,,Box Score,,Houston Rockets,L,,105,109,4,2,L 2,
7,Mon Nov 9 2015,10:30p ET,,Box Score,,Memphis Grizzlies,W,,94,92,5,2,W 1,
8,Wed Nov 11 2015,8:00p ET,,Box Score,@,Dallas Mavericks,L,,108,118,5,3,L 1,
9,Thu Nov 12 2015,10:30p ET,,Box Score,@,Phoenix Suns,L,,104,118,5,4,L 2,
10,Sat Nov 14 2015,3:30p ET,,Box Score,,Detroit Pistons,W,,101,96,6,4,W 1,
11,Thu Nov 19 2015,10:30p ET,,Box Score,,Golden State Warriors,L,,117,124,6,5,L 1,
12,Fri Nov 20 2015,10:00p ET,,Box Score,@,Portland Trail Blazers,L,,91,102,6,6,L 2,
13,Sun Nov 22 2015,3:30p ET,,Box Score,,Toronto Raptors,L,,80,91,6,7,L 3,
14,Tue Nov 24 2015,9:00p ET,,Box Score,@,Denver Nuggets,W,,111,94,7,7,W 1,
15,Wed Nov 25 2015,10:30p ET,,Box Score,,Utah Jazz,L,,91,102,7,8,L 1,
16,Fri Nov 27 2015,10:30p ET,,Box Score,,New Orleans Pelicans,W,,111,90,8,8,W 1,
17,Sun Nov 29 2015,3:30p ET,,Box Score,,Minnesota Timberwolves,W,,107,99,9,8,W 2,
18,Mon Nov 30 2015,10:30p ET,,Box Score,,Portland Trail Blazers,W,,102,87,10,8,W 3,
19,Wed Dec 2 2015,10:30p ET,,Box Score,,Indiana Pacers,L,,91,103,10,9,L 1,
20,Sat Dec 5 2015,10:30p ET,,Box Score,,Orlando Magic,W,,103,101,11,9,W 1,
21,Mon Dec 7 2015,8:00p ET,,Box Score,@,Minnesota Timberwolves,W,,110,106,12,9,W 2,
22,Wed Dec 9 2015,8:00p ET,,Box Score,@,Milwaukee Bucks,W,,109,95,13,9,W 3,
23,Thu Dec 10 2015,8:00p ET,,Box Score,@,Chicago Bulls,L,,80,83,13,10,L 1,
24,Sat Dec 12 2015,5:00p ET,,Box Score,@,Brooklyn Nets,W,,105,100,14,10,W 1,
25,Mon Dec 14 2015,7:30p ET,,Box Score,@,Detroit Pistons,W,OT,105,103,15,10,W 2,
26,Wed Dec 16 2015,10:30p ET,,Box Score,,Milwaukee Bucks,W,,103,90,16,10,W 3,
27,Fri Dec 18 2015,8:00p ET,,Box Score,@,San Antonio Spurs,L,,107,115,16,11,L 1,
28,Sat Dec 19 2015,8:00p ET,,Box Score,@,Houston Rockets,L,,97,107,16,12,L 2,
29,Mon Dec 21 2015,10:30p ET,,Box Score,,Oklahoma City Thunder,L,,99,100,16,13,L 3,
30,Fri Dec 25 2015,10:30p ET,,Box Score,@,Los Angeles Lakers,W,,94,84,17,13,W 1,
31,Sat Dec 26 2015,9:00p ET,,Box Score,@,Utah Jazz,W,,109,104,18,13,W 2,
32,Mon Dec 28 2015,7:00p ET,,Box Score,@,Washington Wizards,W,,108,91,19,13,W 3,
33,Wed Dec 30 2015,7:00p ET,,Box Score,@,Charlotte Hornets,W,,122,117,20,13,W 4,
34,Thu Dec 31 2015,8:00p ET,,Box Score,@,New Orleans Pelicans,W,,95,89,21,13,W 5,
35,Sat Jan 2 2016,10:30p ET,,Box Score,,Philadelphia 76ers,W,,130,99,22,13,W 6,
36,Wed Jan 6 2016,10:00p ET,,Box Score,@,Portland Trail Blazers,W,,109,98,23,13,W 7,
