GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,SHG,,S,PIM,PPG,SHG,Notes
1,2013-10-02,7:30 PM,,Toronto Maple Leafs,1,3,L,,0,1,0,L 1,,32,11,1,0,,25,21,1,0,
2,2013-10-05,7:00 PM,@,Montreal Canadiens,1,4,L,,0,2,0,L 2,,23,32,1,0,,34,24,2,0,
3,2013-10-06,5:00 PM,@,Carolina Hurricanes,1,2,L,,0,3,0,L 3,,18,8,0,0,,34,4,0,0,
4,2013-10-08,7:00 PM,,Florida Panthers,2,1,W,,1,3,0,W 1,,30,24,0,0,,34,27,0,0,
5,2013-10-11,7:00 PM,,Phoenix Coyotes,1,2,L,,1,4,0,L 1,,37,29,0,0,,31,13,1,0,
6,2013-10-12,7:00 PM,@,Detroit Red Wings,2,5,L,,1,5,0,L 2,,34,14,0,0,,30,8,3,0,
7,2013-10-15,7:00 PM,,Vancouver Canucks,2,3,L,,1,6,0,L 3,,22,7,0,0,,25,9,0,0,
8,2013-10-17,7:00 PM,,Pittsburgh Penguins,1,4,L,,1,7,0,L 4,,25,13,1,0,,35,13,0,0,
9,2013-10-24,7:00 PM,,New York Rangers,2,1,W,,2,7,0,W 1,,27,14,0,1,,31,41,0,0,
10,2013-10-26,7:00 PM,@,New York Islanders,5,2,W,,3,7,0,W 2,,32,13,1,0,,28,13,0,1,
11,2013-10-29,7:00 PM,,Anaheim Ducks,2,3,L,,3,8,0,L 1,,28,4,1,0,,37,4,0,0,
12,2013-11-01,7:00 PM,,Washington Capitals,0,7,L,,3,9,0,L 2,,30,99,0,0,,32,65,2,0,
13,2013-11-02,7:00 PM,@,New Jersey Devils,1,0,W,,4,9,0,W 1,,21,10,0,0,,14,10,0,0,
14,2013-11-05,7:30 PM,@,Carolina Hurricanes,1,2,L,OT,4,9,1,L 1,,29,10,1,0,,38,10,0,0,
15,2013-11-07,7:00 PM,,New Jersey Devils,0,3,L,,4,10,1,L 2,,22,6,0,0,,25,6,0,0,
16,2013-11-09,1:00 PM,,Edmonton Oilers,4,2,W,,5,10,1,W 1,,34,17,0,0,,26,21,1,0,
17,2013-11-12,7:30 PM,@,Ottawa Senators,5,0,W,,6,10,1,W 2,,31,2,2,0,,24,6,0,0,
18,2013-11-13,8:00 PM,@,Pittsburgh Penguins,2,1,W,,7,10,1,W 3,,21,10,1,0,,31,6,1,0,
19,2013-11-15,8:00 PM,@,Winnipeg Jets,2,3,L,SO,7,10,2,L 1,,34,8,1,0,,38,6,2,0,
20,2013-11-19,7:00 PM,,Ottawa Senators,5,2,W,,8,10,2,W 1,,42,19,1,1,,34,15,2,0,
21,2013-11-21,7:00 PM,,Buffalo Sabres,4,1,W,,9,10,2,W 2,,46,22,1,0,,30,14,1,0,
22,2013-11-23,7:00 PM,,New York Islanders,5,2,W,,10,10,2,W 3,,30,6,1,0,,38,6,0,0,
23,2013-11-25,7:30 PM,@,Florida Panthers,1,3,L,,10,11,2,L 1,,39,9,1,0,,31,23,1,0,
24,2013-11-27,7:30 PM,@,Tampa Bay Lightning,2,4,L,,10,12,2,L 2,,21,27,1,0,,35,13,1,1,
25,2013-11-29,11:30 AM,,Winnipeg Jets,2,1,W,,11,12,2,W 1,,34,14,0,1,,26,10,0,0,
26,2013-11-30,8:00 PM,@,Nashville Predators,3,2,W,SO,12,12,2,W 2,,24,8,0,0,,36,6,0,0,
27,2013-12-02,8:00 PM,@,Minnesota Wild,0,2,L,,12,13,2,L 1,,21,9,0,0,,21,9,0,0,
28,2013-12-04,8:00 PM,@,Detroit Red Wings,6,3,W,,13,13,2,W 1,,34,18,3,0,,35,8,1,0,
29,2013-12-07,2:00 PM,@,Dallas Stars,1,5,L,,13,14,2,L 1,,28,45,0,0,,34,20,0,1,
30,2013-12-09,7:30 PM,@,Ottawa Senators,4,5,L,SO,13,14,3,L 2,,29,16,1,0,,34,14,1,0,
31,2013-12-11,8:00 PM,@,Chicago Blackhawks,2,7,L,,13,15,3,L 3,,30,39,2,0,,23,35,2,1,
32,2013-12-12,7:00 PM,,Montreal Canadiens,2,1,W,,14,15,3,W 1,,27,6,0,0,,21,25,0,0,
33,2013-12-15,3:00 PM,@,Washington Capitals,4,5,L,SO,14,15,4,L 1,,28,20,0,0,,33,18,1,0,
34,2013-12-17,7:30 PM,,Washington Capitals,5,2,W,,15,15,4,W 1,,35,18,2,0,,26,35,1,0,
35,2013-12-19,7:00 PM,,Columbus Blue Jackets,5,4,W,,16,15,4,W 2,,39,4,0,0,,29,8,0,1,
36,2013-12-21,7:00 PM,@,Columbus Blue Jackets,3,6,L,,16,16,4,L 1,,36,13,0,0,,29,15,1,0,
37,2013-12-23,7:30 PM,,Minnesota Wild,4,1,W,,17,16,4,W 1,,31,10,1,0,,27,8,1,0,
38,2013-12-28,10:00 PM,@,Edmonton Oilers,4,3,W,SO,18,16,4,W 2,,38,10,3,0,,16,10,1,0,
39,2013-12-30,10:00 PM,@,Vancouver Canucks,4,3,W,SO,19,16,4,W 3,,27,10,0,0,,44,6,0,0,
40,2013-12-31,9:00 PM,@,Calgary Flames,4,1,W,,20,16,4,W 4,,21,4,0,1,,24,2,0,0,
41,2014-01-02,9:00 PM,@,Colorado Avalanche,1,2,L,,20,17,4,L 1,,30,4,0,0,,31,6,0,0,
42,2014-01-04,8:00 PM,@,Phoenix Coyotes,5,3,W,,21,17,4,W 1,,28,13,1,0,,29,11,0,0,
43,2014-01-07,7:30 PM,@,New Jersey Devils,3,2,W,OT,22,17,4,W 2,,28,6,1,0,,33,10,0,1,
44,2014-01-08,7:30 PM,,Montreal Canadiens,3,1,W,,23,17,4,W 3,,27,13,0,0,,20,13,0,1,
45,2014-01-11,1:00 PM,,Tampa Bay Lightning,3,6,L,,23,18,4,L 1,,38,10,1,0,,25,12,0,0,
46,2014-01-12,7:00 PM,@,New York Rangers,1,4,L,,23,19,4,L 2,,38,42,1,0,,35,36,1,0,
47,2014-01-14,7:30 PM,@,Buffalo Sabres,4,3,W,,24,19,4,W 1,,33,8,2,0,,19,12,0,0,
48,2014-01-16,7:00 PM,,Nashville Predators,3,4,L,SO,24,19,5,L 1,,30,10,1,0,,37,8,2,0,
49,2014-01-18,7:00 PM,,New York Islanders,6,4,W,,25,19,5,W 1,,32,13,0,0,,29,11,0,1,
