GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,SHG,,S,PIM,PPG,SHG,Notes
1,2013-10-03,8:00 PM,@,Minnesota Wild,3,2,W,SO,1,0,0,W 1,,18,20,1,0,,29,16,1,0,
2,2013-10-04,8:00 PM,@,Winnipeg Jets,3,5,L,,1,1,0,L 1,,36,17,2,0,,33,15,1,0,
3,2013-10-07,10:30 PM,,New York Rangers,1,3,L,,1,2,0,L 2,,29,15,0,0,,28,11,0,1,
4,2013-10-09,10:30 PM,,Ottawa Senators,4,3,W,OT,2,2,0,W 1,,32,10,2,0,,25,14,1,0,
5,2013-10-11,7:00 PM,@,Carolina Hurricanes,2,1,W,SO,3,2,0,W 2,,37,10,0,1,,28,6,1,0,
6,2013-10-13,3:00 PM,@,Florida Panthers,3,0,W,,4,2,0,W 3,,29,4,0,0,,20,2,0,0,
7,2013-10-15,7:30 PM,@,Tampa Bay Lightning,1,5,L,,4,3,0,L 1,,31,6,0,0,,25,10,0,0,
8,2013-10-17,8:00 PM,@,Nashville Predators,2,1,W,SO,5,3,0,W 1,,30,8,0,0,,35,8,0,0,
9,2013-10-19,10:30 PM,,Dallas Stars,5,2,W,,6,3,0,W 2,,34,17,1,0,,29,13,0,0,
10,2013-10-21,10:30 PM,,Calgary Flames,2,3,L,,6,4,0,L 1,,29,12,1,1,,25,6,3,0,
11,2013-10-24,10:30 PM,,Phoenix Coyotes,7,4,W,,7,4,0,W 1,,38,8,1,1,,28,10,1,0,
12,2013-10-27,9:00 PM,,Edmonton Oilers,2,1,W,SO,8,4,0,W 2,,48,20,0,0,,18,18,1,0,
13,2013-10-29,10:00 PM,@,Phoenix Coyotes,1,3,L,,8,5,0,L 1,,42,19,1,0,,32,15,1,0,
14,2013-10-30,10:30 PM,,San Jose Sharks,4,3,W,OT,9,5,0,W 1,,23,13,2,0,,20,13,1,0,
15,2013-11-02,10:30 PM,,Nashville Predators,3,4,L,,9,6,0,L 1,,38,13,1,0,,17,23,2,0,
