GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,SHG,,S,PIM,PPG,SHG,Notes
1,2014-10-08,7:00 PM,,Montreal Canadiens,3,4,L,,0,1,0,L 1,,27,4,1,0,,32,6,0,0,
2,2014-10-11,7:00 PM,,Pittsburgh Penguins,2,5,L,,0,2,0,L 2,,25,15,2,0,,41,17,3,0,
3,2014-10-12,7:00 PM,@,New York Rangers,6,3,W,,1,2,0,W 1,,36,4,2,1,,38,8,0,0,
4,2014-10-14,7:30 PM,,Colorado Avalanche,3,2,W,OT,2,2,0,W 2,,40,8,0,0,,24,12,0,0,
5,2014-10-17,7:30 PM,,Detroit Red Wings,1,4,L,,2,3,0,L 1,,24,12,0,0,,35,6,0,0,
6,2014-10-18,7:00 PM,@,Detroit Red Wings,0,1,L,OT,2,3,1,L 2,,30,10,0,0,,32,12,0,0,
7,2014-10-21,7:00 PM,@,New York Islanders,5,2,W,,3,3,1,W 1,,28,14,0,0,,36,20,1,0,
8,2014-10-25,7:00 PM,,Boston Bruins,1,4,L,,3,4,1,L 1,,33,10,0,0,,33,8,1,1,
9,2014-10-28,7:30 PM,,Buffalo Sabres,4,0,W,,4,4,1,W 1,,37,11,1,0,,10,19,0,0,
10,2014-10-31,7:00 PM,@,Columbus Blue Jackets,4,1,W,,5,4,1,W 2,,27,8,1,0,,29,4,1,0,
11,2014-11-01,7:00 PM,,Chicago Blackhawks,3,2,W,,6,4,1,W 3,,27,8,0,0,,47,6,2,0,
12,2014-11-04,9:00 PM,@,Arizona Coyotes,2,3,L,,6,5,1,L 1,,30,10,2,0,,33,12,0,0,
13,2014-11-06,9:00 PM,@,Colorado Avalanche,3,4,L,SO,6,5,2,L 2,,38,6,1,0,,34,6,0,0,
14,2014-11-08,7:00 PM,,New York Rangers,5,4,W,,7,5,2,W 1,,31,4,1,1,,35,4,0,0,
15,2014-11-09,6:00 PM,@,Ottawa Senators,5,3,W,,8,5,2,W 2,,30,6,0,1,,41,4,1,0,
16,2014-11-12,8:00 PM,,Boston Bruins,6,1,W,,9,5,2,W 3,,33,6,3,0,,26,8,0,0,
17,2014-11-14,7:30 PM,,Pittsburgh Penguins,1,2,L,,9,6,2,L 1,,31,8,0,0,,40,14,0,0,
18,2014-11-15,7:00 PM,@,Buffalo Sabres,2,6,L,,9,7,2,L 2,,34,8,0,0,,35,10,1,1,
19,2014-11-18,7:30 PM,,Nashville Predators,2,9,L,,9,8,2,L 3,,31,18,0,0,,37,14,1,0,
20,2014-11-20,7:30 PM,,Tampa Bay Lightning,5,2,W,,10,8,2,W 1,,21,6,1,0,,28,6,0,1,
21,2014-11-22,7:00 PM,,Detroit Red Wings,4,1,W,,11,8,2,W 2,,28,6,0,1,,27,8,0,0,
22,2014-11-26,7:30 PM,@,Pittsburgh Penguins,3,4,L,OT,11,8,3,L 1,,27,8,0,1,,26,8,1,0,
23,2014-11-29,7:00 PM,,Washington Capitals,6,2,W,,12,8,3,W 1,,23,21,3,0,,37,23,1,0,
24,2014-12-02,7:30 PM,,Dallas Stars,5,3,W,,13,8,3,W 2,,40,10,1,0,,38,14,0,0,
25,2014-12-04,7:30 PM,,New Jersey Devils,3,5,L,,13,9,3,L 1,,32,6,1,1,,26,4,2,0,
