G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Wed Oct 28 2015,10:00p ET,,Box Score,@,Phoenix Suns,W,,111,95,1,0,W 1,
2,Thu Oct 29 2015,10:30p ET,,Box Score,@,Los Angeles Clippers,L,,88,104,1,1,L 1,
3,Sun Nov 1 2015,9:30p ET,,Box Score,@,Los Angeles Lakers,W,,103,93,2,1,W 1,
4,Tue Nov 3 2015,8:30p ET,,Box Score,,Toronto Raptors,L,,91,102,2,2,L 1,
5,Thu Nov 5 2015,8:30p ET,,Box Score,,Charlotte Hornets,L,,94,108,2,3,L 2,
6,Sat Nov 7 2015,8:30p ET,,Box Score,,New Orleans Pelicans,W,,107,98,3,3,W 1,
7,Tue Nov 10 2015,8:00p ET,,Box Score,@,New Orleans Pelicans,L,,105,120,3,4,L 1,
8,Wed Nov 11 2015,8:00p ET,,Box Score,,Los Angeles Clippers,W,,118,108,4,4,W 1,
9,Fri Nov 13 2015,8:30p ET,,Box Score,,Los Angeles Lakers,W,,90,82,5,4,W 2,
10,Sat Nov 14 2015,8:00p ET,,Box Score,@,Houston Rockets,W,,110,98,6,4,W 3,
11,Mon Nov 16 2015,7:00p ET,,Box Score,@,Philadelphia 76ers,W,,92,86,7,4,W 4,
12,Wed Nov 18 2015,7:30p ET,,Box Score,@,Boston Celtics,W,,106,102,8,4,W 5,
13,Fri Nov 20 2015,8:30p ET,,Box Score,,Utah Jazz,W,,102,93,9,4,W 6,
14,Sun Nov 22 2015,7:00p ET,,Box Score,@,Oklahoma City Thunder,L,,114,117,9,5,L 1,
15,Tue Nov 24 2015,8:00p ET,,Box Score,@,Memphis Grizzlies,L,,96,110,9,6,L 2,
16,Wed Nov 25 2015,8:30p ET,,Box Score,@,San Antonio Spurs,L,,83,88,9,7,L 3,
17,Sat Nov 28 2015,8:30p ET,,Box Score,,Denver Nuggets,W,,92,81,10,7,W 1,
18,Mon Nov 30 2015,10:00p ET,,Box Score,@,Sacramento Kings,L,,98,112,10,8,L 1,
19,Tue Dec 1 2015,10:00p ET,,Box Score,@,Portland Trail Blazers,W,OT,115,112,11,8,W 1,
20,Fri Dec 4 2015,8:30p ET,,Box Score,,Houston Rockets,L,,96,100,11,9,L 1,
21,Sun Dec 6 2015,6:00p ET,,Box Score,@,Washington Wizards,W,,116,104,12,9,W 1,
22,Mon Dec 7 2015,7:30p ET,,Box Score,@,New York Knicks,W,,104,97,13,9,W 2,
23,Wed Dec 9 2015,9:30p ET,,Box Score,,Atlanta Hawks,L,,95,98,13,10,L 1,
24,Sat Dec 12 2015,8:30p ET,,Box Score,,Washington Wizards,L,,111,114,13,11,L 2,
25,Mon Dec 14 2015,8:30p ET,,Box Score,,Phoenix Suns,W,,104,94,14,11,W 1,
26,Wed Dec 16 2015,7:00p ET,,Box Score,@,Indiana Pacers,L,,81,107,14,12,L 1,
27,Fri Dec 18 2015,8:30p ET,,Box Score,,Memphis Grizzlies,W,,97,88,15,12,W 1,
28,Tue Dec 22 2015,7:30p ET,,Box Score,@,Toronto Raptors,L,,99,103,15,13,L 1,
29,Wed Dec 23 2015,7:30p ET,,Box Score,@,Brooklyn Nets,W,OT,119,118,16,13,W 1,
30,Sat Dec 26 2015,8:30p ET,,Box Score,,Chicago Bulls,W,,118,111,17,13,W 2,
31,Mon Dec 28 2015,8:30p ET,,Box Score,,Milwaukee Bucks,W,,103,93,18,13,W 3,
32,Wed Dec 30 2015,8:30p ET,,Box Score,,Golden State Warriors,W,,114,91,19,13,W 4,
33,Fri Jan 1 2016,7:30p ET,,Box Score,@,Miami Heat,L,,82,106,19,14,L 1,
34,Sat Jan 2 2016,8:30p ET,,Box Score,,New Orleans Pelicans,L,,98,105,19,15,L 2,
35,Tue Jan 5 2016,8:30p ET,,Box Score,,Sacramento Kings,W,2OT,117,116,20,15,W 1,
36,Wed Jan 6 2016,8:00p ET,,Box Score,@,New Orleans Pelicans,W,,100,91,21,15,W 2,
37,Fri Jan 8 2016,8:00p ET,,Box Score,@,Milwaukee Bucks,L,,95,96,21,16,L 1,
38,Sun Jan 10 2016,5:00p ET,,Box Score,@,Minnesota Timberwolves,W,,93,87,22,16,W 1,
39,Tue Jan 12 2016,8:30p ET,,Box Score,,Cleveland Cavaliers,L,OT,107,110,22,17,L 1,
40,Wed Jan 13 2016,8:00p ET,,Box Score,@,Oklahoma City Thunder,L,,89,108,22,18,L 2,
41,Fri Jan 15 2016,8:00p ET,,Box Score,@,Chicago Bulls,W,,83,77,23,18,W 1,
42,Sun Jan 17 2016,7:00p ET,,Box Score,@,San Antonio Spurs,L,,83,112,23,19,L 1,
43,Mon Jan 18 2016,8:30p ET,,Box Score,,Boston Celtics,W,OT,118,113,24,19,W 1,
44,Wed Jan 20 2016,8:30p ET,,Box Score,,Minnesota Timberwolves,W,OT,106,94,25,19,W 2,
45,Fri Jan 22 2016,8:30p ET,,Box Score,,Oklahoma City Thunder,L,,106,109,25,20,L 1,
46,Sun Jan 24 2016,3:30p ET,,Box Score,@,Houston Rockets,L,,104,115,25,21,L 2,
47,Tue Jan 26 2016,10:30p ET,,Box Score,@,Los Angeles Lakers,W,,92,90,26,21,W 1,
48,Wed Jan 27 2016,10:30p ET,,Box Score,@,Golden State Warriors,L,,107,127,26,22,L 1,
49,Fri Jan 29 2016,8:30p ET,,Box Score,,Brooklyn Nets,W,,91,79,27,22,W 1,
50,Sun Jan 31 2016,7:00p ET,,Box Score,,Phoenix Suns,W,,91,78,28,22,W 2,
51,Mon Feb 1 2016,8:00p ET,,Box Score,@,Atlanta Hawks,L,,97,112,28,23,L 1,
52,Wed Feb 3 2016,8:30p ET,,Box Score,,Miami Heat,L,,90,93,28,24,L 2,
53,Fri Feb 5 2016,9:30p ET,,Box Score,,San Antonio Spurs,L,,90,116,28,25,L 3,
54,Sat Feb 6 2016,8:00p ET,,Box Score,@,Memphis Grizzlies,W,OT,114,110,29,25,W 1,
55,Tue Feb 9 2016,8:30p ET,,Box Score,,Utah Jazz,L,OT,119,121,29,26,L 1,
56,Fri Feb 19 2016,7:00p ET,,Box Score,@,Orlando Magic,L,OT,104,110,29,27,L 2,
57,Sun Feb 21 2016,7:00p ET,,Box Score,,Philadelphia 76ers,W,,129,103,30,27,W 1,
58,Wed Feb 24 2016,8:30p ET,,Box Score,,Oklahoma City Thunder,L,,103,116,30,28,L 1,
59,Fri Feb 26 2016,8:30p ET,,Box Score,,Denver Nuggets,W,OT,122,116,31,28,W 1,
60,Sun Feb 28 2016,7:00p ET,,Box Score,,Minnesota Timberwolves,W,,128,101,32,28,W 2,
61,Tue Mar 1 2016,8:30p ET,,Box Score,,Orlando Magic,W,,121,108,33,28,W 3,
62,Thu Mar 3 2016,8:30p ET,,Box Score,,Sacramento Kings,L,,101,104,33,29,L 1,
63,Sun Mar 6 2016,5:00p ET,,Box Score,@,Denver Nuggets,L,OT,114,116,33,30,L 2,
64,Mon Mar 7 2016,8:30p ET,,Box Score,,Los Angeles Clippers,L,,90,109,33,31,L 3,
65,Wed Mar 9 2016,8:30p ET,,Box Score,,Detroit Pistons,L,,96,102,33,32,L 4,
66,Sat Mar 12 2016,2:00p ET,,Box Score,,Indiana Pacers,L,,105,112,33,33,L 5,
67,Mon Mar 14 2016,7:00p ET,,Box Score,@,Charlotte Hornets,W,,107,96,34,33,W 1,
68,Wed Mar 16 2016,7:00p ET,,Box Score,@,Cleveland Cavaliers,L,,98,99,34,34,L 1,
69,Fri Mar 18 2016,8:30p ET,,Box Score,,Golden State Warriors,L,,112,130,34,35,L 2,
70,Sun Mar 20 2016,4:00p ET,,Box Score,,Portland Trail Blazers,W,OT,132,120,35,35,W 1,
71,Wed Mar 23 2016,10:00p ET,,Box Score,@,Portland Trail Blazers,L,,103,109,35,36,L 1,
72,Fri Mar 25 2016,10:30p ET,,Box Score,@,Golden State Warriors,L,,120,128,35,37,L 2,
73,Sun Mar 27 2016,6:00p ET,,Box Score,@,Sacramento Kings,L,,111,133,35,38,L 3,
74,Mon Mar 28 2016,9:00p ET,,Box Score,@,Denver Nuggets,W,,97,88,36,38,W 1,
75,Wed Mar 30 2016,8:30p ET,,Box Score,,New York Knicks,W,,91,89,37,38,W 2,
76,Fri Apr 1 2016,7:30p ET,,Box Score,@,Detroit Pistons,W,,98,89,38,38,W 3,
77,Sun Apr 3 2016,3:30p ET,,Box Score,@,Minnesota Timberwolves,W,,88,78,39,38,W 4,
78,Wed Apr 6 2016,9:30p ET,,Box Score,,Houston Rockets,W,,88,86,40,38,W 5,
79,Fri Apr 8 2016,8:30p ET,,Box Score,,Memphis Grizzlies,W,,103,93,41,38,W 6,
80,Sun Apr 10 2016,3:30p ET,,Box Score,@,Los Angeles Clippers,L,,91,98,41,39,L 1,
81,Mon Apr 11 2016,9:00p ET,,Box Score,@,Utah Jazz,W,,101,92,42,39,W 1,
82,Wed Apr 13 2016,8:00p ET,,Box Score,,San Antonio Spurs,L,,91,96,42,40,L 1,
