GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,SHG,,S,PIM,PPG,SHG,Notes
1,2014-10-09,8:00 PM,@,St. Louis Blues,3,2,W,,1,0,0,W 1,,25,19,0,0,,25,15,0,0,
2,2014-10-11,7:00 PM,@,Columbus Blue Jackets,2,5,L,,1,1,0,L 1,,26,25,0,0,,24,13,0,0,
3,2014-10-12,7:00 PM,,Toronto Maple Leafs,3,6,L,,1,2,0,L 2,,38,8,0,0,,36,4,2,1,
4,2014-10-14,7:00 PM,,New York Islanders,3,6,L,,1,3,0,L 3,,43,8,0,0,,27,8,1,0,
5,2014-10-16,7:00 PM,,Carolina Hurricanes,2,1,W,SO,2,3,0,W 1,,34,8,0,0,,30,12,0,0,
6,2014-10-19,5:00 PM,,San Jose Sharks,4,0,W,,3,3,0,W 2,,29,13,0,0,,33,9,0,0,
7,2014-10-21,7:00 PM,@,New Jersey Devils,4,3,W,OT,4,3,0,W 3,,25,10,2,0,,31,6,3,0,
8,2014-10-25,7:00 PM,@,Montreal Canadiens,1,3,L,,4,4,0,L 1,,35,7,0,0,,30,9,0,1,
9,2014-10-27,7:00 PM,,Minnesota Wild,5,4,W,,5,4,0,W 1,,20,29,0,0,,30,2,0,0,
10,2014-11-01,7:00 PM,,Winnipeg Jets,0,1,L,SO,5,4,1,L 1,,38,6,0,0,,25,10,0,0,
11,2014-11-03,7:00 PM,,St. Louis Blues,3,4,L,SO,5,4,2,L 2,,39,13,1,0,,34,15,1,0,
12,2014-11-05,8:00 PM,,Detroit Red Wings,4,3,W,OT,6,4,2,W 1,,30,12,2,0,,28,10,2,0,
13,2014-11-08,7:00 PM,@,Toronto Maple Leafs,4,5,L,,6,5,2,L 1,,35,4,0,0,,31,4,1,1,
14,2014-11-09,6:00 PM,,Edmonton Oilers,1,3,L,,6,6,2,L 2,,21,6,0,0,,33,2,0,0,
15,2014-11-11,7:00 PM,,Pittsburgh Penguins,5,0,W,,7,6,2,W 1,,35,6,1,1,,33,8,0,0,
16,2014-11-13,7:00 PM,,Colorado Avalanche,3,4,L,SO,7,6,3,L 1,,33,9,0,0,,29,11,1,0,
17,2014-11-15,7:00 PM,@,Pittsburgh Penguins,2,3,L,SO,7,6,4,L 2,,31,8,1,0,,38,12,0,0,
18,2014-11-17,7:00 PM,,Tampa Bay Lightning,1,5,L,,7,7,4,L 3,,16,6,1,0,,30,6,1,0,
19,2014-11-19,8:00 PM,,Philadelphia Flyers,2,0,W,,8,7,4,W 1,,34,8,1,0,,31,8,0,0,
20,2014-11-23,7:00 PM,,Montreal Canadiens,5,0,W,,9,7,4,W 2,,34,11,0,0,,21,13,0,0,
21,2014-11-26,7:30 PM,@,Tampa Bay Lightning,3,4,L,,9,8,4,L 1,,19,8,1,0,,29,4,2,0,
22,2014-11-28,1:00 PM,@,Philadelphia Flyers,3,0,W,,10,8,4,W 1,,24,12,1,1,,26,10,0,0,
23,2014-11-29,1:00 PM,,Philadelphia Flyers,5,2,W,,11,8,4,W 2,,35,2,1,0,,23,8,1,0,
24,2014-12-01,7:00 PM,,Tampa Bay Lightning,3,6,L,,11,9,4,L 1,,35,10,1,0,,21,8,1,1,
25,2014-12-06,7:00 PM,@,Detroit Red Wings,2,3,L,,11,10,4,L 2,,29,6,0,0,,34,12,0,0,
