GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,SHG,,S,PIM,PPG,SHG,Notes
1,2014-10-09,8:30 PM,,Chicago Blackhawks,2,3,L,SO,0,0,1,L 1,,34,12,1,0,,26,14,1,0,
2,2014-10-11,8:00 PM,@,Nashville Predators,1,4,L,,0,1,1,L 2,,18,23,0,0,,33,9,0,0,
3,2014-10-14,7:00 PM,@,Columbus Blue Jackets,4,2,W,,1,1,1,W 1,,35,13,0,0,,35,7,1,0,
4,2014-10-16,7:00 PM,@,Pittsburgh Penguins,3,2,W,,2,1,1,W 2,,28,8,1,0,,29,8,2,0,
5,2014-10-18,8:00 PM,,Philadelphia Flyers,5,6,L,OT,2,1,2,L 1,,23,10,2,0,,37,2,2,0,
6,2014-10-21,8:30 PM,,Vancouver Canucks,6,3,W,,3,1,2,W 1,,28,8,1,0,,46,10,0,0,
7,2014-10-24,7:00 PM,@,New Jersey Devils,3,2,W,SO,4,1,2,W 2,,37,5,1,0,,27,9,0,0,
8,2014-10-25,7:00 PM,@,New York Islanders,5,7,L,,4,2,2,L 1,,31,4,1,0,,29,10,0,1,
9,2014-10-28,8:30 PM,,St. Louis Blues,3,4,L,OT,4,2,3,L 2,,28,10,1,0,,27,8,1,0,
10,2014-10-31,8:30 PM,,Anaheim Ducks,1,2,L,OT,4,2,4,L 3,,22,10,0,0,,24,12,0,0,
11,2014-11-01,8:00 PM,@,Minnesota Wild,1,4,L,,4,3,4,L 4,,20,8,0,0,,30,8,2,0,
12,2014-11-04,8:30 PM,,Los Angeles Kings,1,3,L,,4,4,4,L 5,,34,12,0,0,,30,10,0,1,
13,2014-11-06,8:30 PM,,Nashville Predators,2,3,L,,4,5,4,L 6,,35,6,0,0,,33,2,2,0,
14,2014-11-08,8:00 PM,,San Jose Sharks,3,5,L,,4,6,4,L 7,,40,18,1,0,,29,14,1,0,
15,2014-11-11,9:00 PM,@,Arizona Coyotes,4,3,W,,5,6,4,W 1,,32,22,1,1,,37,18,0,0,
16,2014-11-13,10:30 PM,@,Los Angeles Kings,2,0,W,,6,6,4,W 2,,27,11,0,0,,27,13,0,0,
17,2014-11-15,2:00 PM,,Minnesota Wild,1,2,L,,6,7,4,L 1,,28,2,0,0,,22,4,0,0,
18,2014-11-16,7:00 PM,@,Chicago Blackhawks,2,6,L,,6,8,4,L 2,,24,13,0,0,,47,7,1,0,
19,2014-11-18,8:30 PM,,Carolina Hurricanes,4,6,L,,6,9,4,L 3,,27,13,0,1,,25,11,1,0,
20,2014-11-20,8:30 PM,,Arizona Coyotes,3,1,W,,7,9,4,W 1,,27,4,0,0,,27,4,1,0,
21,2014-11-22,8:00 PM,,Los Angeles Kings,5,4,W,,8,9,4,W 2,,23,8,2,0,,41,12,1,0,
22,2014-11-25,8:30 PM,,Edmonton Oilers,3,2,W,,9,9,4,W 3,,34,9,0,0,,37,13,0,1,
23,2014-11-28,8:30 PM,,Minnesota Wild,4,5,L,OT,9,9,5,L 1,,45,4,0,0,,34,8,0,0,
24,2014-11-29,9:00 PM,@,Colorado Avalanche,2,5,L,,9,10,5,L 2,,24,19,0,0,,47,13,2,0,
25,2014-12-02,7:30 PM,@,Toronto Maple Leafs,3,5,L,,9,11,5,L 3,,38,14,0,0,,40,10,1,0,
26,2014-12-04,7:30 PM,@,Detroit Red Wings,2,5,L,,9,12,5,L 4,,24,6,1,0,,29,6,1,0,
27,2014-12-06,7:00 PM,,Montreal Canadiens,4,1,W,,10,12,5,W 1,,29,6,2,0,,17,14,0,0,
28,2014-12-09,8:30 PM,,Winnipeg Jets,2,5,L,,10,13,5,L 1,,28,10,1,0,,32,12,1,1,
29,2014-12-13,8:30 PM,,New Jersey Devils,4,3,W,,11,13,5,W 1,,36,9,0,0,,31,9,1,0,
30,2014-12-17,10:00 PM,@,Vancouver Canucks,2,0,W,,12,13,5,W 2,,29,15,0,0,,27,11,0,0,
31,2014-12-19,9:00 PM,@,Calgary Flames,2,1,W,,13,13,5,W 3,,21,10,0,0,,22,4,0,0,
32,2014-12-21,6:00 PM,@,Edmonton Oilers,6,5,W,SO,14,13,5,W 4,,45,9,1,0,,29,13,1,0,
33,2014-12-23,7:00 PM,,Toronto Maple Leafs,0,4,L,,14,14,5,L 1,,43,21,0,0,,26,19,1,0,
34,2014-12-27,8:00 PM,@,St. Louis Blues,4,3,W,,15,14,5,W 1,,24,15,2,0,,33,15,1,0,
35,2014-12-29,8:30 PM,,New York Rangers,3,2,W,,16,14,5,W 2,,27,6,1,0,,30,10,1,0,
36,2014-12-31,8:00 PM,,Arizona Coyotes,6,0,W,,17,14,5,W 3,,31,6,1,0,,32,4,0,0,
37,2015-01-03,8:00 PM,,Minnesota Wild,7,1,W,,18,14,5,W 4,,35,35,1,1,,22,57,1,0,
38,2015-01-04,8:00 PM,@,Chicago Blackhawks,4,5,L,OT,18,14,6,L 1,,34,4,0,0,,38,0,1,0,
39,2015-01-06,8:30 PM,,Columbus Blue Jackets,2,4,L,,18,15,6,L 2,,26,15,0,0,,20,15,1,0,
40,2015-01-08,8:00 PM,@,Nashville Predators,2,3,L,OT,18,15,7,L 3,,20,4,0,0,,24,6,0,0,
41,2015-01-10,3:00 PM,@,Colorado Avalanche,3,4,L,,18,16,7,L 4,,40,6,0,0,,30,12,0,0,
42,2015-01-13,8:30 PM,,Ottawa Senators,5,4,W,,19,16,7,W 1,,29,4,1,0,,41,6,2,0,
43,2015-01-15,8:30 PM,,Winnipeg Jets,1,2,L,,19,17,7,L 1,,47,6,0,0,,22,16,0,1,
44,2015-01-17,8:00 PM,,Washington Capitals,5,4,W,,20,17,7,W 1,,26,6,1,0,,32,8,0,0,
45,2015-01-18,6:00 PM,@,Chicago Blackhawks,6,3,W,,21,17,7,W 2,,34,11,1,1,,41,9,1,0,
46,2015-01-20,8:30 PM,,Boston Bruins,1,3,L,,21,18,7,L 1,,37,6,0,0,,27,12,1,0,
47,2015-01-27,7:30 PM,@,Montreal Canadiens,2,3,L,,21,19,7,L 2,,42,8,1,0,,26,21,1,0,
48,2015-01-29,7:30 PM,@,Ottawa Senators,6,3,W,,22,19,7,W 1,,41,12,2,2,,28,8,1,0,
49,2015-01-31,7:00 PM,@,Winnipeg Jets,5,2,W,,23,19,7,W 2,,32,13,4,0,,40,35,0,0,
50,2015-02-03,8:30 PM,,Colorado Avalanche,2,3,L,SO,23,19,8,L 1,,32,9,1,0,,24,11,0,0,
51,2015-02-05,8:30 PM,,Tampa Bay Lightning,3,5,L,,23,20,8,L 2,,36,8,0,0,,29,10,1,0,
52,2015-02-07,7:00 PM,@,Buffalo Sabres,2,3,L,,23,21,8,L 3,,40,4,1,0,,24,4,1,0,
53,2015-02-08,5:00 PM,@,New York Rangers,3,2,W,OT,24,21,8,W 1,,25,6,1,0,,36,6,1,0,
54,2015-02-10,7:00 PM,@,Boston Bruins,5,3,W,,25,21,8,W 2,,32,21,0,2,,44,4,0,1,
55,2015-02-13,8:30 PM,,Florida Panthers,2,0,W,,26,21,8,W 3,,28,8,0,1,,37,23,0,0,
56,2015-02-14,9:00 PM,@,Colorado Avalanche,1,4,L,,26,22,8,L 1,,25,19,0,0,,30,32,0,0,
57,2015-02-17,8:00 PM,@,St. Louis Blues,4,1,W,,27,22,8,W 1,,22,9,1,0,,28,11,0,0,
58,2015-02-19,8:30 PM,,San Jose Sharks,2,5,L,,27,23,8,L 1,,39,9,1,0,,28,11,0,0,
59,2015-02-21,8:00 PM,,Detroit Red Wings,6,7,L,OT,27,23,9,L 2,,34,11,1,0,,36,9,1,0,
60,2015-02-22,8:00 PM,@,Minnesota Wild,2,6,L,,27,24,9,L 3,,20,4,1,0,,35,6,1,0,
61,2015-02-24,8:00 PM,@,Winnipeg Jets,2,4,L,,27,25,9,L 4,,28,6,0,0,,25,6,1,0,
62,2015-02-27,8:30 PM,,Colorado Avalanche,4,5,L,SO,27,25,10,L 5,,36,6,0,0,,23,6,0,0,
63,2015-03-01,8:00 PM,,Anaheim Ducks,1,3,L,,27,26,10,L 6,,40,7,1,0,,22,11,0,0,
64,2015-03-03,8:30 PM,,New York Islanders,3,2,W,OT,28,26,10,W 1,,35,6,0,0,,37,23,0,0,
65,2015-03-05,7:30 PM,@,Florida Panthers,4,3,W,SO,29,26,10,W 2,,32,9,0,0,,24,9,0,0,
66,2015-03-07,7:00 PM,@,Tampa Bay Lightning,4,5,L,,29,27,10,L 1,,35,8,2,0,,28,4,1,1,
67,2015-03-10,7:00 PM,@,Philadelphia Flyers,2,1,W,,30,27,10,W 1,,39,6,0,0,,26,6,0,0,
68,2015-03-12,7:00 PM,@,Carolina Hurricanes,5,3,W,,31,27,10,W 2,,32,6,0,0,,18,4,0,0,
69,2015-03-13,7:00 PM,@,Washington Capitals,4,2,W,,32,27,10,W 3,,31,8,3,0,,20,12,0,0,
70,2015-03-15,6:00 PM,,St. Louis Blues,0,3,L,,32,28,10,L 1,,28,6,0,0,,21,14,1,0,
71,2015-03-19,8:30 PM,,Pittsburgh Penguins,2,1,W,,33,28,10,W 1,,26,14,0,0,,32,14,1,0,
72,2015-03-21,8:00 PM,,Chicago Blackhawks,4,0,W,,34,28,10,W 2,,29,4,2,0,,33,6,0,0,
73,2015-03-23,8:30 PM,,Buffalo Sabres,4,3,W,,35,28,10,W 3,,39,4,1,0,,28,6,1,0,
74,2015-03-25,10:00 PM,@,Calgary Flames,4,3,W,SO,36,28,10,W 4,,30,8,1,0,,34,14,0,0,
75,2015-03-27,9:30 PM,@,Edmonton Oilers,0,4,L,,36,29,10,L 1,,29,4,0,0,,28,8,0,0,
76,2015-03-28,10:00 PM,@,Vancouver Canucks,4,3,W,OT,37,29,10,W 1,,40,13,0,0,,36,9,2,0,
77,2015-03-30,8:30 PM,,Calgary Flames,3,5,L,,37,30,10,L 1,,36,6,1,0,,25,8,1,0,
78,2015-04-03,8:30 PM,,St. Louis Blues,5,7,L,,37,31,10,L 2,,32,8,0,0,,21,10,0,0,
79,2015-04-04,8:00 PM,@,Nashville Predators,4,3,W,OT,38,31,10,W 1,,24,4,1,0,,36,2,0,0,
80,2015-04-06,10:30 PM,@,San Jose Sharks,5,1,W,,39,31,10,W 2,,25,15,2,0,,24,17,1,0,
81,2015-04-08,10:30 PM,@,Anaheim Ducks,4,0,W,,40,31,10,W 3,,32,2,1,0,,19,6,0,0,
82,2015-04-11,8:00 PM,,Nashville Predators,4,1,W,,41,31,10,W 4,,25,4,1,0,,25,6,0,0,
