GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,2016-10-13,8:30 PM,,Anaheim Ducks,4,2,W,,1,0,0,W 1,,20,10,0,4,0,,35,8,0,5,1,18532,2:30,
2,2016-10-15,9:00 PM,@,Colorado Avalanche,5,6,L,,1,1,0,L 1,,28,6,2,4,0,,33,8,2,3,0,18007,2:38,
3,2016-10-18,8:00 PM,@,Nashville Predators,2,1,W,,2,1,0,W 1,,37,8,0,2,0,,28,6,1,3,0,17113,2:29,
4,2016-10-20,8:30 PM,,Los Angeles Kings,3,4,L,OT,2,1,1,L 1,,20,29,1,4,0,,39,15,1,6,0,18532,2:45,
5,2016-10-22,8:00 PM,,Columbus Blue Jackets,0,3,L,,2,2,1,L 2,,32,9,0,5,0,,26,15,0,2,0,18532,2:30,
6,2016-10-25,8:30 PM,,Winnipeg Jets,3,2,W,,3,2,1,W 1,,26,10,1,6,0,,30,14,1,4,0,18040,2:37,
7,2016-10-27,8:00 PM,@,Winnipeg Jets,1,4,L,,3,3,1,L 1,,39,14,1,6,0,,36,12,2,7,0,15294,2:31,
8,2016-10-29,8:00 PM,@,Minnesota Wild,0,4,L,,3,4,1,L 2,,29,4,0,3,0,,15,4,1,2,1,19031,2:28,
9,2016-11-01,7:00 PM,@,Columbus Blue Jackets,2,3,L,OT,3,4,2,L 3,,38,9,0,4,0,,28,13,1,2,0,10141,2:27,
10,2016-11-03,8:30 PM,,St. Louis Blues,6,2,W,,4,4,2,W 1,,27,24,1,4,0,,30,24,0,3,0,18532,2:40,
11,2016-11-05,8:00 PM,,Chicago Blackhawks,2,3,L,,4,5,2,L 1,,33,16,0,3,0,,32,12,1,6,0,18532,2:42,
12,2016-11-06,7:00 PM,@,Chicago Blackhawks,3,4,L,OT,4,5,3,L 2,,35,8,1,4,1,,33,8,0,4,0,21901,2:49,
13,2016-11-08,8:00 PM,@,Winnipeg Jets,2,8,L,,4,6,3,L 3,,30,52,2,5,0,,31,42,3,5,1,15294,3:26,
14,2016-11-10,9:00 PM,@,Calgary Flames,4,2,W,,5,6,3,W 1,,22,9,1,3,0,,31,13,0,2,0,18795,2:30,
15,2016-11-11,9:00 PM,@,Edmonton Oilers,3,2,W,,6,6,3,W 2,,30,11,1,4,0,,42,11,0,3,0,18347,2:30,
16,2016-11-13,4:00 PM,@,Vancouver Canucks,4,5,L,OT,6,6,4,L 1,,21,6,0,2,0,,30,4,1,3,0,18470,2:33,
17,2016-11-15,8:30 PM,,New Jersey Devils,1,2,L,OT,6,6,5,L 2,,24,2,0,2,0,,33,4,0,1,0,18039,2:24,
18,2016-11-17,8:30 PM,,Colorado Avalanche,3,2,W,,7,6,5,W 1,,22,2,2,7,0,,36,14,0,2,1,18237,2:42,
19,2016-11-19,7:00 PM,,Edmonton Oilers,2,5,L,,7,7,5,L 1,,33,2,2,6,0,,29,10,0,3,0,18352,2:28,
20,2016-11-21,8:30 PM,,Minnesota Wild,3,2,W,OT,8,7,5,W 1,,32,11,0,2,0,,29,9,1,3,0,18532,2:38,
21,2016-11-23,8:00 PM,@,Nashville Predators,2,5,L,,8,8,5,L 1,,35,6,0,2,1,,21,4,1,4,0,17119,2:30,
22,2016-11-25,8:30 PM,,Vancouver Canucks,2,1,W,,9,8,5,W 1,,28,9,0,1,0,,31,7,0,2,0,18532,2:30,
23,2016-11-28,8:00 PM,@,St. Louis Blues,3,4,L,OT,9,8,6,L 1,,21,8,1,3,0,,31,6,1,4,0,17169,2:37,
24,2016-11-29,7:30 PM,@,Detroit Red Wings,1,3,L,,9,9,6,L 2,,35,15,0,5,0,,20,17,2,4,0,20027,2:32,
25,2016-12-01,7:00 PM,@,Pittsburgh Penguins,2,6,L,,9,10,6,L 3,,35,10,1,3,0,,40,6,1,5,0,18420,2:26,
26,2016-12-03,9:00 PM,@,Colorado Avalanche,3,0,W,,10,10,6,W 1,,33,8,1,4,0,,23,8,0,4,0,16725,2:20,
27,2016-12-06,8:30 PM,,Calgary Flames,1,2,L,,10,11,6,L 1,,30,4,0,2,0,,20,4,1,2,0,17996,2:34,
28,2016-12-08,8:30 PM,,Nashville Predators,5,2,W,,11,11,6,W 1,,37,10,1,5,0,,36,12,0,3,1,17887,2:40,
29,2016-12-10,1:00 PM,@,Philadelphia Flyers,2,4,L,,11,12,6,L 1,,23,32,0,4,0,,22,28,3,6,0,19594,2:44,
30,2016-12-11,7:00 PM,@,Chicago Blackhawks,1,3,L,,11,13,6,L 2,,24,6,0,2,0,,27,4,1,3,0,21451,2:24,
31,2016-12-13,8:30 PM,,Anaheim Ducks,6,2,W,,12,13,6,W 1,,27,12,1,4,0,,36,10,1,5,0,17543,2:41,
32,2016-12-15,8:30 PM,,New York Rangers,0,2,L,,12,14,6,L 1,,27,21,0,5,0,,30,10,0,3,1,18212,2:33,
33,2016-12-17,2:00 PM,,Philadelphia Flyers,3,1,W,,13,14,6,W 1,,28,7,0,1,0,,32,5,0,1,0,18243,2:22,
34,2016-12-20,8:30 PM,,St. Louis Blues,2,3,L,OT,13,14,7,L 1,,38,9,1,3,0,,22,11,0,1,0,18532,2:45,
35,2016-12-23,8:30 PM,,Los Angeles Kings,3,2,W,OT,14,14,7,W 1,,31,6,0,3,0,,31,6,1,3,0,18156,2:31,
36,2016-12-27,9:00 PM,@,Arizona Coyotes,3,2,W,,15,14,7,W 2,,29,13,1,2,1,,37,13,0,2,0,14561,2:40,
37,2016-12-29,8:30 PM,,Colorado Avalanche,4,2,W,,16,14,7,W 3,,34,10,0,6,0,,19,14,0,4,0,18532,2:30,
38,2016-12-31,8:00 PM,,Florida Panthers,1,3,L,,16,15,7,L 1,,36,4,1,4,0,,38,8,2,2,0,18532,2:31,
39,2017-01-04,8:00 PM,,Montreal Canadiens,3,4,L,OT,16,15,8,L 2,,42,11,1,2,0,,33,7,2,3,0,18106,2:44,
40,2017-01-07,8:00 PM,@,St. Louis Blues,3,4,L,,16,16,8,L 3,,28,8,1,4,0,,22,10,2,3,0,19503,2:34,
41,2017-01-09,10:30 PM,@,Los Angeles Kings,6,4,W,,17,16,8,W 1,,26,4,0,1,0,,22,2,2,3,1,18230,2:35,
42,2017-01-10,10:00 PM,@,Anaheim Ducks,0,2,L,,17,17,8,L 1,,34,8,0,3,0,,38,6,1,4,0,15073,2:29,
43,2017-01-12,8:30 PM,,Detroit Red Wings,5,2,W,,18,17,8,W 1,,21,8,0,1,0,,33,2,1,5,0,18532,2:28,
44,2017-01-14,8:00 PM,,Minnesota Wild,4,5,L,,18,18,8,L 1,,38,8,1,3,0,,31,6,0,4,0,18532,2:27,
45,2017-01-16,1:00 PM,@,Buffalo Sabres,1,4,L,,18,19,8,L 2,,32,4,0,1,0,,29,2,2,3,0,19070,2:31,
46,2017-01-17,7:00 PM,@,New York Rangers,7,6,W,,19,19,8,W 1,,31,11,1,1,0,,40,9,1,2,0,18006,2:38,
47,2017-01-19,7:00 PM,@,New York Islanders,0,3,L,,19,20,8,L 1,,23,23,0,3,0,,36,11,0,7,1,12630,2:27,
48,2017-01-21,8:00 PM,,Washington Capitals,3,4,L,OT,19,20,9,L 2,,35,16,1,6,0,,22,24,2,2,0,18532,2:44,
49,2017-01-24,8:30 PM,,Minnesota Wild,2,3,L,SO,19,20,10,L 3,,37,8,1,5,0,,33,10,1,4,0,17877,2:48,
50,2017-01-26,8:30 PM,,Buffalo Sabres,4,3,W,,20,20,10,W 1,,37,4,1,5,0,,27,10,1,2,0,17856,2:40,
51,2017-01-31,8:30 PM,,Toronto Maple Leafs,6,3,W,,21,20,10,W 2,,20,4,1,1,0,,43,2,1,2,0,17547,2:29,
52,2017-02-02,8:30 PM,,Winnipeg Jets,3,4,L,,21,21,10,L 1,,42,4,1,2,0,,29,4,1,2,0,17236,2:30,
53,2017-02-04,8:00 PM,,Chicago Blackhawks,3,5,L,,21,22,10,L 2,,34,9,0,3,0,,36,11,1,2,0,18532,2:27,
54,2017-02-07,7:30 PM,@,Toronto Maple Leafs,1,3,L,,21,23,10,L 3,,40,10,1,4,0,,34,8,1,5,0,19233,2:35,
55,2017-02-09,7:30 PM,@,Ottawa Senators,2,3,L,,21,24,10,L 4,,33,11,0,6,0,,26,17,0,3,1,17676,2:36,
56,2017-02-11,2:00 PM,,Carolina Hurricanes,5,2,W,,22,24,10,W 1,,27,9,1,4,0,,24,13,1,2,0,17864,2:25,
57,2017-02-12,6:00 PM,@,Nashville Predators,3,5,L,,22,25,10,L 1,,21,23,3,9,0,,36,33,1,5,1,17113,2:33,
58,2017-02-14,8:00 PM,@,Winnipeg Jets,2,5,L,,22,26,10,L 2,,36,11,1,4,0,,24,15,0,3,0,15294,2:36,
59,2017-02-16,8:00 PM,@,Minnesota Wild,1,3,L,,22,27,10,L 3,,35,16,0,2,0,,26,31,1,1,0,19084,2:41,
60,2017-02-18,8:00 PM,,Tampa Bay Lightning,4,3,W,OT,23,27,10,W 1,,28,4,0,2,0,,37,2,2,2,0,18210,2:32,
61,2017-02-24,8:30 PM,,Arizona Coyotes,5,2,W,,24,27,10,W 2,,37,8,1,6,0,,27,12,0,4,0,18043,2:34,
62,2017-02-26,12:30 PM,,Boston Bruins,3,6,L,,24,28,10,L 1,,36,14,1,2,0,,28,14,1,2,0,18006,2:35,
63,2017-02-28,8:30 PM,,Pittsburgh Penguins,3,2,W,,25,28,10,W 1,,32,2,0,1,0,,20,2,0,1,0,18235,2:28,
64,2017-03-02,8:30 PM,,New York Islanders,4,5,L,,25,29,10,L 1,,25,4,1,1,1,,33,2,0,2,0,17438,2:23,
65,2017-03-04,7:00 PM,@,Florida Panthers,2,1,W,,26,29,10,W 1,,34,6,0,3,0,,42,6,1,3,0,15713,2:27,
66,2017-03-06,7:30 PM,@,Washington Capitals,4,2,W,,27,29,10,W 2,,22,8,0,2,0,,44,4,0,4,0,18506,2:31,
67,2017-03-08,8:00 PM,,Ottawa Senators,2,5,L,,27,30,10,L 1,,37,10,1,4,0,,23,12,2,3,0,17689,2:34,
68,2017-03-12,10:00 PM,@,San Jose Sharks,1,5,L,,27,31,10,L 2,,30,10,0,2,0,,26,4,0,5,1,17442,2:20,
69,2017-03-14,9:00 PM,@,Edmonton Oilers,1,7,L,,27,32,10,L 3,,23,4,0,1,0,,29,2,1,2,0,18347,2:28,
70,2017-03-16,10:00 PM,@,Vancouver Canucks,4,2,W,,28,32,10,W 1,,36,11,1,1,0,,28,7,1,3,0,18865,2:31,
71,2017-03-17,9:00 PM,@,Calgary Flames,1,3,L,,28,33,10,L 1,,25,0,0,2,0,,24,4,0,0,0,19227,2:24,
72,2017-03-20,8:30 PM,,San Jose Sharks,1,0,W,,29,33,10,W 1,,20,4,0,2,0,,30,4,0,2,0,17687,2:26,
73,2017-03-23,8:30 PM,@,Chicago Blackhawks,2,3,L,SO,29,33,11,L 1,,44,13,0,3,0,,26,11,1,4,0,21798,2:40,
74,2017-03-24,8:30 PM,,San Jose Sharks,6,1,W,,30,33,11,W 1,,29,6,0,2,1,,21,2,1,3,0,17265,2:25,
75,2017-03-26,5:00 PM,@,New Jersey Devils,2,1,W,OT,31,33,11,W 2,,32,5,2,4,0,,21,13,0,0,0,14711,2:24,
76,2017-03-28,7:30 PM,@,Montreal Canadiens,1,4,L,,31,34,11,L 1,,28,7,0,1,0,,36,7,0,1,0,21288,2:29,
77,2017-03-30,7:30 PM,@,Boston Bruins,0,2,L,,31,35,11,L 2,,27,6,0,3,0,,24,6,1,3,0,17565,2:29,
78,2017-04-01,7:00 PM,@,Carolina Hurricanes,3,0,W,,32,35,11,W 1,,24,2,0,0,0,,25,0,0,1,0,14201,2:18,
79,2017-04-02,6:00 PM,@,Tampa Bay Lightning,3,6,L,,32,36,11,L 1,,26,6,0,1,0,,25,4,1,2,0,19092,2:38,
80,2017-04-04,8:30 PM,,Arizona Coyotes,3,2,W,OT,33,36,11,W 1,,31,6,0,3,0,,26,6,0,3,0,16876,2:28,
81,2017-04-06,8:30 PM,,Nashville Predators,3,7,L,,33,37,11,L 1,,33,10,0,1,0,,34,4,1,4,0,17543,2:27,
82,2017-04-08,8:00 PM,,Colorado Avalanche,4,3,W,SO,34,37,11,W 1,,45,2,1,1,0,,24,2,1,1,0,18532,2:48,
